District,,,River,,,"Sundar
bans",,,Beel,,,"Kaptai
Lake",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dinajpur,,,290,,,0,,,519,,,0,,,5897,,,35857,,,3459,,,0,,,2.31,,,0,,,0.00,,,46024,
Gaibandha,,,2115,,,0,,,463,,,0,,,5585,,,19785,,,718,,,0,,,1.45,,,7.34,,,12.70,,,28687,,
Kurigram,,,3854,,,0,,,1116,,,0,,,10679,,,15503,,,3121,,,0,,,5.45,,,43.20,,,104.58,,,34426,,
Lalmonirhat,,,202,,,0,,,402,,,0,,,1509,,,9868,,,1320,,,0,,,1.43,,,0,,,0.00,,,13302,,
Nilphamari,,,198,,,0,,,334,,,0,,,3108,,,13355,,,161,,,0,,,1.98,,,15.2,,,0.00,,,17173,,
Panchagarhh,,,121,,,0,,,53,,,0,,,2605,,,11958,,,91,,,0,,,1.09,,,0,,,8.00,,,14837,,
Rangpur,,,151,,,0,,,1766,,,0,,,8214,,,19462,,,1383,,,0,,,2.90,,,16.13,,,0.00,,,30995,,
Thakurgaon,,,112,,,0,,,201,,,0,,,3747,,,21554,,,22,,,0,,,1.90,,,0,,,7.00,,,25645,,
Rang. Div.,,,7043,,,0,,,4854,,,0,,,41345,,,147343,,,10275,,,0,,,18.50,,,81.87,,,132.28,,,211093,,
Bagura,,,1053,,,0,,,2519,,,0,,,4408,,,67093,,,752,,,0,,,2.37,,,0,,,0.00,,,75827,,
C.Nawabganj,,,2191,,,0,,,3348,,,0,,,1926,,,10118,,,111,,,0,,,0.00,,,0,,,0.00,,,17694,,
Joypurhat,,,195,,,0,,,129,,,0,,,142,,,21679,,,85,,,0,,,1.22,,,0,,,0.00,,,22231,,
Naogaon,,,1706,,,0,,,4343,,,0,,,17009,,,54470,,,279,,,0,,,1.79,,,0,,,132.84,,,77942,,
Natore,,,1480,,,0,,,925,,,0,,,14486,,,34759,,,418,,,0,,,5.55,,,0,,,21.40,,,52095,,
Pabna,,,4616,,,0,,,1470,,,0,,,10012,,,45955,,,9275,,,0,,,1.07,,,3.35,,,104.00,,,71436,,
Rajshahi,,,2728,,,0,,,3616,,,0,,,7022,,,54859,,,6970,,,0,,,11.12,,,0,,,20.01,,,75226,,
Sirajganj,,,4520,,,0,,,674,,,0,,,31879,,,18480,,,3105,,,0,,,1.08,,,0,,,9.23,,,58668,,
Raj. Div.,,,18489,,,0,,,17024,,,0,,,86882,,,307412,,,20995,,,0,,,24.18,,,3.35,,,287.48,,,451117,,
Bandarban,,,145,,,0,,,0,,,0,,,126,,,1021,,,0,,,0,,,1.56,,,0,,,0.00,,,1294,,
Brahmanbaria,,,1953,,,0,,,467,,,0,,,20720,,,33459,,,2741,,,0,,,0.00,,,0,,,0.00,,,59340,,
Chandpur,,,34916,,,0,,,312,,,0,,,23167,,,37481,,,1885,,,0,,,128.27,,,196.48,,,945.30,,,99031,,
Chattogram,,,2958,,,0,,,36,,,0,,,626,,,62840,,,0,,,0,,,1363.06,,,0,,,0.00,,,67823,,
Cumilla,,,961,,,0,,,274,,,0,,,70699,,,108262,,,32993,,,0,,,173.00,,,59.7,,,242.00,,,213664,,
Cox’s Bazar,,,2336,,,0,,,0,,,0,,,1155,,,4669,,,82,,,0,,,16563.26,,,0,,,0.00,,,24805,,
Feni,,,1390,,,0,,,0,,,0,,,6569,,,22368,,,109,,,0,,,63.53,,,0,,,26.20,,,30526,,
Khagrachari .,,,211,,,0,,,51,,,0,,,42,,,2734,,,0,,,0,,,0.00,,,0,,,0.00,,,3038,,
Lakshmipur,,,20236,,,0,,,0,,,0,,,10268,,,29710,,,792,,,0,,,56.30,,,0,,,112.71,,,61175,,
Noakhali,,,13055,,,0,,,0,,,0,,,30850,,,45744,,,5717,,,0,,,305.05,,,0,,,0.00,,,95671,,
Rangamati,,,208,,,0,,,0,,,10152,,,0,,,666,,,36,,,0,,,0.00,,,41.02,,,8.41,,,11111,,
Ctg. Div.,,,78367,,,0,,,1140,,,10152,,,164221,,,348953,,,44354,,,0,,,18654.03,,,297.2,,,1334.62,,,667473,,
Habiganj,,,983,,,0,,,3796,,,0,,,36025,,,16330,,,330,,,0,,,0.53,,,0,,,0.00,,,57465,,
Moulvi Bazar,,,477,,,0,,,4378,,,0,,,20896,,,18903,,,747,,,0,,,0.84,,,5.1,,,34.90,,,45442,,
Sunamganj,,,1002,,,0,,,23804,,,0,,,60904,,,10053,,,1135,,,0,,,0.58,,,40.1,,,18.43,,,96957,,
Sylhet,,,840,,,0,,,5176,,,0,,,37891,,,17571,,,9281,,,0,,,3.72,,,0,,,0.00,,,70763,,
Sylhet Div.,,,3302,,,0,,,37154,,,0,,,155716,,,62858,,,11493,,,0,,,5.67,,,45.2,,,53.33,,,270627,,
Total,,,320598,,,18225,,,99197,,,10152,,,768367,,,1900298,,,216353,,,8072,,,266154,,,10285,,,4253,,,3621954,,
%,,,8.85,,,0.50,,,2.74,,,0.28,,,21.21,,,52.47,,,5.97,,,0.22,,,7.35,,,0.28,,,0.12,,,100.00,,
