District,River,"Sundar
bans","Bee
l","Kaptai
Lake","Flood
Plain",Pond,"Seasonal
cultured
water body",Baor,"Shrimp
/ Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dhaka,1156,0,804,0,5917,8046,3429,0,0,820,35,20207
Faridpur,2046,0,486,0,8967,18078,5849,722,9.5,1105,4,37266
Gazipur,502,0,1665,0,16099,26298,8588,0,0,905,0,54057
Gopalganj,605,0,660,0,7357,15713,941,676,5415.02,3595,30,34992
Kishoreganj,2403,0,6781,0,42094,22801,1366,0,0.26,945,20,76410
Madaripur,1396,0,242,0,7954,12153,123,1138,246.60,746,254,24253
Manikganj,2794,0,647,0,10464,10625,3701,0,8,814,0,29053
Munshiganj,3111,0,231,0,11432,10051,3940,0,8.59,167,63,29003
Narayanganj,1820,0,120,0,1441,10107,3034,0,0,1253,0,17775
Narsingdi,2578,0,1185,0,11629,22166,1558,0,1.65,120,361,39599
Rajbari,2894,0,267,0,6228,14552,2280,27,0,0,0,26248
Shariatpur,4616,0,43,0,5169,14351,977,0,50.55,37,8,25252
Tangail,1188,0,2303,0,10713,40581,1471,0,5.70,8,0,56270
Dhaka Division,27109,0,15434,0,145464,225522,37257,2563,5745.87,10515,775,470385
Jamalpur,2950,,3190,,9112,16415,2139,,0.67,518,17,34342
Mymensinghh,1268,,6349,,10227,370836,890,0,0.8,0,15,389586
Netrakona,1437,,6634,,42880,35364,2644,0,2.64,94,0,89056
Sherpur,959,,2509,,2314,26296,2135,0,0,0,0,34213
"Mymensinghh
Division",6614,0,18682,0,64533,448911,7808,0,4.11,612,32,547197
Bagerhat,5260,17035.12,25,,4946,13888,1711,9,66399.50,0,12,109286
Chuadanga,345,,1077,,1283,10907,1562,1600,0,0,8,16782
Jashore,963,,1695,,34357,123051,26325,3391,32315.91,59,11,222168
Jhenaidah,346,,1035,,5979,24220,3245,1758,13.75,0,0,36597
Khulna,3481,701.19,198,,19741,15449,983,0,62337.4,8,0,102899
Kushtia,1750,,442,,3627,20739,4124,184,0.92,12,44,30923
Magura,1114,,147,,2543,10699,112,392,5.89,0,24,15037
Meherpur,283,,383,,846,6919,161,251,0,0,28,8871
Narail,953,,543,,3039,4399,576,0,4585.37,0,0,14095
Satkhira,1303,546.12,25,,13849,34475,1662,195,71125.30,0,0,123180
"Khulna
Division",15798,18282.43,5570,,90210,264746,40461,7780,236784.05,79,127,679838
Barguna,5845,,0,,2515,7505,1892,,537.29,7,38,18339
Barishal,40503,,24,,8148,37538,8056,,3462.882,4,70,97806
Bhola,86135,,0,,3682,38559,381,,169.36,0,150,129076
Jhalokathi,1936,,10,,3799,4549,552,,121,395,28,11390
Patuakhali,30175,,0,,10023,20626,180,,3286,3,16,64309
Pirojpur,3487,,10,,3753,7397,2299,,1740.07,0,24,18710
"Barishal
Division",168081,,44,,31920,116174,13360,,9316.602,409,326,339630
