"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,118,154,6110,22578,2618,18934,85,1584,8931,43250,4.84
35,Gaibandha,0,0,5013,20033,508,4906,60,1311,5581,26250,4.70
36,Kurigram,331,488,3320,12757,566,3876,11,183,4228,17304,4.09
37,Lalmonirhat,0,0,2515,9353,264,2320,5,64,2784,11737,4.22
38,Nilphamari,0,0,3165,11816,866,5712,2,23,4033,17551,4.35
39,Panchagarhh,0,0,2859,11026,179,1429,0,0,3038,12455,4.10
40,Rangpur,109,157,4136,15122,1285,11113,10,158,5540,26550,4.79
41,Thakurgaon,0,0,4664,16790,470,3292,143,1847,5277,21929,4.16
,"Rangpur
Division",558,799,31782,119475,6756,51582,316,5170,39412,177026,4.49
42,Bogura,516,606,9653,26863,3604,28055,728,16741,14501,72265,4.98
43,Chapai Nawabganj,14,18,1944,7785,459,2523,0,0,2417,10326,4.27
44,Joypurhat,31,46,2106,6149,2500,15483,0,0,4637,21678,4.68
45,Naogaon,0,0,9932,36968,2731,17086,117,1318,12780,55372,4.33
46,Natore,0,0,5372,20205,2440,13846,126,1489,7938,35540,4.48
47,Pabna,0,0,8727,34270,1798,11834,5,91,10530,46195,4.39
48,Rajshahi,0,0,5975,21235,6218,35316,233,2581,12426,59132,4.76
49,Sirajganj,78,90,3030,10191,1878,9754,0,0,4986,20035,4.02
,"Rajshahi
Division",639,760,46739,163666,21628,133897,1209,22220,70215,320543,4.57
50,Bandarban,201,279,236,668,51,260,0,0,488,1207,2.47
51,Brahmanbaria,139,207,4547,19820,2422,13340,57,1080,7165,34447,4.81
52,Chandpur,169,231,6372,22484,2872,14826,0,0,9413,37541,3.99
53,Chattogram,6477,9381,12941,41882,1718,12027,13,186,21149,63476,3.00
54,Cumilla,1447,2054,12485,44654,7480,51464,1052,12037,22464,110209,4.91
55,Cox’s Bazar,785,864,1200,3900,0,0,0,0,1985,4764,2.40
56,Feni,335,447,4055,15730,935,6477,22,267,5347,22921,4.29
57,Khagrachhari,153,229,805,2055,92,508,0,0,1050,2792,2.66
58,Lakshmipur,238,312,6020,21946,1865,7470,0,0,8123,29728,3.66
59,Noakhali,1079,1486,11579,42391,407,3028,0,0,13065,46905,3.59
60,Rangamati,51,55,347,703,13,69,0,0,411,827,2.01
,"Chattogram
Division",11074,15545,60587,216233,17855,109469,1144,13570,90660,354817,3.91
61,Habiganj,1099,1410,2480,8621,1023,5371,116,1447,4718,16849,3.57
62,Moulvibazar,3345,4442,2596,9157,1149,7936,3,40,7093,21575,3.04
63,Sunamgonj,409,413,2437,8853,179,1355,4,70,3029,10691,3.53
64,Sylhet,856,1125,3070,9175,1552,7267,15,211,5493,17778,3.24
,Sylhet Division,5709,7390,10583,35806,3903,21929,138,1768,20333,66893,3.29
,Grand Total,34125,44313,245486,876535,100665,670749,17498,383035,397775,1974632,4.96
