Sector of Fisheries,Production (MT),,,,,,,,"Growth Rate %
(2018-19)"
,1983-84,1993-94,2003-04,2013-14,2015-16,2016-17,2017-18,2018-19,
A. Inland Fisheries,,,,,,,,,
1. River and Estuary,207766,143425,137337,167373,178458,271639,320598,325478,1.5 2
2. Sundarbans,7783,7127,15242,18366,16870,18086,18225,18282,0.31
3. Beel,51373,55592,74328,88911,95453,98117,99197,99890,0.70
4. Kaptai Lake,4057,6635,7238,8179,9589,9982,10152,10578,4.19
5. Floodplain,200616,360597,497922,712976,747872,765782,768367,781481,1.71
Capture Total,471595,573376,732067,995805,1048242,1163606,1216539,1235709,1.58
6. Pond,107944,222542,795810,1526160,1719783,1833118,1900298,1974632,3.91
7. Seasonal cultured waterbody,0,0,0,193303,207658,215547,216353,217340,0.46
8. Baor,862,2201,4282,6514,7729,8002,8072,10343,28.14
9. Shrimp/Prawn Farm,8219,39447,114660,216447,239798,246406,254367,258039,1.44
10. Crab**,0,0,0,0,13160,14421,11787,12084,2.52
11. Pen Culture,0,0,0,13054,13364,13368,11015,12361,12.22
12. Cage Culture***,0,0,0,1447,2062,2490,3523,3802,7.92
Culture Total,117025,264190,914752,1956925,2203554,2333352,2405415,2488601,3.46
Inland Fisheries Total (A),588620,837566,1646819,2952730,3251796,3496958,3621954,3724310,2.83
B. Marine Fisheries,,,,,,,,,
13. Industrial (Trawler Fishing),14500,12454,32606,76885,105348,108479,120087,107236,(-)10.70
14. Artisanal,150382,240590,422601,518500,521180,528997,534600,552675,3.38
Marine Fisheries Total (B),164882,253044,455207,595385,626528,637476,654687,659911,0.80
Total Fish Production (A+B),753502,1090610,2102026,3548115,3878324,4134434,4276641,4384221,2.52
