Monthly Average Wholesale Price-2019.,,,,,,,,,,,,,,,
(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,"2,012","1,946","1,833","1,907","1,895","1,852","2,040","2,040","2,040","2,040","1,988","2,004",
,,,,,,,,,,,,,,,"1,966"
02,",,",Medium,"1,828","1,806","1,747","1,741","1,684","1,680","1,730","1,730","1,730","1,442","1,657","1,673",
,,,,,,,,,,,,,,,"1,704"
03,",,",Coarse,"1,693","1,650","1,595","1,569","1,522","1,495","1,582","1,580","1,493","1,334","1,509","1,515",
,,,,,,,,,,,,,,,"1,545"
04,",,",Pajam,"2,234","2,295","2,204","2,217","2,207","2,187",-,-,-,-,"2,169","2,194",
,,,,,,,,,,,,,,,"2,213"
05,‘’,shugandhi,"4,071","4,412","4,224","4,289","4,740","4,600","3,675","3,713","3,750","3,750","3,763","3,809",
,,,,,,,,,,,,,,,"4,066"
06,Paddy Aus,medium,-,-,-,-,-,-,-,"1,418","1,431","1,455","1,474",-,"1,444"
07,",,:",coarse,-,"1,606",-,"1,538","1,550","1,450",-,"1,432","1,361","1,362","1,420",-,
,,,,,,,,,,,,,,,"1,465"
08,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!
09,Paddy Boro,fine,"2,436","2,438","2,446","2,265","1,850","1,857","1,830","1,873","1,863","1,888","2,133","2,219",
,,,,,,,,,,,,,,,"2,092"
10,",,",medium,"2,016","2,009","2,005","1,820","1,585","1,613","1,624","1,639","1,623","1,643","1,800","1,850",
,,,,,,,,,,,,,,,"1,769"
11,‘’,coarse,"1,742","1,741","1,746","1,563","1,356","1,424","1,427","1,421","1,394","1,376","1,429","1,510",
,,,,,,,,,,,,,,,"1,511"
12,",,",pajam,-,-,-,-,"1,683","1,809","1,800","2,065","2,340","1,688","1,767",-,
,,,,,,,,,,,,,,,"1,879"
13,Rice Aman,fine,"5,015","4,967","4,947","4,922","4,814","4,802","4,733","4,769","4,818","4,763","4,834","4,822",
,,,,,,,,,,,,,,,"4,850"
14,",,",medium,"3,587","3,540","3,428","3,395","3,356","3,298","3,262","3,285","3,276","3,252","3,331","3,293",
,,,,,,,,,,,,,,,"3,359"
