Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Producti
on
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,50497,20435,28.07,2.590,52917,47915,19390,27.66,2.551,49471
34,Jhenaidah,74788,30265,27.77,2.562,77525,75626,30604,28.80,2.657,81300
35,Khulna,988,400,27.97,2.580,1032,829,335,28.89,2.665,894
36,Kustia,54226,21944,31.49,2.905,63746,54763,22161,33.10,3.053,67662
37,Magura,7537,3050,27.55,2.541,7750,5958,2411,26.79,2.471,5958
38,Meherpur,37561,15200,30.63,2.825,42944,35138,14220,32.15,2.966,42168
39,Narail,4717,1909,27.24,2.513,4797,5059,2047,27.83,2.567,5255
40,Satkhira,15691,6350,24.79,2.287,14522,15318,6199,28.66,2.644,16387
4,"Khulna
Division",353696,143133,29.60,2.730,390739,344003,139210,30.34,2.798,389540
41,Jamalpur.,2810,1137,24.50,2.259,2569,5219,2112,28.21,2.602,5496
42,Mymensingh,40998,16591,30.68,2.830,46957,38538,15595,28.97,2.672,41674
43,Netrokona,1063,430,22.87,2.109,907,1158,469,32.78,3.024,1417
44,Sherpur,5313,2150,28.40,2.620,5633,6366,2576,28.23,2.604,6708
5,"Mymensingh
Division",50183,20308,29.93,2.761,56066,51281,20752,28.89,2.665,55295
45,Bogura,47136,19075,30.57,2.820,53795,49995,20232,30.75,2.836,57385
46,Joypurhat,620,251,30.67,2.829,710,423,171,29.82,2.751,471
47,Naogaon,146264,59190,32.60,3.007,177988,152254,61614,31.61,2.916,179648
48,Natore,15679,6345,30.61,2.823,17915,16206,6558,28.07,2.589,16980
49,"Chapai
Nawabgonj",110285,44630,29.92,2.760,123179,109522,44321,31.19,2.877,127509
50,Pabna,22220,8992,34.15,3.150,28325,21012,8503,32.79,3.025,25718
51,Rajshahi,114978,46529,31.15,2.873,133701,112242,45422,31.10,2.869,130300
52,Sirajgonj,4510,1825,29.42,2.714,4953,7620,3084,31.10,2.869,8846
6,"Rajshahi
Division",461693,186837,31.37,2.893,540566,469274,189905,31.22,2.880,546857
53,Dinajpur,19047,7708,31.16,2.875,22157,17084,6914,31.87,2.940,20324
54,Gaibandha,3974,1608,28.26,2.606,4191,5948,2407,27.73,2.558,6157
55,Kurigram,2397,970,29.46,2.718,2636,2684,1086,30.52,2.815,3058
56,Lalmonirhat,12447,5037,32.36,2.985,15033,11990,4852,31.58,2.913,14134
57,Nilphamari,1003,406,30.81,2.842,1154,1010,409,29.61,2.731,1116
58,Panchagar,494,200,28.95,2.670,534,730,295,34.76,3.206,947
59,Rangpur,39723,16075,32.50,2.998,48194,40313,16314,31.31,2.888,47115
60,Thakurgaon,36622,14820,31.71,2.925,43345,37342,15111,31.72,2.926,44214
7,"Rangpur
Division",115707,46824,31.78,2.931,137244,117101,47388,31.36,2.892,137064
61,Hobigonj,110755,44820,28.95,2.670,119669,109345,44250,29.65,2.735,121018
62,Maulovibazar,112618,45574,28.22,2.603,118621,138447,56026,29.63,2.733,153124
63,Sunamgonj,28618,11581,29.23,2.696,31224,32225,13041,27.88,2.572,33536
64,Sylhet,143361,58015,28.75,2.652,153870,137300,55562,29.74,2.743,152419
8,"Sylhet
Division",395351,159990,28.69,2.646,423384,417317,168879,29.54,2.724,460097
BANGLADESH,,2260276,914684,29.47,2.719,2486751,2297691,929825,29.54,2.725,2533745
