Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Mau
nd)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,3077,1245,17.35,1.600,1992,3478,1407,16.23,1.497,2107
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,56848,23005,11.70,1.079,24828,52748,21346,20.14,1.858,39655
36,Kustia,2483,1005,13.41,1.237,1243,2851,1154,12.78,1.179,1360
37,Magura,3015,1220,17.97,1.657,2022,1515,613,19.72,1.819,1115
38,Meherpur,86,35,15.49,1.429,50,33,13,15.01,1.385,18
39,Narail,16013,6480,17.61,1.625,10528,12073,4886,16.78,1.548,7562
40,Satkhira,3978,1610,11.31,1.043,1680,4478,1812,10.11,0.933,1690
4,"Khulna
Division",188421,76250,12.57,1.160,88414,173621,70261,14.09,1.300,91335
41,Jamalpur.,81645,33040,18.22,1.680,55514,56443,22841,17.05,1.573,35922
42,Mymensingh,110841,44855,18.26,1.685,75564,119128,48208,17.95,1.656,79819
43,Netrokona,88675,35885,17.49,1.613,57896,92393,37389,16.04,1.480,55319
44,Sherpur,72897,29500,18.24,1.683,49634,67718,27404,17.06,1.574,43123
5,"Mymensingh
Division",354059,143280,18.05,1.665,238608,335682,135843,17.09,1.577,214183
45,Bogra,18533,7500,18.14,1.673,12550,12865,5206,17.03,1.571,8178
46,Joypurhat,2100,850,18.11,1.671,1420,1982,802,17.44,1.609,1290
47,Naogaon,56897,23025,18.37,1.694,39013,53981,21845,20.41,1.883,41126
48,Natore,1693,685,18.22,1.680,1151,1372,555,15.73,1.451,806
49,"Chapai
Nawabgonj",9390,3800,17.67,1.630,6195,8684,3514,18.30,1.688,5932
50,Pabna,1915,775,17.89,1.650,1279,1677,679,14.52,1.339,909
51,Rajshahi,4685,1896,17.77,1.639,3108,2117,857,17.63,1.626,1393
52,Sirajgonj,15098,6110,17.95,1.656,10119,12079,4888,20.00,1.845,9018
6,"Rajshahi
Division",110312,44641,18.17,1.676,74835,94757,38346,19.41,1.790,68651
53,Dinajpur,7796,3155,18.22,1.680,5301,8702,3522,19.42,1.791,6308
54,Gaibandha,24884,10070,18.22,1.681,16925,24980,10109,15.82,1.459,14751
55,Kurigram,44514,18014,18.25,1.683,30320,43280,17514,17.32,1.598,27981
56,Lalmonirhat,321,130,17.51,1.615,210,267,108,15.03,1.386,150
57,Nilphamari,1260,510,18.13,1.673,853,1557,630,19.45,1.794,1130
58,Panchagar,2669,1080,17.97,1.657,1790,3451,1397,15.85,1.462,2042
59,Rangpur,3504,1418,17.47,1.611,2285,3213,1300,18.49,1.706,2218
60,Thakurgaon,2555,1034,17.98,1.659,1715,2199,890,16.56,1.527,1359
7,"Rangpur
Division",87504,35411,18.19,1.677,59399,87649,35470,17.10,1.577,55939
61,Hobigonj,7908,3200,18.13,1.672,5350,7156,2896,17.23,1.589,4602
62,Maulovibazar,4208,1703,16.45,1.517,2584,3925,1588,15.06,1.389,2206
63,Sunamgonj,44665,18075,16.82,1.551,28042,42560,17223,15.01,1.385,23846
64,Sylhet,126903,51355,18.28,1.686,86610,120780,48877,17.34,1.599,78176
8,"Sylhet
Division",183684,74333,17.88,1.649,122586,174421,70584,16.72,1.542,108830
BANGLADESH,,2313473,936212,15.52,1.432,1340511,2155120,872130,15.76,1.454,1267655
