District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,630,630,620,590,590,367
2,Barishal,0,0,0,0,4,3
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,630,630,620,590,594,370
7,Bandarban,4,8,4,8,3.50,1
8,Brahmanbaria,1126,430,1065,413,1092,424
9,Chandpur,634,213,631,206,634,212
10,Chattogram,70,32,73,35,85,37
11,Cumilla,532,201,497,194,427,176
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,5,1,110,34,109,33
14,Khagrachari,18,3,0,0,0,0
15,Lakshmipur,90,22,90,22,81,20
16,Noakhali,176,61,155,52,149,42
17,Rangamati,0,0,0,0,0,0
2,Chattogram Division,2655,971,2644,967,2580.5,945
18,Dhaka,1761,679,1761,679,1431,618
19,Faridpur,1965,800,1978,791,1974,782
20,Gazipur,447,130,447,130,415,119
21,Gopalganj,421,147,430,148,421,146
22,Kishoreganj,992,1156,1076,715,1078,714
23,Madaripur,1055,258,989,235,942,233
24,Manikganj,4500,1250,7315,2684,7244,2682
25,Munshiganj,163,77,153,74,159,77
26,Narayanganj,61,28,64,26,59,25
27,Narsingdi,653,292,623,279,607,273
28,Rajbari,1002,408,900,373,1033,426
29,Shariatpur,212,91,218,96,230,100
30,Tangail,13409,3930,13409,3930,13283,4944
3,Dhaka Division,26641,9246,29209,10065,28876,11139
31,Bagerhat,13,5,15,7,0,0
32,Chuadanga,927,309,900,292,890,289
33,Jashore,923,362,901,336,902,338
34,Jhenaidah,372,115,2059,717,1711,585
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,108,46,109,46,102,42
36,Kushtia,703,355,642,320,613,302
37,Magura,171,69,164,67,161,66
38,Meherpur,1303,435,1274,428,1564,577
39,Narail,178,64,107,39,103,36
40,Satkhira,387,116,349,100,336,102
4,Khulna Division,5085,1876,6520,2352,6382,2337
41,Jamalpur,1500,600,4407,1526,1807,642
42,Mymensingh,2100,806,2111,812,2018,786
43,Netrokona,297,138,294,140,340,102
44,Sherpur,1551,858,1351,754,1342,751
5,Mymensingh Division,5448,2402,5498,2310,5507,2281
45,Bogura,614,274,615,274,610,271
46,Joypurhat,145,57,152,61,147,61
47,Naogaon,634,265,45,25,429,189
48,Natore,1056,358,1038,353,1002,342
49,Chapai Nawabganj,40018,14287,40633,14288,17729,5524
50,Pabna,4937,2646,4860,2341,4934,2652
51,Rajshahi,8114,3179,8551,3422,7717,2838
52,Sirajganj,5939,1887,6015,1921,6335,2054
6,Rajshahi Division,61457,22953,61909,22685,38903,13931
53,Dinajpur,799,295,762,288,746,286
54,Gaibandha,948,337,934,330,837,323
55,Kurigram,1990,1017,2119,1078,2018,945
56,Lalmonirhat,221,96,225,87,239,92
57,Nilphamari,144,66,139,66,118,54
58,Panchagar,265,128,275,137,306,152
59,Rangpur,1161,573,1196,561,1194,562
60,Tahkurgaon,827,262,815,260,816,261
7,Rangpur Division,6355,2774,6465,2807,6274,2675
61,Habigonj,5,3,4,2,4,3
62,Moulvibazar,244,110,242,117,245,122
63,Sunamganj,600,400,138,41,565,337
64,Sylhet,170,65,563,337,175,77
8,Sylhet Division,1019,578,947,497,989,539
BANGLADESH,,109290,41430,113812,42273,90105.50,34217
