District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,111,51,113,55,109,34
2,Barishal,895,395,896,400,1500,690
3,Bhola,155,58,89,30,166,60
4,Jhallokati,502,259,507,214,483,247
5,Patuakhali,535,161,540,180,534,170
6,Pirojpur,33,11,32,7,32,12
1,Barishal Division,2231,935,2177,886,2824,1213
7,Bandarban,540,162,538,165,528,161
8,Brahmanbaria,1220,507,1300,608,1154,475
9,Chandpur,231,46,217,51,215,50
10,Chattogram,24,3,24,3,24,3
11,Cumilla,2079,904,2243,796,1989,857
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,7,1
14,Khagrachari,131,29,22,56,156,35
15,Lakshmipur,7,1,6,1,0,0
16,Noakhali,17,7,9,3,44,1
17,Rangamati,3453,938,3556,692,2211,898
2,Chattogram Division,7702,2597,8113,2375,6328,2481
18,Dhaka,790,267,771,281,576,284
19,Faridpur,3621,1461,3815,1560,3801,1549
20,Gazipur,327,433,305,370,178,46
21,Gopalganj,822,408,768,371,706,334
22,Kishoreganj,29,8,31,9,31,9
23,Madaripur,551,170,583,178,610,185
24,Manikganj,5308,1461,5224,1626,550,1620
25,Munshiganj,601,258,524,204,557,251
26,Narayanganj,0,0,76,37,77,38
27,Narsingdi,1578,610,1370,567,1001,337
28,Rajbari,4811,2218,4415,2016,4838,2237
29,Shariatpur,58,13,60,15,55,14
30,Tangail,5859,1747,5706,1846,5880,1765
3,Dhaka Division,24355,9054,23648,9080,23518,8669
31,Bagerhat,281,57,284,61,282,254
32,Chuadanga,613,262,648,259,643,2406
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
33,Jashore,7358,2679,6574,2405,6575,2056
34,Jhenaidah,5136,1853,5597,2058,5595,344
35,Khulna,4666,665,3822,344,3823,3592
36,Kushtia,6750,3659,6739,3595,6736,3592
37,Magura,733,257,389,137,396,140
38,Meherpur,279,121,239,106,240,107
39,Narail,3684,1454,2379,959,2377,957
40,Satkhira,368,95,333,96,335,96
4,Khulna Division,29868,11102,27004,10020,27002,10015
41,Jamalpur,448,138,492,158,158,190
42,Mymensingh,252,75,290,137,244,131
43,Netrokona,99,60,40,12,38,10
44,Sherpur,88,28,87,25,99,34
5,Mymensingh Division,887,301,909,332,952,365
45,Bogura,150,47,148,45,130,38
46,Joypurhat,55,18,56,18,56,18
47,Naogaon,429,173,436,178,465,218
48,Natore,4028,1405,2931,1265,1026,688
49,Chapai Nawabganj,93,24,141,36,152,37
50,Pabna,9304,3930,8654,3457,8543,3356
51,Rajshahi,2376,923,2567,926,22088,895
52,Sirajganj,4352,1473,2318,821,4406,1522
6,Rajshahi Division,20787,7993,17251,6746,17066,6772
53,Dinajpur,62,20,57,17,55,18
54,Gaibandha,877,518,786,452,794,400
55,Kurigram,528,170,533,189,546,194
56,Lalmonirhat,111,48,118,51,103,47
57,Nilphamari,28,8,40,14,37,12
58,Panchagar,4907,1920,3393,1252,3478,1416
59,Rangpur,201,87,207,85,174,72
60,Tahkurgaon,190,62,193,62,189,61
7,Rangpur Division,6904,2833,5327,2122,5376,2220
61,Habigonj,24,11,24,12,24,11
62,Moulvibazar,31,13,29,14,32,12
63,Sunamganj,33,14,35,18,35,20
64,Sylhet,9,6,9,8,11,8
8,Sylhet Division,97,44,97,52,102,51
BANGLADESH,,92831,34859,84526,31613,83168,31786
