District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,934,334,935,340,975,269
2,Barishal,2911,993,2912,995,8500,3200
3,Bhola,33453,13899,34268,11997,25555,10262
4,Jhallokati,1289,481,1290,483,1286,487
5,Patuakhali,2659,801,2828,792,2681,601
6,Pirojpur,1019,412,1017,415,1021,419
1,Barishal Division,42265,16920,43250,15022,40018,15238
7,Bandarban,332,331,332,331,504,313
8,Brahmanbaria,2796,1716,2805,1716,2854,1832
9,Chandpur,6000,2800,5821,2613,5818,2973
10,Chattogram,7201,2724,7215,2734,6102,2252
11,Cumilla,8112,4707,7314,4330,6652,4010
12,Cox’s Bazar,1898,1176,1897,1177,1876,1291
13,Feni,769,221,748,176,531,207
14,Khagrachari,778,262,792,279,787,304
15,Lakshmipur,4206,1467,4134,1436,4190,1463
16,Noakhali,9615,3297,7728,2936,7036,2653
17,Rangamati,1197,693,116,626,162,128
2,Chattogram Division,42904,19394,38902,18354,36512,17426
18,Dhaka,1388,579,1092,2351,1390,643
19,Faridpur,2532,2407,2537,2409,2561,2433
20,Gazipur,1376,544,1376,544,1392,568
21,Gopalganj,649,543,657,551,858,530
22,Kishoreganj,3080,2310,3649,3260,3738,3263
23,Madaripur,1092,553,1260,603,1267,759
24,Manikganj,6717,3368,6704,3246,6753,3447
25,Munshiganj,869,555,871,562,951,603
26,Narayanganj,545,222,163,59,541,222
27,Narsingdi,1933,904,1923,751,1922,750
28,Rajbari,1270,1703,1208,750,1253,675
29,Shariatpur,10800,6100,10138,6164,10131,6171
30,Tangail,3012,1001,2952,985,2922,992
3,Dhaka Division,35263,20789,34530,22235,35679,21056
31,Bagerhat,900,400,889,467,883,463
32,Chuadanga,1013,1150,925,928,945,975
33,Jashore,2442,1052,1562,1278,2023,988
34,Jhenaidah,1730,995,1818,2250,1809,2530
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,407,653,399,635,397,653
36,Kushtia,658,743,677,823,729,889
37,Magura,532,561,540,521,544,889
38,Meherpur,502,407,452,390,437,531
39,Narail,452,1145,451,1154,536,382
40,Satkhira,692,796,670,806,647,397
4,Khulna Division,9328,7902,8383,9252,8950,824
41,Jamalpur,16098,6533,15894,6407,14947,8632
42,Mymensingh,3505,2447,3535,2459,3546,5935
43,Netrokona,1032,632,1166,637,1094,2480
44,Sherpur,2908,1189,2990,1235,2971,696
5,Mymensingh Division,23543,10801,23585,10738,22558,1717
45,Bogura,10152,6153,10091,6119,9841,10828
46,Joypurhat,522,235,519,236,524,6268
47,Naogaon,1434,1080,1451,1105,1468,410
48,Natore,900,400,905,462,902,1123
49,Chapai Nawabganj,260,274,283,307,330,1602
50,Pabna,1381,880,1389,889,1408,408
51,Rajshahi,1591,1012,1581,2320,1780,2925
52,Sirajganj,4586,2522,4642,2559,4701,3129
6,Rajshahi Division,20826,12556,20861,13997,20954,5548
53,Dinajpur,2718,1250,2752,1343,2814,21413
54,Gaibandha,1320,800,1222,709,1248,1586
55,Kurigram,1396,893,1402,897,1370,777
56,Lalmonirhat,578,300,596,653,592,896
57,Nilphamari,4230,3299,4364,3268,4520,662
58,Panchagar,13102,6608,9252,5802,9702,3367
59,Rangpur,3534,1804,3210,1770,3228,6671
60,Tahkurgaon,831,495,824,569,831,238
7,Rangpur Division,27709,15449,23622,15011,24305,15983
61,Habigonj,530,481,521,473,524,442
62,Moulvibazar,341,134,315,136,295,138
63,Sunamganj,700,477,700,480,693,482
64,Sylhet,613,333,587,323,588,325
8,Sylhet Division,2184,1425,2123,1412,2100,1387
BANGLADESH,,204022,105236,195256,106021,191076,111963
