District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,55,47,54,45,45,43
2,Barishal,352,289,267,437,320,450
3,Bhola,1327,1322,1330,1340,1406,2458
4,Jhallokati,22,19,24,21,28,25
5,Patuakhali,323,312,325,325,301,310
6,Pirojpur,61,58,56,53,59,68
1,Barishal Division,2140,2047,2056,2221,2159,3354
7,Bandarban,69,132,71,134,70,134
8,Brahmanbaria,853,1134,809,1078,874,1211
9,Chandpur,1092,1793,1084,1777,1078,1767
10,Chattogram,123,143,126,145,118,119
11,Cumilla,731,1359,695,1306,684,1294
12,Cox’s Bazar,24,30,25,30,25.80,30.30
13,Feni,40,27,30,70,27,63
14,Khagrachari,37,35,42,44,44,44
15,Lakshmipur,231,199,222,192,210,180
16,Noakhali,465,699,327,444,204,293
17,Rangamati,51,78,53,83,50,80
2,Chattogram Division,3716,5629,3484,5303,3384.80,5215.30
18,Dhaka,1855,2468,1854,2468,1853,6519
19,Faridpur,5954,8200,5796,8250,5767,8259
20,Gazipur,358,277,360,283,369,293
21,Gopalganj,500,1245,501,1265,324.30,809.58
22,Kishoreganj,1099,2608,681,1103,951,2197
23,Madaripur,4244,16510,6643,26244,7503,27199
24,Manikganj,1493,2117,1470,2071,1505,2186
25,Munshiganj,267,331,272,339,272.15,331.24
26,Narayanganj,173,149,170,221,168.57,169.54
27,Narsingdi,904,763,122,143,211,226
28,Rajbari,14196,35459,14212,35713,14182,35631
29,Shariatpur,2720,6270,2619,6287,2669,6423
30,Tangail,1304,1830,1263,1784,1266,1782
3,Dhaka Division,35067,78227,35963,86171,37041.02,92025.36
31,Bagerhat,151,166,154,187,151,201
32,Chuadanga,685,1605,825,2135,780,2242
33,Jashore,1255,3657,1260,3701,1249,3608
34,Jhenaidah,3649,10541,3743,10691,3806,10816
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,146,245,134,242,131,229
36,Kushtia,3460,9676,3479,9758,5963,16448
37,Magura,2385,7294,1634,5147,2437,7631
38,Meherpur,936,3262,991,3309,1299,3629
39,Narail,391,1006,357,890,363,907
40,Satkhira,677,1720,685,1709,623,1588
4,Khulna Division,13735,39172,13262,37769,16802,47299
41,Jamalpur,1212,2452,1369,2665,1319,2579
42,Mymensingh,1022,2160,984,2118,1016,2151
43,Netrokona,612,1077,618,1235,755,1526
44,Sherpur,409,759,434,807,448,806
5,Mymensingh Division,3255,6448,3405,6825,3538,7062
45,Bogura,824,1448,856,1504,846,1463
46,Joypurhat,303,736,298,727,308,744
47,Naogaon,2860,7227,2872,7276,2873,7319
48,Natore,57575,168103,57308,165831,53704,155990
49,Chapai Nawabganj,6128,11059,6033,10905,6051,10859
50,Pabna,23956,65853,23594,65057,23692,65095
51,Rajshahi,10865,35632,10263,29894,10896,34628
52,Sirajganj,1236,2542,1259,2966,1319,2855
6,Rajshahi Division,103747,292600,102483,284160,99689,278953
53,Dinajpur,7484,22419,9068,27454,10984,33750
54,Gaibandha,737,1006,711,969,745,1017
55,Kurigram,548,786,545,782,586,821
56,Lalmonirhat,600,1114,610,1135,629,1180
57,Nilphamari,655,1765,1006,3037,1317,3742
58,Panchagar,1411,3716,1439,3779,1524,4031
59,Rangpur,2206,4719,2188,4585,2250,4741
60,Tahkurgaon,712,1468,724,1503,731,1520
7,Rangpur Division,14353,36993,16291,43244,18766,50802
61,Habigonj,137,310,140,319,110,205.90
62,Moulvibazar,66,107,50,96,69,111
63,Sunamganj,198,392,87,250,168,381
64,Sylhet,50,45,41,31,51,39
8,Sylhet Division,451,854,318,696,398,736.90
BANGLADESH,,176464,461970,177262,466389,181777.82,485447.56
