District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,17,36,0,0,0,0,3,3,0,3,17
2,Barishal,0,136,148,0,0,0,0,65,65,0,65,70
3,Bhola,0,11,6,0,0,0,0,7,7,0,7,9
4,Jhallokati,0,64,65,0,0,0,0,25,25,0,25,25
5,Patuakhali,0,87,95,0,0,0,0,50,50,0,50,35
6,Pirojpur,0,8,84,0,0,0,0,52,52,0,52,52
1,Barishal Division,0,323,434,0,0,0,0,202,202,0,202,208
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,1,4,0,0,0,0,3,3,0,3,3
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,1,0,0,0,0,3,3,0,3,6
11,Cumilla,0,1,2,0,0,0,0,0,0,0,0,1
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,1,1,0,0,0,0,1,1,0,1,1
14,Khagrachari,0,184,200,0,67,77,0,59,59,0,126,141
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,0,76,80,0,3,3,0,61,61,0,64,70
2,"Chattogram
Division",0,263,288,0,70,80,0,127,127,0,197,221
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,12,0,0,0,0,0,1,1,0,1,1
20,Gazipur,0,0,34,0,0,0,0,0,0,0,0,8
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,0,16,25,0,0,0,0,4,4,0,4,49
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,53,2,0,0,0,0,1,1,0,1,2
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,0,205,6,0,0,0,0,17,17,0,17,0
3,Dhaka Division,0,286,67,0,0,0,0,23,23,0,23,60
31,Bagerhat,0,5,20,0,0,0,0,0,0,0,0,14
32,Chuadanga,0,0,4,0,0,0,0,0,0,0,0,4
33,Jashore,0,21,10,0,0,0,0,10,10,0,10,20
34,Jhenaidah,0,0,3,0,0,0,0,8,8,0,8,4
35,Khulna,0,0,9,0,0,0,0,6,6,0,6,2
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,3,0,0,0,0,0,33,0,0,33
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,0,11,80,0,19,17,0,19,19,0,38,36
40,Satkhira,0,0,26,0,0,0,0,5,57,0,5,57
4,Khulna Division,0,37,155,0,19,17,0,48,153,0,67,170
41,Jamalpur,0,2,3,0,2,0,0,0,6,0,2,6
42,Mymensingh,0,179,13,0,0,0,0,31,12,0,31,12
43,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,1,2,0,0,0,0,2,2,0,2,2
5,"Mymensingh
Division",0,182,18,0,2,0,0,33,20,0,35,20
45,Bogura,0,2,24,0,6,6,0,23,23,0,29,29
46,Joypurhat,0,0,56,0,0,0,0,6,0,0,6,0
47,Naogaon,0,0,9,0,0,0,0,0,89,0,0,89
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,3,0,0,0,0,4,0,0,4,0
6,Rajshahi Division,0,2,92,0,6,6,0,33,112,0,39,118
53,Dinajpur,0,31,38,0,0,0,0,66,66,0,66,66
54,Gaibandha,0,3,3,0,0,0,0,9,10,0,9,10
55,Kurigram,0,19,11,0,0,0,0,40,38,0,40,38
56,Lalmonirhat,0,6,36,0,12,26,0,57,67,0,69,93
57,Nilphamari,0,15,15,0,75,75,0,83,81,0,158,156
58,Panchagar,0,117,126,0,104,126,0,59,90,0,163,216
59,Rangpur,0,5,5,0,0,0,0,22,24,0,22,24
60,Tahkurgaon,0,8,9,0,7,7,0,13,14,0,20,21
7,Rangpur Division,0,204,243,0,198,234,0,349,390,0,547,624
61,Habigonj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,38,49,0,0,0,0,288,306,0,288,306
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,41,46,0,22,49,0,16,38,0,38,87
8,Sylhet Division,0,79,95,0,22,49,0,304,344,0,326,393
BANGLADESH,,0,1376,1392,0,317,386,0,1119,1428,0,1436,1814
