District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,86,112,80,126,72,90
2,Barishal,20,16,25,29,26,23
3,Bhola,66,205,45,142,56,107
4,Jhallokati,7,10,0,0,0,0
5,Patuakhali,117,165,120,145,118,135
6,Pirojpur,43,95,45,100,44,98
1,Barishal Division,339,603,315,542,316,453
7,Bandarban,1526,6204,1529,6215,1530,6218
8,Brahmanbaria,59,77,44,47,43,59
9,Chandpur,7,4,6,3,6,3
10,Chattogram,2616,10415,2623,10457,2489,10576
11,Cumilla,39,142,37,140,37,140
12,Cox’s Bazar,332,2152,327,2136,326,2136
13,Feni,29,67,19,46,19,46
14,Khagrachari,2000,7290,2054,7596,2112,7975
15,Lakshmipur,32,91,30,81,30,79
16,Noakhali,47,58,43,53,31,40
17,Rangamati,3304,25044,3328,25235,3306,25170
2,Chattogram Division,9991,51544,10040,52009,9929,52442
18,Dhaka,2,4,2,5,1,4
19,Faridpur,0,0,0,0,0,0
20,Gazipur,2880,10873,2858,10449,2849,10560
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,39,135,23,95,18,62
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,15,69,16,70,15,70
27,Narsingdi,307,1283,335,1331,281,1308
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,16535,117011,18107,126538,18673,126865
3,Dhaka Division,19778,129375,21341,138488,21837,138869
31,Bagerhat,48,65,48,67,50,69
32,Chuadanga,0,0,0,0,0,0
33,Jashore,131,465,123,428,112,384
34,Jhenaidah,1,2,1,2,1,2
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,20,67,18,63,30,50
36,Kushtia,0,0,0,0,0,0
37,Magura,7,32,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,34,100,38,115,37,102
4,Khulna Division,241,731,228,675,230,607
41,Jamalpur,89,261,114,331,110,319
42,Mymensingh,2497,15636,2495,15304,2490,15346
43,Netrokona,30,105,32,117,32,118
44,Sherpur,25,70,32,85,33,95
5,Mymensingh Division,2641,16072,2673,15837,2665,15878
45,Bogura,24,57,24,53,20,46
46,Joypurhat,2,5,1,4,0,0
47,Naogaon,28,117,35,63,36,62
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi Division,54,179,60,120,56,108
53,Dinajpur,3,6,4,7,4,6
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,30,142,21,125,22,135
56,Lalmonirhat,10,20,9,17,10,18
57,Nilphamari,19,110,13,78,10,59
58,Panchagar,46,109,45,105,46,109
59,Rangpur,42,86,43,88,42,86
60,Thakurgaon,14,31,23,50,25,52
7,Rangpur Divison,164,504,158,470,159,465
61,Habiganj,540,1950,513,1855,487,1704
62,Moulvibazar,1092,6200,1110,6308,1115,6350
63,Sunamganj,27,36,0,0,26,32
64,Sylhet,370,1207,362,1135,362,1140
8,Sylhet Division,2029,9393,1985,9298,1990,9226
BANGLADESH,,35237,208401,36800,217439,37182,218048
