District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M.Tons )",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,18950,173,151,497,497,413,140,140,222,637,637,635
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,8814,2,2,0,0,0,0,1,1,0,1,1
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox’s Bazar,4645,37,32,8,0,0,4,11,22,12,11,22
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,45921,431,377,822,821,853,96,104,111,918,925,964
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,39362,378,331,919,0,826,240,1182,177,1159,1182,1003
2,"Chattogram
Division",117691,1020,893,2246,1318,2092,480,1438,533,2726,2756,2625
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,1922,9,17,4,6,1,2,1,6,6,7,7
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,27548,140,140,6,6,5,1,1,1,7,7,6
3,Dhaka Division,29469,159,159,10,12,6,3,2,7,13,14,13
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,3,3,0,0,13,0,0,0,0,0,13
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,0,18,18,0,0,9,0,0,0,0,0,9
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,73,0,0,0,0,0,73,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,0,21,19,0,73,22,0,0,0,0,73,22
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,,0,0,,0,0,0
43,Netrokona,572,2,2,0,2,14,15,40,6,15,42,20
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mymensingh
Division",572,2,2,0,2,14,15,40,6,15,42,20
45,Bogura,0,0,0,0,0,0,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,3,0,0,3,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,1,1,0,0,1,0,0,0,0,0,1
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi Division,0,1,1,0,0,1,0,3,0,0,3,1
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,766,2,2,1,0,1,0,1,2,1,1,3
57,Nilphamari,581,5,5,4,0,0,0,6,6,9,6,6
58,Panchagar,5742,98,98,86,0,54,0,46,12,46,46,66
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,1628,16,16,14,0,3,0,4,1,4,4,4
7,Rangpur Divison,8716,121,121,106,0,58,0,57,21,60,57,79
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,49048,446,446,390,190,190,161,147,147,351,337,337
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,15154,144,144,126,99,77,40,12,38,150,111,115
8,Sylhet Division,64201,590,590,516,289,267,201,159,185,501,448,452
BANGLADESH,,220650,1967,1967,1915,2426,2460,699,706,752,3315,3393,3212
