District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,109,10,0,0,0,0,125,7,0,125,7
2,Barishal,0,2,111,0,0,0,0,2,140,0,2,140
3,Bhola,0,22,2,0,0,0,0,17,2,0,17,2
4,Jhallokati,0,0,23,0,0,0,0,0,16,0,0,16
5,Patuakhali,0,11,0,0,0,0,0,13,0,0,13,0
6,Pirojpur,0,144,5,0,0,0,0,157,13,0,157,13
1,Barishal Division,0,0,151,0,0,0,0,3,178,0,3,178
7,Bandarban,0,0,32,0,0,0,0,44,2,0,44,2
8,Brahmanbaria,0,0,19,0,0,0,0,42,37,0,42,37
9,Chandpur,0,0,21,0,0,32,0,157,10,0,157,42
10,Chattogram,0,26,42,0,0,0,0,25,154,0,55,154
11,Cumilla,0,0,43,0,30,13,0,0,43,0,0,56
12,Cox’s Bazar,0,2,13,0,0,0,0,3,65,0,3,65
13,Feni,0,52,2,0,0,0,0,52,3,0,57,3
14,Khagrachari,0,1,52,0,5,5,0,5,54,0,5,59
15,Lakshmipur,0,14,13,0,0,0,0,9,17,0,9,17
16,Noakhali,0,111,1,0,0,0,0,204,3,0,205,3
17,Rangamati,0,206,113,0,1,1,0,544,153,0,580,154
2,"Chattogram
Division",0,26,351,0,36,51,0,109,541,0,109,592
18,Dhaka,0,14,27,0,0,0,0,56,110,0,56,110
19,Faridpur,0,75,2,0,0,0,0,80,62,0,80,62
20,Gazipur,0,42,44,0,0,0,0,80,81,0,80,81
21,Gopalganj,0,26,2,0,0,0,0,64,16,0,64,16
22,Kishoreganj,0,38,22,0,0,0,0,645,66,0,645,66
23,Madaripur,0,40,8,0,0,0,0,79,103,0,79,103
24,Manikganj,0,1,41,0,0,0,0,114,81,0,114,81
25,Munshiganj,0,5,22,0,0,0,0,31,122,0,31,122
26,Narayanganj,0,1,5,0,0,0,0,6,31,0,6,31
27,Narsingdi,0,12,1,0,0,0,0,20,6,0,28,6
28,Rajbari,0,12,9,0,8,0,0,56,23,0,56,23
29,Shariatpur,0,45,14,0,0,0,0,254,57,0,254,57
30,Tangail,0,337,45,0,0,18,0,1594,359,0,1602,377
3,Dhaka Division,0,61,242,0,8,18,0,1647,1117,0,1647,1135
31,Bagerhat,0,5,50,0,0,0,0,10,1431,0,10,1431
32,Chuadanga,0,49,5,0,0,0,0,403,11,0,403,11
33,Jashore,0,24,41,0,0,0,0,122,372,0,122,372
34,Jhenaidah,0,45,23,0,0,0,0,92,119,0,129,119
35,Khulna,0,15,15,0,37,11,0,121,34,0,121,45
36,Kushtia,0,0,17,0,0,0,0,0,126,0,335,126
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,0,0,1,0,0,0,0,37,38,0,37,38
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,18,2,0,0,0,0,43,41,0,43,41
43,Netrokona,0,0.023,0,0,0,0,0,3,14,0,3,14
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mymensingh
Division",0,18.023,2,0,0,0,0,46,55,0,46,55
45,Bogura,0,0,0,0,0,0,0,19,19,0,19,19
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi Division,0,0,0,0,0,0,0,19,19,0,19,19
53,Dinajpur,0,3,0,0,0,0,0,12,0,0,12,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0,0,0,0,0,0,0
57,Nilphamari,0,3,1,0,0,0,0,15,22,0,15,22
58,Panchagar,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0,0,0,0,0,0,0,0,0
7,Rangpur Divison,0,6,1,0,0,0,0,27,22,0,27,22
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0,0,5,4,0,5,4
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet Division,,14,17,,0,0,0,7,9,,7,9
,BANGLADESH,0,26,25,0,101,80,0,6082,5503,0,6183,5583
