District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,0,2,2,0,0,0,0,1,2,0,1,2
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0,0,0,0,0,0,0
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0,0,0,0,0,0,0
2,"Chattogram
Division",0,2,2,0,0,0,0,1,2,0,1,2
18,Dhaka,0,0,0,0,0,0,0,0,2,0,0,0
19,Faridpur,0,0,3,0,0,0,0,0,17,0,0,0
20,Gazipur,0,8,7,0,0,0,0,72,74,0,72,0
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,70,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,1,1,0,0,0,0,2,15,0,2,2
26,Narayanganj,0,4,3,0,7,7,0,25,24,0,32,2
27,Narsingdi,0,0,0,0,0,0,0,0,1,0,0,17
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,74
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,0,1,1,0,0,0,0,1,1,0,1,0
3,Dhaka Division,0,14,18,0,7,7,0,170,134,0,107,0
31,Bagerhat,0,7,0,0,0,0,0,16,0,0,16,15
32,Chuadanga,0,1,0,0,0,0,0,0,1,0,0,31
33,Jashore,0,2,2,0,0,0,0,9,8,0,9,1
34,Jhenaidah,0,0,0,0,0,0,0,3,3,0,3,0
35,Khulna,0,7,2,0,0,0,0,16,2,0,16,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,2,2,0,0,0,0,3,3,0,3,2
4,Khulna Division,0,19,19,0,0,0,0,47,16,0,47,16
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mymensingh
Division",0,0,0,0,0,0,0,0,0,0,0,0
45,Bogura,0,1,1,0,0,0,0,5,3,0,5,3
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi Division,0,1,1,0,0,0,0,5,3,0,5,3
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0
58,Panchagar,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0,0,0,0,0,0,0,0,0
7,Rangpur Divison,0,0,0,0,0,0,0,0,0,0,0,0
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,1,1,0,0,0,0,9,9,0,9,9
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet Division,0,1,1,0,0,0,0,9,9,0,9,9
BANGLADESH,,0,37,27,0,7,7,0,162,164,0,169,171
