District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,14,29,8,7,8,1560
9,Chandpur,0,0,0,0,0,0
10,Chattogram,9,12,8,9,7,9
11,Cumilla,46,60,56,73,56,73
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,14,32,14,32
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,6,9,8,14,9,14
2,Chattogram Division,75,110,94,135,94,1688
18,Dhaka,387,459,574,679,669,772
19,Faridpur,164,266,181,279,180,279
20,Gazipur,99,148,95,142,91,133
21,Gopalganj,104,166,108,179,127,250
22,Kishoreganj,64,150,50,123,51,126
23,Madaripur,12,9,12,9,12,9
24,Manikganj,340,330,385,384,390,437
25,Munshiganj,122,128,133,127,128,157
26,Narayanganj,219,606,220,516,216,635
27,Narsingdi,57,82,57,81,59,85
28,Rajbari,603,1988,655,2185,659,2198
29,Shariatpur,62,67,68,68,64,70
30,Tangail,322,1033,318,988,293,914
3,Dhaka Division,2555,5432,2856,5760,2939,6065
31,Bagerhat,83,207,84,210,81,199
32,Chuadanga,840,2312,859,2354,867,2361
33,Jashore,3038,17867,3066,17957,3096,18217
34,Jhenaidah,1881,8548,1913,8812,1741,8172
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,107,177,103,169,104,171
36,Kushtia,573,1551,550,2018,555,2074
37,Magura,120,368,126,388,131,402
38,Meherpur,235,698,227,705,230,737
39,Narail,235,1032,220,962,221,947
40,Satkhira,1056,3142,959,2820,965,2867
4,Khulna Division,8168,35902,8107,36395,7991,36145
41,Jamalpur,166,503,191,556,443,1187
42,Mymensingh,326,706,328,710,998,4058
43,Netrokona,0,0,0,0,203,378
44,Sherpur,278,1229,290,127,477,2036
5,Mymensingh Division,770,2438,809,1393,2121,7659
45,Bogura,769,2803,785,2860,785,3055
46,Joypurhat,620,4201,630,4199,630,2972
47,Naogaon,1437,6113,1480,6315,1480,5771
48,Natore,491,1094,135,338,491,1113
49,Chapai Nawabganj,415,917,453,1024,453,1144
50,Pabna,2738,8306,2733,8301,2755,8341
51,Rajshahi,1578,6084,1555,6189,1580,5530
52,Sirajganj,199,392,408,631,416,718
6,Rajshahi Division,8247,29910,8179,29857,8632,28466
53,Dinajpur,830,1942,832,2049,852,2114
54,Gaibandha,545,2072,555,2109,490,1889
55,Kurigram,597,1429,584,1384,626,1533
56,Lalmonirhat,285,876,309,1048,310,997
57,Nilphamari,299,920,306,953,316,1003
58,Panchagar,235,498,235,500,244,524
59,Rangpur,796,2306,827,2424,818,2376
60,Thakurgaon,635,1343,654,1346,658,1348
7,Rangpur Divison,4222,11386,4302,11813,4314,11784
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,12,10,17,21,17,22
8,Sylhet Division,12,10,17,21,17,22
BANGLADESH,,24049,85188,24364,85374,26095,90576
