District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,0,0,249,422,253,428
8,Brahmanbaria,0,0,45,52,45,50
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,1159,6036,1151,6039
11,Cumilla,0,0,49,170,48,169
12,Cox’s Bazar,0,0,0,0,52,291
13,Feni,0,0,34,124,34,125
14,Khagrachari,0,0,1270,6593,1301,6757
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,27,65
17,Rangamati,0,0,612,1854,588,1626
2,Chattogram Division,0,0,3418,15251,3499,15550
18,Dhaka,0,0,71,220,0,0
19,Faridpur,0,0,183,837,188,843
20,Gazipur,0,0,213,402,214,413
21,Gopalganj,0,0,41,149,113,395
22,Kishoreganj,0,0,156,510,146,501
23,Madaripur,0,0,20,39,20,39
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,17,12,0,0
26,Narayanganj,0,0,71,220,57,175
27,Narsingdi,0,0,32,82,55,231
28,Rajbari,0,0,427,2109,447,2484
29,Shariatpur,0,0,0,0,59,91
30,Tangail,0,0,784,4559,794,4572
3,Dhaka Division,0,0,2015,9139,2093,9744
31,Bagerhat,0,0,188,559,197,590
32,Chuadanga,0,0,822,4632,824,4650
33,Jashore,0,0,1550,9571,409,1859
34,Jhenaidah,0,0,0,0,726,3319
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,0,0,136,460,140,468
36,Kushtia,0,0,1212,5806,1200,5834
37,Magura,0,0,75,394,79,413
38,Meherpur,0,0,3436,20839,2004,16634
39,Narail,0,0,112,558,116,582
40,Satkhira,0,0,470,2245,718,3144
4,Khulna Division,0,0,7531,45064,5695,37493
41,Jamalpur,0,0,79,144,87,158
42,Mymensingh,0,0,817,3165,816,3160
43,Netrokona,0,0,171,222,131,321
44,Sherpur,0,0,141,613,148,619
5,Mymensingh Division,0,0,1208,4144,1182,4258
45,Bogura,0,0,966,4943,1007,3062
46,Joypurhat,0,0,186,1043,196,1059
47,Naogaon,0,0,506,1661,460,1568
48,Natore,0,0,367,741,324,542
49,Chapai Nawabganj,0,0,131,318,135,332
50,Pabna,0,0,547,1569,552,1582
51,Rajshahi,0,0,733,3535,987,4616
52,Sirajganj,0,0,57,180,87,264
6,Rajshahi Division,0,0,3493,13990,3748,13025
53,Dinajpur,0,0,548,1558,543,1611
54,Gaibandha,0,0,622,2158,612,2125
55,Kurigram,0,0,710,2999,581,2150
56,Lalmonirhat,0,0,257,1522,262,1553
57,Nilphamari,0,0,429,1913,522,2274
58,Panchagar,0,0,1322,4198,1448,4421
59,Rangpur,0,0,1113,4551,293,1270
60,Thakurgaon,0,0,940,2835,942,2860
7,Rangpur Divison,0,0,5941,21734,5203,18264
61,Habiganj,0,0,586,1939,638,2039
62,Moulvibazar,0,0,540,1400,80,180
63,Sunamganj,0,0,0,0,71,423
64,Sylhet,0,0,564,1598,570,1615
8,Sylhet Division,0,0,1690,4937,1359,4257
BANGLADESH,,0,0,25296,109322,22779,98334
