District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,100,124,93,105
2,Barishal,0,0,237,493,238,494
3,Bhola,0,0,77,73,78,71
4,Jhallokati,0,0,75,95,76,98
5,Patuakhali,0,0,137,139,95,110
6,Pirojpur,0,0,130,207,120,185
1,Barishal Division,0,0,756,1131,700,1063
7,Bandarban,0,0,112,128,116,132
8,Brahmanbaria,0,0,235,886,236,891
9,Chandpur,0,0,115,155,115,155
10,Chattogram,0,0,158,201,78,158
11,Cumilla,0,0,382,790,390,833
12,Cox’s Bazar,0,0,14,18,15,20
13,Feni,0,0,46,57,75,103
14,Khagrachari,0,0,206,357,216,374
15,Lakshmipur,0,0,243,279,139,191
16,Noakhali,0,0,101,109,88,97
17,Rangamati,0,0,122,206,124,236
2,Chattogram Division,0,0,1734,3186,1592,3190
18,Dhaka,0,0,112,127,404,818
19,Faridpur,0,0,536,1255,534,1252
20,Gazipur,0,0,121,166,121,171
21,Gopalganj,0,0,217,299,417,930
22,Kishoreganj,0,0,229,443,232,453
23,Madaripur,0,0,182,267,188,273
24,Manikganj,0,0,67,70,77,97
25,Munshiganj,0,0,112,127,114,142
26,Narayanganj,0,0,206,437,61,86
27,Narsingdi,0,0,154,254,154,253
28,Rajbari,0,0,378,930,521,1618
29,Shariatpur,0,0,322,303,374,397
30,Tangail,0,0,471,1086,509,1161
3,Dhaka Division,0,0,3107,5764,3706,7651
31,Bagerhat,0,0,198,215,199,221
32,Chuadanga,0,0,80,201,80,201
33,Jashore,0,0,844,1449,846,1470
34,Jhenaidah,0,0,538,2249,388,1270
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,0,0,741,899,190,245
36,Kushtia,0,0,330,1026,328,1196
37,Magura,0,0,91,148,93,156
38,Meherpur,0,0,140,475,56,181
39,Narail,0,0,126,254,128,252
40,Satkhira,0,0,533,1460,220,377
4,Khulna Division,0,0,3621,8376,2528,5569
41,Jamalpur,0,0,392,1177,411,1186
42,Mymensingh,0,0,682,1977,679,1975
43,Netrokona,0,0,177,230,163,242
44,Sherpur,0,0,43,88,43,89
5,Mymensingh Division,0,0,1294,3472,1296,3492
45,Bogura,0,0,361,1233,114,248
46,Joypurhat,0,0,23,10,7,2
47,Naogaon,0,0,129,336,132,345
48,Natore,0,0,108,126,33,34
49,Chapai Nawabganj,0,0,115,278,230,420
50,Pabna,0,0,376,593,383,645
51,Rajshahi,0,0,89,201,116,298
52,Sirajganj,0,0,177,366,1019,1997
6,Rajshahi Division,0,0,1378,3143,2034,3989
53,Dinajpur,0,0,262,428,278,442
54,Gaibandha,0,0,171,263,176,272
55,Kurigram,0,0,186,283,188,287
56,Lalmonirhat,0,0,131,223,133,226
57,Nilphamari,0,0,126,297,143,314
58,Panchagar,0,0,194,365,214,414
59,Rangpur,0,0,313,507,296,486
60,Thakurgaon,0,0,173,268,176,276
7,Rangpur Divison,0,0,245,377,1604,2717
61,Habiganj,0,0,272,441,175,494
62,Moulvibazar,0,0,135,405,251,531
63,Sunamganj,0,0,232,854,98,282
64,Sylhet,0,0,233,385,233,382
8,Sylhet Division,0,0,872,1885,757,1689
BANGLADESH,,0,0,13007,27334,14217,29360
