District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,22,39,23,40
2,Barishal,0,0,119,219,223,227
3,Bhola,0,0,171,250,166,212
4,Jhallokati,0,0,69,51,71,85
5,Patuakhali,0,0,70,84,76,91
6,Pirojpur,0,0,1,5,2,6
1,Barishal Division,0,0,452,648,561,661
7,Bandarban,0,0,103,128,104,129
8,Brahmanbaria,0,0,122,243,117,234
9,Chandpur,0,0,74,146,75,147
10,Chattogram,0,0,106,122,105,121
11,Cumilla,0,0,212,550,224,728
12,Cox’s Bazar,0,0,74,209,76,241
13,Feni,0,0,43,99,42,59
14,Khagrachari,0,0,169,276,181,297
15,Lakshmipur,0,0,187,225,129,186
16,Noakhali,0,0,144,165,141,180
17,Rangamati,0,0,72,95,100,204
2,Chattogram Division,0,0,1306,2258,1294,2526
18,Dhaka,0,0,134,278,132,384
19,Faridpur,0,0,131,386,132,384
20,Gazipur,0,0,38,33,32,40
21,Gopalganj,0,0,51,64,56,72
22,Kishoreganj,0,0,11,22,10,20
23,Madaripur,0,0,49,57,39,48
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,42,33,41,45
26,Narayanganj,0,0,527,614,59,89
27,Narsingdi,0,0,2,25,4,12
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,21,14,29,39
30,Tangail,0,0,216,857,225,898
3,Dhaka Division,0,0,1222,2383,759,2031
31,Bagerhat,0,0,0,0,59,64
32,Chuadanga,0,0,79,195,71,179
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,444,782,54,71
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,0,0,187,233,170,212
36,Kushtia,0,0,0,0,0,0
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,65,183,22,57
39,Narail,0,0,44,50,45,50
40,Satkhira,0,0,0,0,36,44
4,Khulna Division,0,0,819,1443,457,677
41,Jamalpur,0,0,169,394,180,317
42,Mymensingh,0,0,118,391,223,580
43,Netrokona,0,0,71,118,67,110
44,Sherpur,0,0,94,331,105,374
5,Mymensingh Division,0,0,452,1234,575,1381
45,Bogura,0,0,69,119,53,92
46,Joypurhat,0,0,19,17,59,117
47,Naogaon,0,0,57,133,58,136
48,Natore,0,0,15,3,16,4
49,Chapai Nawabganj,0,0,5,3,6,4
50,Pabna,0,0,0,0,26,42
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,64,107,97,206
6,Rajshahi Division,0,0,229,382,315,601
53,Dinajpur,0,0,110,128,118,136
54,Gaibandha,0,0,98,187,88,156
55,Kurigram,0,0,85,117,87,127
56,Lalmonirhat,0,0,97,187,103,198
57,Nilphamari,0,0,120,250,139,291
58,Panchagar,0,0,167,178,179,190
59,Rangpur,0,0,295,615,270,571
60,Thakurgaon,0,0,81,98,56,67
7,Rangpur Divison,0,0,1053,1760,1040,1736
61,Habiganj,0,0,34,38,35,39
62,Moulvibazar,0,0,0,0,75,85
63,Sunamganj,0,0,38,45,29,54
64,Sylhet,0,0,60,83,58,80
8,Sylhet Division,0,0,132,166,197,258
BANGLADESH,,0,0,5665,10274,5198,9871
