District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,230,567,235,600,230,695
2,Barishal,722,2365,738,2410,750,2650
3,Bhola,527,2144,587,2282,580.90,2331.48
4,Jhallokati,649,2876,659,4300,662,4333
5,Patuakhali,295,730,297,800,305,1854
6,Pirojpur,659,1845,656,1847,641,2382
1,Barishal Division,3082,10527,3172,12239,3168.90,14245.48
7,Bandarban,331,882,474,2590,351,814.45
8,Brahmanbaria,306,972,462,1394,488.85,1286.23
9,Chandpur,999,3308,701,3327,701.25,3327.43
10,Chattogram,1891,9013,1890,9011,1998.38,9229.37
11,Cumilla,2280,10276,2043,10192,2055.20,10223.70
12,Cox’s Bazar,302,2270,301,2269,191.63,1056.33
13,Feni,446,1017,439,1115,453.50,1136.45
14,Khagrachari,711,2448,747,2590,776,2716.46
15,Lakshmipur,925,2089,921,2600,922,2812
16,Noakhali,1343,2678,1330,2842,1315.22,3008.95
17,Rangamati,663,1865,638,1789,636.67,1753.69
2,Chattogram Division,10197,36818,9946,39185,9889.70,37365.06
18,Dhaka,773,7295,774,7315,834.36,6453.24
19,Faridpur,440,1490,472,1561,457,1537
20,Gazipur,351,1254,300,575,349.61,1062.55
21,Gopalganj,600,3449,887,7300,695.50,3089.77
22,Kishoreganj,736,4016,737,4272,725.59,5119.50
23,Madaripur,119,430,55,150,506.30,2653.32
24,Manikganj,532,6517,832,6517,853.20,6554.18
25,Munshiganj,460,914,470,2239,461.10,2224.20
26,Narayanganj,295,1341,330,1479,328.25,1477.41
27,Narsingdi,320,1113,420,1859,409.96,1747.68
28,Rajbari,650,2972,517,2553,572,2693.50
29,Shariatpur,392,1119,326,822,341,1051
30,Tangail,1297,6817,1255,6530,1245.50,6477.87
3,Dhaka Division,6965,38727,7375,43172,7779.37,42141.22
31,Bagerhat,919,2289,619,1769,514,1769
32,Chuadanga,1685,10467,1756,10656,1776,10721
33,Jashore,1466,7810,1471,7868,1478,7870
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
34,Jhenaidah,1089,6746,1092,6168,1169,6887
35,Khulna,675,2189,679,2171,659.49,2061.36
36,Kushtia,907,6678,1050,7520,669,4883
37,Magura,251,1361,246,1339,249,1365
38,Meherpur,185,933,189,986,172,820
39,Narail,314,1628,348,1779,351,1799
40,Satkhira,838,4555,836,4904,837,4490
4,Khulna Division,8329,44656,8286,45160,7874.49,42665.36
41,Jamalpur,794,3328,972,3919,983,3955
42,Mymensingh,844,7815,849,8065,853,7061
43,Netrokona,439,2068,498,1018,410,1981
44,Sherpur,281,1514,282,1518,277,1427
5,Mymensingh Division,2358,14725,2601,14520,2523,14424
45,Bogura,516,1803,764,2890,687.43,2701.92
46,Joypurhat,246,1631,234,1612,248.74,1595.66
47,Naogaon,519,2071,522,2072,480.73,1994.33
48,Natore,359,959,480,1420,512.50,1422.96
49,Chapai Nawabganj,208,658,315,986,340,1079
50,Pabna,622,2107,640,2019,631,2271.54
51,Rajshahi,690,3640,1030,6801,1157.65,8746
52,Sirajganj,439,1934,476,2065,500.86,2272.41
6,Rajshahi Division,3599,14803,4461,19865,4558.91,22083.82
53,Dinajpur,679,2369,686,2397,691,2469
54,Gaibandha,563,2016,572,2079,596,2073
55,Kurigram,343,1079,371,1617,374,1617
56,Lalmonirhat,266,810,268,818,276,844
57,Nilphamari,508,4868,598,5442,648.31,3829.08
58,Panchagar,322,2161,324,2178,328,2115
59,Rangpur,830,3185,836,3037,859,3149
60,Thakurgaon,790,3032,810,3062,808,3055
7,Rangpur Divison,4301,19520,4465,20630,4580.31,19151.08
61,Habiganj,327,1626,332,1144,347,1706
62,Moulvibazar,465,2275,467,2278,468,2285
63,Sunamganj,627,3028,628,3030,630,3035
64,Sylhet,1414,4382,1438,4443,1443,4458
8,Sylhet Division,2833,11311,2864,10895,2888,11484
BANGLADESH,,41664,191087,43171,205666,43262.68,203560.02
