District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,73,73,85,101,78,90
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,73,73,85,101,78,90
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,270,3407,78,117,81,121.50
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,73,291,295,447
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,2,7,3,8,2.42,7.45
16,Noakhali,5,4,5,4,5.33,4.63
17,Rangamati,0,0,0,0,0,0
2,Chattogram Division,277,3418,159,420,383.75,580.58
18,Dhaka,5172,22684,5206,22571,5065,38746
19,Faridpur,357,564,357,546,368,577
20,Gazipur,0,0,0,0,24,101
21,Gopalganj,66,92,68,94,59,84
22,Kishoreganj,13,51,0,0,0,0
23,Madaripur,2370,8337,2371,3336,1523,8148
24,Manikganj,0,0,87,334,102,401
25,Munshiganj,0,0,119,1360,76,469
26,Narayanganj,51,80,41,63,42,65
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,44,121,44,121,75,281
29,Shariatpur,373,559,5523,2855,404,613
30,Tangail,486,1284,486,1284,523,1354
3,Dhaka Division,8932,33772,14302,32564,8261,50839
31,Bagerhat,2,10,4,30,0,0
32,Chuadanga,25,280,195,458,293,2420
33,Jashore,65,50,69,53,74,57
34,Jhenaidah,188,2332,1469,1736,172,1819
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,5,15,0,0,18,120
36,Kushtia,55,532,30,502,52,520
37,Magura,25,355,24,345,29,423
38,Meherpur,225,1573,251,1749,297,2273.97
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna Division,590,5147,2042,4873,935,7632.97
41,Jamalpur,16,34,27,56,70,216
42,Mymensingh,19,36,20,38,22,43
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,35,70,47,94,92,259
45,Bogura,64,418,70,460,69,450
46,Joypurhat,0,0,0,0,8,17
47,Naogaon,8,43,1,3,4,20
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,37,83,46,116
50,Pabna,8156,66166,8259,67236,8191,66878
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,19954,104237,19750,103880,19837,104255
6,Rajshahi Division,28182,170864,28117,171662,28155,171736
53,Dinajpur,41,115,59,158,81,258
54,Gaibandha,20,80,26,104,35,147
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,12,148,0,0
57,Nilphamari,43,146,35,107,38,115
58,Panchagar,0,0,0,0,34,232
59,Rangpur,29,87,83,321,121,413
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur Divison,133,428,215,838,309,1165
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,38222,213772,44967,210552,38213.75,232302.55
