District/ Division,,2017-18,,2018-19,,2019-20,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,13,3,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,13,3,0,0
7,Bandarban,5,1,6,3,0,0
8,Brahmanbaria,7,1,6,2,7,1
9,Chandpur,0,0,0,0,0,0
10,Chattogram,157,171,44,18,48,15
11,Cumilla,1,1,1,2,1,1
12,Cox’s Bazar,3,5,2,2,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,34,15,39,15,32,15
2,Chattogram Division,207,194,98,42,88,32
18,Dhaka,0,0,0,0,0,0
19,Faridpur,4,5,5,6,6,8
20,Gazipur,10,4,10,3,10,4
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,1,1,22,48,10.75,25.11
23,Madaripur,4,2,4,1,4,5.22
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,46,63,43,57,51,64
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,2,6,2,2,0,0
3,Dhaka Division,67,81,86,117,81.75,106.33
31,Bagerhat,16,6,17,8,7,3
32,Chuadanga,96,453,101,354,109.75,541.50
33,Jashore,275,618,756,2457,590,1715
34,Jhenaidah,472,577,390,516,385,526.73
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,5,1,7,2,6.40,1.63
36,Kushtia,0,0,0,0,0,0
37,Magura,2,1,2,2,1.64,0.94
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,1,1,2,2,1,1
4,Khulna Division,867,1657,1275,3341,1100.79,2789.80
41,Jamalpur,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,0,0,0,0,0,0
45,Bogura,11,9,11,8,10.75,8.56
46,Joypurhat,0,0,0,0,2.19,0.57
47,Naogaon,7,15,8,17,10,20
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,5,8,8.97,8.10
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0.1,0.11,2.31,3.50
52,Sirajganj,0,0,0.41,0.47,3.32,2.76
6,Rajshahi Division,18,24,25,35,37.54,43.49
53,Dinajpur,3,2,4,3,3,2
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagar,0,0,0,0,1,1
59,Rangpur,22,22,22,23,23,23
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur Divison,25,24,26,26,27,26
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,3,1,3,2,0,0
8,Sylhet Division,3,1,3,2,0,0
BANGLADESH,,1187,1981,1526,3566,1335.08,2997.62
