"Table: 4.2.6 Damage Report of different crops due to flood & Excessive rain in the months of July&
August 2017-18.",,,,,,,
"Name of crop and
Region","Area Damaged
(Acres)",,"Percentage of
partial damage","Area in terms
of full damage
(caused by
partial
damage)","Total area
damaged
(Acres)
(Col. 2+5)","Yield per
acre (kg)","Production
Loss in
(Metric Ton)"
,Fully,Partially,,,,,
Local Aus,,,,,,,
Rangamati,989,1356,18.00,244,1233,15.30,704
Sylhet,344,655,35.00,230,574,16.20,347
Sirajganj,132,-,-,-,132,13.20,65
Bangladesh,1465,2011,24.00,474,1939,15.42,1116
HYV Aus,,,,,,,
Noakhali,1434,1550,3.00,52,1486,23.63,1311
Rangamati,187,392,26.00,102,289,22.30,241
Maulvibazar,1257,2053,40.00,821,2078,30.30,2350
Sylhet,2391,4518,38.00,1717,4108,28.00,4294
Sirajganj,178,609,44.00,268,446,26.79,446
Rajshahi,24811,2382,63.00,1507,26318,29.20,28686
Naogaon,17152,7170,30.00,2151,19303,29.39,21176
Chapai Nawabganj,257,9729,45.00,4378,4635,28.10,4862
Bangladesh,47667,28403,39.00,10996,58663,28.94,63366
Total Aus (Local+HYV,,,,,,,
Noakhali,1434,1550,3.00,52,1486,23.63,1311
Rangamati,1176,1748,20.00,346,1522,16.63,945
Maulvibazar,1257,2053,40.00,821,2078,30.30,2350
Sylhet,2735,5173,38.00,1947,4682,26.55,4641
Sirajganj,310,609,44.00,268,578,23.68,511
Rajshahi,24811,2382,63.00,1507,26318,29.20,28686
Naogaon,17152,7170,30.00,2151,19303,29.39,21176
Chapai Nawabganj,257,9729,45.00,4378,4635,28.10,4862
Bangladesh,49132,30414,38.00,11470,60602,28.50,64482
Broadcast (Aman),,,,,,,
Sirajganj,3022,9817,36.00,3534,6556,13.60,3328
Bangladesh,3022,9817,36.00,3534,6556,13.60,3328
HYV Aman,,,,,,,
Jamalpur,67516,41795,45.00,18808,86324,28.90,93123
Sherpur,4711,6944,52.00,3611,8322,27.96,8685
Netrakona,15182,25328,34.00,8612,23794,28.70,25490
Mymensingh,18127,51470,12.00,6176,24303,28.80,26126
Joypurhat,14089,13839,44.00,6135,20224,31.60,23855
Rajshahi,5197,1031,51.00,529,5726,32.20,6882
Naogaon,99144,28896,38.00,10980,110124,32.95,135446
Chapai Nawabganj,937,1631,37.00,603,1540,31.17,1792
Rangpur,254421,473641,26.00,123147,377568,30.64,431828
Gaibandha,28277,49915,53.00,26455,54732,28.99,59227
Bangladesh,507601,694490,29.00,205056,712657,30.54,812454
Total Aman (Broadcast+HYV),,,,,,,
Sirajganj,3022,9817,36.00,3534,6556,13.60,3328
Jamalpur,67516,41795,45.00,18808,86324,28.90,93123
