District/Division,,Total Area,Net cropped area,,Gross cropped area,,Intensity of Cropping,
,,,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20
1,Bandarban,1107,77,81,124,131,161,162
2,Khagrachari,679,80,84,168,174,210,207
3,Rangamati,1511,102,83,171,134,168,161
4,Chattogram,1305,444,425,919,870,207,205
5,Cox’s Bazar,616,231,239,433,449,187,188
6,Cumilla,777,530,512,1045,1009,197,197
7,Chandpur,407,248,237,385,364,155,154
8,Brahmmanbaria,465,301,312,500,527,166,169
9,Noakhali,911,350,337,741,711,212,211
10,Lakshmipur,356,234,240,513,526,219,219
11,Feni,245,127,136,271,293,213,215
1,Chattogram Division,8379,2724,2686,5270,5188,193,193
12,Sylhet,853,478,496,751,788,157,159
13,Moulvibazar,692,386,391,633,640,164,164
14,Sunamganj,926,526,544,785,813,149,149
15,Habiganj,651,380,379,712,707,187,187
2,Sylhet Division,3122,1770,1810,2881,2949,163,163
16,Dhaka,362,157,158,240,239,153,151
17,Gazipur,446,194,206,306,338,158,164
18,Manikganj,342,184,174,391,369,213,212
19,Munshiganj,248,121,126,220,233,182,185
20,Narayanganj,169,70,72,113,120,161,167
21,Narsingdi,284,139,142,267,277,192,195
22,Faridpur,507,360,360,773,774,215,215
23,Rajbari,270,216,224,454,481,210,215
24,Madaripur,278,190,186,351,345,185,185
25,Gopalganj,363,204,233,416,453,204,194
26,Shariatpur,290,175,171,316,307,181,180
27,Tangail,844,475,479,903,911,190,190
28,Kishoerganj,664,429,443,717,740,167,167
3,Dhaka Division,5067,2914,2974,5467,5588,188,188
29,Mymensinghh,1086,717,725,1467,1491,205,206
30,Jamalpur,523,389,384,825,815,212,212
31,Sherpur,337,249,250,512,514,206,206
32,Netrokona,690,455,457,815,822,179,180
4,Mymensingh Division,2636,1810,1816,3619,3642,200,201
3,Barishal,688,451,460,657,682,146,148
34,Jhalokathi,175,118,130,223,254,189,195
35,Perojpur,316,206,200,325,312,158,156
36,Bhola,841,442,412,935,864,212,210
37,Patuakhali,796,408,398,572,557,140,140
38,Barguna,453,281,248,406,369,144,149
,,,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20
5,Barishal Division,3269,1906,1848,3118,3038,164,164
39,Jashore,644,418,413,957,944,229,229
40,Jhenaidah,486,349,351,786,792,225,226
41,Magura,257,170,170,406,403,239,237
42,Narail,239,166,173,377,392,227,227
43,Khulna,1086,292,299,428,441,147,147
44,Bagerhat,978,260,271,379,402,146,148
45,Satkhira,943,346,356,498,522,144,147
46,Kushtia,398,282,283,683,685,242,242
47,Chuadanga,290,192,197,508,520,265,264
48,Meherpur,186,119,125,334,347,281,278
6,Khulna Division,5507,2594,2638,5356,5448,206,207
49,Rajshahi,599,458,480,929,992,203,207
50,Naogoan,849,630,629,1273,1270,202,202
51,Natore,470,364,364,740,740,203,203
52,Chapia Nawbganj,421,309,294,617,581,200,198
53,Bogura,716,506,527,1226,1279,242,243
54,Joypurhat,250,206,213,496,512,241,240
55,Pabna,587,388,374,861,821,222,220
56,Sirajganj,594,375,379,854,864,228,228
7,Rajshahi Division,4486,3236,3260,6996,7057,216,216
57,Rangpur,593,481,468,1063,1065,221,228
58,Gaibandah,523,371,386,763,798,206,207
59,Kurigram,555,345,343,720,717,209,209
60,Nilphamari,382,295,291,677,668,229,230
61,Lalmonirhat,308,208,216,482,501,232,232
62,Dinajpur,851,672,684,1505,1546,224,226
63,Thakurgaon,440,390,393,888,894,228,227
64,Panchagarh,347,257,268,552,579,215,216
8,Rangpur Division,3999,3019,3049,6650,6768,220,222
BANGLADESH,,36465,19973,20081,39357,39678,197,198
