Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dinajpur,20.5,27.2,31.2,31.1,31.7,33.9,33.5,33.8,33.3,31.3,29.6,25.5
Rangpur,21.4,26.7,30.9,30.6,31.1,33.3,33.3,33.5,32.9,30.8,29.2,25.6
Rajshahi,22.5,28.8,34.1,34,33.4,35.6,33.9,34.6,34.3,32.1,30.0,25.2
Bogura,22,28.3,32.1,31.8,31.5,33.3,32.9,33.3,33.6,31.6,30.4,26.4
Mymensingh,22.7,27.3,31.1,30.4,30.5,32.3,32.4,32.7,32.7,30.9,29.3,25.9
Sylhet,24.8,28.5,31.5,30.9,30.4,32.6,33.3,33.8,32.9,31.12,29.5,27.0
Srimangal,23.7,28.7,32.2,31.7,31.6,33,33.6,33.8,33.4,31.2,29.7,26.5
Ishawrdi,22.2,28.6,33.5,32.9,32.9,35,33.3,33.8,34.2,32,29.9,25.2
Dhaka,23.5,29.2,33.3,33,32.3,33.5,32.7,33.7,34.1,31.9,30.2,26.1
Cumilla,24,28,31.4,31.9,31.1,31.8,31.6,32.2,32.7,30.9,29.7,25.8
Chandpur,24.2,29.4,33.2,33.6,32.8,33.1,32.8,33.1,33.9,32.1,30.6,26.1
Jashore,24.3,30.3,34.5,34.8,34.1,35.1,33.5,33.8,34.6,32.9,30.9,26.0
Faridpur,23.4,29.5,33.7,33.1,32.6,33.8,32.6,33.1,33.7,31.8,30.2,25.8
Madaripur,24,29.2,33.2,33.6,32.7,33.4,32.4,32.9,33.8,31.8,30.2,25.7
Khulna,23.9,30,33.7,34.6,33.8,34.3,32.8,33.2,34.2,32.7,30.7,26.0
Satkhira,24,29.8,33.4,34.2,34.1,34.4,32.6,33,33.8,32.4,30.4,25.5
Barishal,24.8,29.8,33.1,33.5,32.8,33.2,31.8,32.4,33.5,31.6,30.3,26.0
Bhola,24.7,29.6,33,33.1,32.3,32.8,31.7,32.3,33.6,32.1,31.2,26.2
Feni,24.9,29.3,32.8,33.4,32.2,32.3,31.7,32.7,33.4,31.1,31.4,26.8
M.court,24.8,29.4,32.9,33.5,32.6,32.5,31.4,32.5,33.3,31.4,30.5,26.0
Hatiya,24.9,28.9,32.2,32.9,32.4,31.7,30.7,31.5,32.4,31.0,30.3,26.6
Sitakunda,25.7,30,32.3,33.4,32.2,32.3,31.7,32.5,33.2,31.2,30.7,27.8
Sandwip,25.2,29.1,31.7,32.7,31.8,31.5,31.1,31.6,32.4,30.7,30.1,26.7
Ambagan(Ctg),25.9,29.8,31.9,32.9,32.1,31.6,31.4,32.5,33.1,30.8,30.5,27.2
Kutubdia,25,28.2,31.1,32.7,32.5,31.6,31.2,32.2,32.5,30.6,30.4,26.7
Cox's Bazar,25.9,29.8,32.1,33.5,32.4,31.2,30.7,31.5,32.2,30.4,30.6,27.4
Teknaf,26.4,29.6,31.3,32.7,33.1,31.1,30.6,31.1,32.1,30.6,30.7,28.3
Rangamati,24.9,29.5,33.1,33.7,32.1,31.7,31.9,32.9,33,30.3,29.4,26.4
Patuakhali,25.2,30.5,33.7,34,33.2,32.9,31.6,32.4,33.5,31.5,30.3,25.8
Khepupara,25.4,30.3,33,33.9,33.5,32.6,31.7,32.2,32.6,31.4,30.1,26.2
Syedpur,21.4,27.3,31.1,30.9,31.5,33.7,33.4,33.8,33.4,31.4,29.7,26.1
Tangail,22.8,28.6,32.8,31.9,31.9,34.1,33.1,33.3,33.5,31.4,29.8,25.6
Mongla,24.5,30.2,33.6,34.5,33.7,33.4,31.8,32.1,33.1,31.6,29.9,25.7
chuadanga,23.1,29.3,34.2,33.9,33.4,35.1,33.1,33.5,34.2,32.6,30.5,25.2
Chattagaram,25,28.7,31.6,32.9,32.8,32.1,31.9,32.8,33,30.6,30.4,26.7
