District name,August-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,250
Khagrachari,346,250,0,0,0,0,400,265
Rangamati,343,281,294,232,0,0,422,318
Chattogram,462,357,450,350,442,300,527,390
Coxbazar,500,338,462,331,367,250,590,375
Cumilla,414,367,407,355,395,340,450,375
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,357,275,354,0,260,226,405,288
Noakhali,468,0,450,0,439,0,557,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,515,0,490,0,570,0
Chattogram Division,413,311,419,317,399,279,462,323
Sylhet,383,300,366,280,0,0,406,320
Moulvibazar,396,330,382,300,0,0,420,345
Sunamganj,439,389,0,0,0,0,409,359
Habiganj,436,0,0,0,0,0,406,315
Sylhet Division,414,340,374,290,0,0,410,335
Dhaka,475,400,450,380,425,370,500,420
Gazipur,500,383,0,0,370,330,527,406
Manikganj,446,300,408,217,376,235,451,253
Munshiganj,350,325,400,300,491,0,418,270
Narayanganj,435,400,430,362,390,325,437,368
Narsingdi,450,300,445,0,442,0,482,350
Faridpur,420,0,395,360,382,0,450,0
Rajbari,413,350,367,300,317,300,462,400
Madaripur,425,350,0,0,383,300,477,360
Gopalganj,405,0,390,0,375,0,428,325
Shariatpur,306,250,0,0,0,0,366,314
Tangail,390,0,373,0,362,0,451,400
Kishoreganj,0,0,403,0,371,0,467,0
Dhaka Division,418,340,406,320,390,310,455,351
Mymensingh,425,0,404,0,380,0,435,0
Jamalpur,412,0,358,0,350,0,454,0
Sherpur,425,0,412,0,358,0,455,0
Netrokona,345,0,343,0,335,0,347,0
Mymensingh Division,402,0,379,0,356,0,423,0
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,446,0,0,0,0,0,457,0
Jhalokathi,456,0,0,0,0,0,530,0
Perojpur,512,450,495,400,450,350,544,500
Bhola,441,0,407,0,0,0,496,0
Patuakhali,420,0,0,0,0,,480,0
Barguna,510,0,500,0,0,0,528,0
Barishal Division,464,450,467,400,450,350,506,500
Jashore,0,0,0,0,0,0,289,189
Jhenaidah,346,230,330,220,310,210,390,274
Magura,471,0,348,0,294,0,533,0
Narail,330,0,0,0,326,0,388,320
Khulna,0,0,0,0,0,0,559,477
Bagerhat,350,317,325,300,300,280,367,320
Satkhira,0,0,0,0,0,0,293,200
Kushtia,340,0,330,0,290,0,393,0
Chuadanga,300,0,0,0,0,0,320,0
Meherpur,275,0,0,0,0,0,328,0
Khulna Division,345,274,333,260,304,245,386,297
Rajshahi,362,289,345,250,330,0,360,273
Naogaon,338,295,318,261,305,297,350,280
,309,223,0,0,0,0,348,245
,314,260,300,252,290,240,350,267
,0,0,0,0,350,258,425,300
Joypurhat,310,250,0,0,300,250,352,280
Pabna,427,312,413,241,328,0,463,254
Sirajganj,0,0,0,0,0,0,327,250
Rajshahi Division,343,272,344,251,317,261,372,269
Rangpur,330,250,0,0,0,0,370,220
Gaibandha,0,0,0,0,0,0,335,263
Kurigram,305,220,0,0,0,0,325,245
Nilphamari,278,215,0,0,0,0,364,248
Lalmonirhat,355,263,288,250,0,0,350,275
Dinajpur,300,233,292,245,280,0,352,260
Thakurgaon,310,250,0,0,0,0,330,265
Panchagarh,345,242,0,0,0,0,370,250
Rangpur Division,318,239,290,248,280,0,350,253
BANGLADESH,389,301,387,291,361,286,421,309
