District name,June-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,400,250
Khagrachari,346,250,-,-,-,-,400,282
Rangamati,337,250,287,200,-,-,416,292
Chattogram,470,350,450,336,440,300,560,380
Coxbazar,500,338,462,331,432,300,590,375
Cumilla,500,400,454,390,400,377,530,420
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,402,300,380,-,368,226,419,335
Noakhali,500,-,-,-,481,-,562,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,480,-,598,-
Chattogram Division,436,315,407,314,434,301,476,333
Sylhet,418,350,392,340,380,-,430,375
Moulvibazar,395,329,391,300,-,-,427,342
Sunamganj,410,360,-,-,-,-,439,389
Habiganj,300,-,-,-,-,-,339,267
Sylhet Division,381,346,392,320,380,-,409,343
Dhaka,475,450,470,442,456,438,525,465
Gazipur,415,345,-,-,395,330,470,400
Manikganj,535,400,523,350,519,330,560,425
Munshiganj,498,420,489,-,448,-,510,440
Narayanganj,435,383,430,363,390,325,459,400
Narsingdi,-,-,373,285,360,-,393,305
Faridpur,400,300,360,280,350,275,450,320
Rajbari,390,350,375,342,365,330,425,386
Madaripur,383,300,-,-,-,-,440,350
Gopalganj,396,,-,,388,,430,300
Shariatpur,366,300,350,290,340,280,400,355
Tangail,535,-,520,-,500,400,550,450
Kishoreganj,457,-,450,-,401,-,497,-
Dhaka Division,440,361,434,336,409,339,470,380
Mymensingh,430,-,410,-,400,-,460,-
Jamalpur,432,-,418,-,410,-,470,-
Sherpur,435,300,408,-,405,-,475,-
Netrokona,420,300,400,300,330,-,470,380
Mymensingh Division,429,300,409,300,386,-,469,380
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,470,-,418,-,-,-,480,-
Jhalokathi,480,-,-,-,-,-,500,-
Perojpur,440,360,420,320,400,300,470,400
Bhola,420,-,-,-,-,-,470,-
Patuakhali,450,-,-,-,-,-,500,-
Barguna,518,-,500,-,-,-,532,-
Barishal Division,463,360,446,320,400,300,492,400
Jashore,-,-,-,-,-,-,350,270
Jhenaidah,317,222,298,218,297,217,350,248
Magura,392,-,357,-,315,-,434,-
Narail,368,-,-,-,360,-,373,317
Khulna,-,-,-,-,-,-,406,311
Bagerhat,420,-,410,-,400,-,442,350
Satkhira,-,-,-,-,-,-,313,250
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,320,-,-,-,-,-,313,340
Meherpur,283,-,-,-,-,-,323,-
Khulna Division,355,222,356,218,342,217,374,298
Rajshahi,352,285,339,250,330,-,390,307
Naogaon,352,315,343,285,335,283,375,330
Natore,350,300,313,275,297,272,362,315
Chapai Nawabganj,320,252,300,242,292,230,368,287
Bogra,433,-,408,-,383,-,473,350
Joypurhat,360,300,-,-,350,250,375,320
Pabna,450,295,425,-,-,-,467,371
Sirajganj,-,-,-,-,-,-,397,300
Rajshahi Division,374,291,363,263,331,259,401,323
Rangpur,345,230,-,-,-,-,355,240
Gaibandha,-,-,-,-,-,-,311,275
Kurigram,327,225,-,-,-,-,337,235
Nilphamari,335,250,-,-,-,-,367,220
Lalmonirhat,359,230,350,225,-,-,362,235
Dinajpur,352,284,340,270,330,-,398,305
Thakurgaon,344,286,-,-,-,-,355,296
Panchagarh,358,251,-,-,-,-,364,265
Rangpur Division,346,251,345,248,330,-,356,259
BANGLADESH,405,310,402,302,385,303,431,324
