District name,November-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,450,280
Khagrachari,350,250,-,-,-,-,397,259
Rangamati,383,310,335,260,330,-,438,320
Chattogram,470,360,466,350,475,300,539,465
Coxbazar,500,340,460,330,450,260,530,380
Cumilla,410,350,390,340,365,330,445,420
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,365,280,360,-,320,230,415,290
Noakhali,465,-,450,-,425,-,542,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,510,-,458,-,575,-
Chattogram Division,420,315,424,320,403,280,463,345
Sylhet,417,350,404,290,388,-,433,300
Moulvibazar,395,287,400,350,-,-,437,343
Sunamganj,420,350,-,-,-,-,452,375
Habiganj,400,-,-,-,-,-,467,380
Sylhet Division,408,329,402,320,388,-,447,350
Dhaka,471,400,438,350,425,300,508,400
Gazipur,413,346,-,-,442,380,532,440
Manikganj,479,350,443,340,452,-,486,380
Munshiganj,500,350,-,-,480,-,526,370
Narayanganj,430,370,420,363,370,320,456,392
Narsingdi,362,300,350,290,340,280,482,330
Faridpur,342,-,-,-,330,-,400,-
Rajbari,390,330,370,320,360,300,430,350
Madaripur,400,340,390,330,380,320,429,360
Gopalganj,415,350,400,345,394,335,480,365
Shariatpur,374,235,360,217,300,218,434,293
Tangail,450,370,405,340,410,300,490,400
Kishoreganj,460,-,449,-,440,-,475,-
Dhaka Division,422,340,402,322,394,306,471,371
Mymensingh,430,305,410,300,400,-,486,337
Jamalpur,390,-,370,-,355,-,451,-
Sherpur,375,-,360,-,350,-,438,-
Netrokona,370,340,365,330,360,-,450,350
Mymensingh Division,391,323,376,315,366,-,456,344
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,418,-,400,-,-,-,420,-
Jhalokathi,400,-,-,-,-,-,420,-
Perojpur,400,340,-,-,-,-,410,350
Bhola,390,-,-,-,-,-,400,-
Patuakhali,380,-,-,-,-,-,400,-
Barguna,380,-,-,-,-,-,400,-
Barishal Division,395,340,400,-,-,-,408,350
Jashore,-,-,-,-,-,-,311,227
Jhenaidah,388,273,377,262,382,253,429,288
Magura,350,-,320,-,300,-,420,-
Narail,373,-,-,-,350,-,393,332
Khulna,-,-,-,-,-,-,461,356
Bagerhat,392,330,380,320,370,-,422,350
Satkhira,-,-,-,-,-,-,381,256
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,275,-,-,-,-,-,295,-
Meherpur,284,-,-,-,-,-,334,-
Khulna Division,350,302,359,291,348,253,388,302
Rajshahi,418,308,350,288,-,-,414,317
Naogaon,355,305,336,279,423,270,423,320
Natore,350,240,320,230,-,-,371,276
Chapai Nawabganj,358,270,400,260,340,250,370,300
Bogra,372,-,348,-,335,260,400,-
Joypurhat,350,300,-,-,340,250,360,305
Pabna,430,350,400,-,-,-,450,360
Sirajganj,-,-,415,-,-,-,370,260
Rajshahi Division,376,296,367,264,359,258,395,305
Rangpur,330,235,-,-,-,-,360,250
Gaibandha,-,-,-,-,-,-,329,250
Kurigram,313,260,-,-,-,-,341,275
Nilphamari,320,246,-,-,-,-,340,265
Lalmonirhat,335,263,330,263,-,-,365,270
Dinajpur,348,300,-,225,332,,396,312
Thakurgaon,333,282,-,-,-,-,338,295
Panchagarh,325,260,-,-,-,-,343,280
Rangpur Division,329,264,330,244,332,-,352,275
BANGLADESH,389,311,390,303,380,286,424,328
