"SL
No",Name of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated
Area"
1,Bandarban,0,8,0,..,1,2,3,2,16
2,Khagrachari,12,25,0,1,2,2,11,8,61
3,Rangamati,0,18,0,..,0,1,8,4,31
4,Chattogram,5,166,..,2,1,10,60,27,271
5,Coxs Bazar,0,114,0,1,..,4,19,13,151
6,Cumilla,12,380,2,1,0,12,21,15,443
7,Chandpur,..,158,..,1,0,20,7,1,186
8,Brahmmanbaria,18,262,1,0,0,2,10,1,294
9,Noakhali,..,147,0,..,0,..,5,1,153
10,Lakshmipur,0,110,..,..,0,1,5,5,121
11,Feni,0,73,..,..,0,..,6,2,84
,Chattogram Division,42,1461,3,6,4,54,155,79,1811
12,Sylhet,63,134,..,0,0,2,17,10,226
13,Moulvibazar,7,82,..,0,..,4,9,4,106
14,Sunamganj,16,344,1,0,0,2,11,6,380
15,Habiganj,12,207,..,0,0,4,9,5,237
,Sylhet Division,98,767,1,0,0,12,46,25,949
16,Dhaka,6,114,..,0,0,2,3,..,125
17,Gazipur,22,161,,,..,1,8,3,190
18,Manikganj,16,119,..,..,0,2,4,19,160
19,Munshiganj,0,57,..,..,0,75,7,3,143
20,Narayanganj,3,49,..,..,0,5,17,1,85
21,Narsingdi,12,128,..,..,0,..,33,2,167
22,Faridpur,51,72,76,5,0,1,15,77,297
23,Rajbari,75,78,35,0,0,..,8,15,211
24,Madaripur,7,83,11,..,..,2,7,32,142
25,Gopalganj,7,187,15,..,0,1,5,6,221
26,Shariatpur,12,61,7,..,0,3,9,10,102
27,Tangail,71,420,7,1,..,3,21,10,535
28,Kishoreganj,11,392,2,..,..,9,8,3,425
,Dhaka Division,293,1921,153,6,0,104,145,181,2803
29,Mymensingh,22,607,3,1,..,2,26,1,662
30,Jamalpur,47,318,17,9,0,11,17,15,435
31,Sherpur,11,219,2,..,0,10,15,6,262
32,Netrokona,8,421,1,..,0,1,4,4,439
,Mymensingh Division,88,1565,23,10,0,24,62,26,1798
33,Barishal,2,140,2,1,0,2,15,3,165
34,Jhalokathi,1,28,..,..,0,..,12,1,42
35,Perojpur,0,46,..,0,0,..,11,4,61
36,Bhola,0,109,1,..,0,6,18,10,143
37,Patuakhali,2,3,0,0,0,1,2,33,41
38,Barguna,0,14,0,..,0,1,12,4,31
,Barishal Division,5,340,3,1,0,10,70,55,483
39,Jashore,162,388,3,1,2,6,49,33,643
40,Jhenaidah,153,219,8,3,4,4,35,93,519
41,Magura,83,96,18,..,..,..,36,51,284
42,Narail,28,88,10,1,0,..,8,6,141
43,Khulna,4,149,1,..,0,2,21,9,186
44,Bagerhat,1,105,1,..,0,1,15,3,126
45,Satkhira,8,173,3,..,0,8,39,2,233
46,Kushtia,201,91,17,9,2,5,47,139,520
47,Chuadanga,107,116,11,13,5,8,82,181,523
48,Meherpur,58,56,15,2,1,4,55,94,285
,Khulna Division,805,1481,87,29,14,38,387,611,3460
49,Rajshahi,132,165,56,16,..,100,50,128,647
50,Naogaon,247,474,59,..,0,48,36,84,948
51,Natore,84,151,55,30,0,2,11,44,377
52,Chapai Nawabganj,79,114,50,4,0,3,10,82,342
53,Bogura,91,459,6,1,..,160,33,41,791
54,Joypurhat,18,175,6,2,0,80,11,6,298
55,Pabna,95,147,73,3,0,2,26,78,424
56,Sirajganj,108,348,6,1,0,3,16,44,524
,Rajshahi Division,854,2033,311,57,0,398,193,507,4351
57,Rangpur,44,332,5,2,..,111,25,30,551
58,Gaibandha,37,317,6,1,..,21,27,26,435
59,Kurigram,23,251,23,..,0,18,10,5,330
60,Nilphamari,43,217,13,..,0,53,15,33,374
61,Lalmonirhat,34,124,4,..,..,11,7,62,242
62,Dinajpur,216,445,27,2,..,119,48,112,969
63,Thakurgaon,52,146,129,17,0,58,14,69,503
64,Panchagarh,1,64,34,1,0,19,11,28,158
,Rangpur Division,450,1898,259,23,0,410,157,365,3562
,BANGLADESH,2643,11470,840,132,18,1050,1215,1849,19217
