Sector of Fisheries,Production (MT),,,,,,,,,"Growth
Rate %
(2019-20)"
,1983-84,1993-94,2003-04,2013-14,2015-16,2016-17,2017-18,2018-19,2019-20,
A. Inland Fisheries,,,,,,,,,,
1. River and Estuary,207766,143425,137337,167373,178458,271639,320598,325478,331793,1.94
2. Sundarbans,7783,7127,15242,18366,16870,18086,18225,18282,21007,14.90
3. Beel,51373,55592,74328,88911,95453,98117,99197,99890,103104,3.22
4. Kaptai Lake,4057,6635,7238,8179,9589,9982,10152,10578,12696,20.03
5. Floodplain,200616,360597,497922,712976,747872,765782,768367,781481,779801,-0.22
Capture Total,471595,573376,732067,995805,1048242,1163606,1216539,1235709,1248401,1.03
6. Pond,107944,222542,795810,1526160,1719783,1833118,1900298,1974632,2046258,3.63
7. Seasonal cultured waterbody,0,0,0,193303,207658,215547,216353,217340,225948,3.96
8. Baor,862,2201,4282,6514,7729,8002,8072,10343,10969,6.05
9. Shrimp/Prawn Farm,8219,39447,114660,216447,239798,246406,254367,258039,270114,4.68
10. Crab,0,0,0,0,13160,14421,11787,12084,12562,3.95
11. Pen Culture,0,0,0,13054,13364,13368,11015,12361,13425,8.61
12. Cage Culture,0,0,0,1447,2062,2490,3523,3802,4590,20.73
Culture Total,117025,264190,914752,1956925,2203554,2333352,2405415,2488601,2583866,3.83
Inland Fisheries Total (A),588620,837566,1646819,2952730,3251796,3496958,3621954,3724310,3832267,2.90
B. Marine Fisheries,,,,,,,,,,
13. Industrial (Trawler Fishing),14500,12454,32606,76885,105348,108479,120087,107236,115354,7.57
14. Artisanal,150382,240590,422601,518500,521180,528997,534600,552675,555750,0.56
Marine Fisheries Total (B),164882,253044,455207,595385,626528,637476,654687,659911,671104,1.70
TOTAL FISH PRODUCTION (A+B),753502,1090610,2102026,3548115,3878324,4134434,4276641,4384221,4503371,2.72
