,milk,,,,,,,,,,,,,,
134,"Hen/chicken
-Live","Local
large(900gm+)","31,130","31,896","33,329","35,549","38,925","38,783","37,246","35,230","33,408","33,324","33,568","33,539",
,,,,,,,,,,,,,,,"34,661"
135,",,",",,
medium(700gm+)","32,239","32,630","34,710","36,710","39,912","39,805","38,001","36,292","34,410","33,655","33,614","33,293",
,,,,,,,,,,,,,,,"35,439"
136,",,",",, small(500gm+)","31,956","32,481","34,523","36,136","39,156","38,908","36,142","34,212","32,842","32,787","33,512","33,420","34,673"
137,",,",Farm broiler,"11,312","12,540","13,438","13,765","12,792","12,174","11,371","10,573","11,092","11,465","10,785","10,467","11,814"
138,",,",Duck,"26,231","25,963","29,110","27,159","30,098","30,591","29,438","27,674","25,321","23,103","23,568","27,292","27,129"
139,Meat,Cow,"42,528","44,193","45,808","47,186","48,237","48,808","48,811","49,494","49,625","49,740","49,762","49,401","47,799"
140,",,",Goat,"65,591","65,966","66,388","68,056","68,140","67,327","67,360","68,694","69,014","68,909","68,909","68,909","67,772"
141,Egg,Chicken local,"1,029","1,023","1,076","1,086","1,059","1,064","1,081","1,091","1,089","1,086","1,097","1,084","1,072"
142,",,",Farm red,742,751,787,777,696,754,836,828,781,832,763,732,773
143,",,",Farm white,-,-,-,-,-,-,-,-,-,-,-,-,-
144,",,",duck,995,"1,017","1,049","1,064",941,941,995,"1,084",988,"1,022","1,019","1,020","1,011"
145,"Fish
(Ka):Fresh","Rui local
big(5+kg)","31,050","31,050","33,925","31,806","31,135","33,460","33,003","34,781","36,167","37,667","36,200","36,625",
,,,,,,,,,,,,,,,"33,906"
146,",,","Rui local
(2.5+kg)medium","28,754","28,767","29,402","29,653","30,535","31,103","30,840","30,756","30,192","30,180","29,761","29,948",
,,,,,,,,,,,,,,,"29,991"
147,",,","Rui local small
(1.5+kg)","22,954","23,691","24,789","25,307","25,040","26,377","26,444","26,359","25,820","25,613","25,519","25,432",
,,,,,,,,,,,,,,,"25,279"
148,",,","Imported
medium(2.5+kg)","22,312","22,980","23,740","23,650","24,413","23,532","24,275","24,016","23,158","24,111","24,388","24,339",
,,,,,,,,,,,,,,,"23,743"
149,",,",Imported small,"19,667","19,496","20,109","21,278",-,"21,007","21,474","20,860","20,338","20,873","20,239","20,898",-
150,",,",Katal large,"35,000","35,000","34,500","33,042","34,100","27,604","30,239","30,175","31,396","32,940","31,854","33,350","32,433"
151,",,",medium,"28,365","28,271","28,026","28,659","29,268","30,035","29,789","29,774","29,493","29,170","29,056","29,125","29,086"
152,",,",small,"21,525","21,655","22,132","22,806","23,439","23,398","23,354","23,666","23,075","23,089","22,989","22,915","22,837"
153,"Fish
(Ka):Live",Mrigel large,"18,718","19,541","20,095","20,567","20,500","19,921","21,343","21,059","20,264","20,394","20,772","20,755",
,,,,,,,,,,,,,,,"20,327"
154,",,",",, small","13,860","14,339","14,719","14,911","15,454","15,569","15,717","15,450","15,164","15,665","15,406","15,843","15,175"
155,",,",Airr large,"61,167","51,542","57,444","55,500","57,667","55,917","57,583","75,000","54,111","50,333","53,417","46,750","56,369"
156,",,",",, small","42,780","41,625","42,889","41,625","44,520","45,250","47,600","47,550","45,278","36,438","42,964","41,031","43,296"
157,",,",Boal large,"57,625","60,625","62,188","64,550","63,460","62,250","60,200","59,100","59,517","59,400","60,600","58,600","60,676"
158,",,",",, Small","35,071","35,637","36,548","36,667","38,142","40,500","41,056","42,143","41,346","39,984","38,407","38,938","38,703"
159,",,",Chital large,"52,500","77,500","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","81,667"
160,",,",Chital small,"38,750","42,500","36,250","42,500","43,125","45,000","45,000","45,000","45,000","45,000","31,750","31,750","40,969"
161,",,",Pangush larges,"10,423","10,851","11,608","12,181","12,763","12,628","12,274","11,958","11,889","12,197","12,092","11,851","11,893"
162,",,",",, small","8,852","9,178","9,634","10,035","10,393","10,392","10,282","10,167","9,990","10,136","10,019","9,947","9,919"
