Commodity,Unit,2017-18,,2018-19,,2019-20,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0105- Livefowl domestic Spices -
other",No.,-,-,-,-,-,-
0202-Meat of bovine animal,Kg,38005,18920-,86761,43274,42640,21518
0303-Eels fish frozen,Kg,8292251,2898584,,,8825114,2870819
"03037-Fish, other frozen",Kg,,,,,,
"03039010-90 Livers and roes
frozen",Kg,,,,,,
"03052-Liver/roe dry smoked sltd in
brine",Kg,50,346,,,-,-
"0305- Fish filet dry sltd in brine
not smoked",Kg,11713,1985491,3150103,560879,3343012,533855
"03054910-Sharkfins, smoked
cooked or not salted",Kg,367,801,1000,16,-,-
"03055990- Fish dry salted/ in brine
not smoked",Kg,2813624,366870,1891,260172,3118696,401699
"030559- Fish dry unsalted, not
smoked",Kg,,,,,,
"03056990- Fish salted, not
dried/smoked and fish in brine,
other.",Kg,193903,104159,3150103,560879,155828,33990
"0306- Shrimps, frozen",Kg,,,43793791,34243904,31501919,28050474
"030614- Crabs, frozen",Kg,1924298,777440,744438,2780521,4541352,2058018
"030629- Crustaceans, other, not
frozen",Kg,,,,,,
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,8280,4146,93142,16678,75702,14003
"0501- Human hair unworked wash
or not & waste",Kg,95893,19686,54741,8321,76692,29730
"0504-Bladder and gut of animal
not fish",Kg,1538411,1074586,1999530,1197913,854100,510429
"0505- Feathers used for stuffing;
down",Kg,115845,32460,161099,50662,185015,38599
0506- Bones (uncrushed),Kg,1217500,44378,1426250,54907,903400,35525
05069- Unworked other,Value,10210,41838,1279750,52608,818000,34159
"0507900 Horn antler & similar pcs
of animals",Kg,10430,753,125250,2872,50975,939
"0709-Vegetable, fresh or chilled
other",Kg,2937929,609697,2585430,511783,2600776,462324
"0810- Fruits, fresh, other",Kg,-,-,78980,20304,9448,2657
"09021-000 Green tea, packing",Kg,11299,4136,4010,1978,2175,1565
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"09022- 000Green tea, other(not
fermented)",Kg,166871,92653,130813,75911,121281,70984
"0902300- Black tea packing not
exceeding 3 kg",Kg,368542,97531,422621,115365,289473,78463
09024000- Tea nec,Kg,314640,33369,99454,43922,621521,88723
"0904- Chillies, dry",Kg,317836,72081,51473,10447,1379010,334896
0909- Black cumin seeds,Kg,1198804,358651,302476,61761,35005,11942
091030- 10Turmeric (curcuma),Kg,103680,31674,52583,24629,216722,46756
"Mixtures of two/more spices,
other(09109990)",Kg,7435459,2610596,7379321,2733792,5853968,2086817
10063000 Rice medium quality,mton,,,25002000,877631,2388508,205047
1209- Vegetable seeds for sowing,Kg,13037,25981,459320,81752,65342,91181
"1209- Seeds, for sowing,other",Kg,4000,332,459320,81777,57342,90533
"1211-Plant & part etc., used in
perfumery",Kg,11800,408,251850,51285,483006,50975
"12119021- Plant & part herb
etc., for medicine",Kg,-,-+,2000,309,2115,1141
12129990- Betel leaves,Kg,,,,,,
"13023100-Balsam Mucilages &
thickeners:",Kg,109675,4833,230201,23114,140113,11458
14011000- Bamboo,Kg,143960,3346,164150,1843,106331,1470
"1401-Veg mtrl use for plaiting:
other",Kg,143960,3346,170150,3816,106331,1470
"1701- Sugarcane/beet chem
pure/solid other",M.ton,7731000,306338,151155,5259,-,-
"1703- Molasses, cane flavoured
coloured",M.ton,27428,2850,166978,27815,47057,6621
"190410- Rice, beaten (Muri)",Kg,6750162,1010541,6366922,961127,6822795,971778
19041000 Prepared food: other,Kg,2164144,408675,8595952,1365906,6821795,971778
"19019010 Pineapple prep/presv
w/sugar or not",Kg,23315781,6856189,1030495,237532,134100,48879
"2106 Food preparations, other",Kg,143952,1883,62416,10488,156916,85
"22021000- Non-alcoholic
beverage, other nec",Liter,23596386,1165710,15120718,866585,8246135,498290
2203- Beer made from malt,Liter,8881,1660,8304,1200,1464,197
22083000-Whiskies,Liter,17370,11963,12179,9142,3006,2089
"24011000- Tobaco N/stem/strip
F/cure N/virgna",Kg,11281895,1334440,13184776,1563766,5240858,916811
"24012000-Tobacco whole/part
stem/strip virgna",Kg,13938570,3012390,13944668,3575925,24517406,5138377
"24021000-Cigar chroot/cigrillo
cigarete other",Kg.,248945,157444,26404,9726,355559,190792
24022000 Cigarette tobacco,kg,87958,16823,61383,29485,126494,135489
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
cont subs or not,,,,,,,
"31021000- Urea Aqueous
solution or not",M.ton,-,-,,,,-
4101- Raw hides and skins other,Kg,18992,7038,423722,48438,133358,11523
41041100- Calf leather,Kg,-,-,99371,4040,,
"41044100- Leather, bovine
hides",Kg,38482,19773,7888,1685,,
"4105-Leather, semi finished
sheep skin",Kg,19797,33207,241243,248884,7458,6887
"4107- Leather of other animal
(not hair on)",Kg,1763575,3892755,1670294,3289468,707520,1492575
"52-Cotton, Bangladesh Sg",M.ton,59884920,10299449,96658749,12957128,76476096,10233413
"53031000 Jute, raw white A
bottom",M.ton,236829455,11588625,157037294,8388786,174545941,9453673
"53039000 Jute, raw white,
grades B,C,D or E",M.ton,25643294,1192806,21548999,1062361,10559429,657586
5303900-Mesta (kenaf),Kg,-,-,-,-,10559429,657586
