District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,3248,1314,32.51,2.999,3941,3420,1384,35.86,3.308,4578
2,Barishal,125541,50804,41.63,3.840,195101,120602,48805,43.79,4.039,197115
3,Bhola,102227,41369,42.19,3.892,161003,95015,38450,42.53,3.923,150845
4,Jhallokati,23759,9615,40.02,3.691,35488,22542,9122,41.49,3.827,34909
5,Patuakhali,2592,1049,28.56,2.634,2763,2830,1145,31.57,2.912,3335
6,Pirojpur,55372,22408,46.26,4.267,95623,55011,22262,45.54,4.201,93522
1,"Barishal
Division",312739,126559,42.31,3.903,493919,299420,121169,43.33,3.997,484304
7,Bandarban,15380,6224,42.25,3.897,24253,15406,6234,42.51,3.921,24448
8,Brahmanbaria,275052,111308,45.90,4.234,471298,277442.2,112275,49.26,4.544,510156
9,Chandpur,152695,61792,41.68,3.845,237576,150261.8,60808,40.27,3.714,225864
10,Chattogram,152919,61883,42.92,3.959,244972,140971,57048,42.84,3.951,225424
11,Cumilla,384368,155545,46.14,4.256,661982,369861,149675,47.44,4.376,655020
12,Cox’s Bazar,129363,52350,43.32,3.996,209201,131214.08,53099,43.45,4.008,212835
13,Feni,66247,26809,38.46,3.548,95107,66722,27001,38.78,3.577,96580
14,Khagrachari,24906,10079,39.13,3.609,36380,26890.5,10882,40.16,3.705,40315
15,Lakshmipur,64324,26031,46.99,4.334,112820,70241,28425,43.82,4.042,114894
16,Noakhali,156788,63448,53.32,4.918,312046,158418,64108,50.79,4.685,300360
17,Rangamati,18423,7455,43.25,3.989,29740,18062,7309,45.26,4.175,30516
2,"Chattogram
Division",1440465,582924,45.29,4.178,2435375,"142549
0",576864,45.79,4.224,2436412
18,Dhaka,116325,47074,41.65,3.842,180847,112907,45691,55.70,5.138,234756
19,Faridpur,56189,22739,41.42,3.820,86868,57386,23223,50.02,4.614,107153
20,Gazipur,145671,58950,44.88,4.139,244017,146601.7,59326,45.03,4.153,246388
21,Gopalganj,182439,73829,52.04,4.800,354394,182838.6,73991,55.47,5.117,378580
22,Kishoreganj,408992,165510,46.66,4.304,712400,408013,165114,45.74,4.219,696629
23,Madaripur,86878,35157,44.98,4.149,145874,83347.05,33729,47.73,4.402,148488
24,Manikganj,116018,46950,47.68,4.398,206490,115057,46561,51.38,4.739,220673
25,Munshiganj,51267,20747,43.57,4.018,83370,56052,22683,46.39,4.279,97062
26,Narayanganj,56655,22927,41.77,3.853,88328,54032,21866,45.75,4.220,92264
27,Narsingdi,116933,47320,43.93,4.052,191747,130431.7,52783,42.48,3.918,206813
28,Rajbari,33255,13458,42.15,3.888,52318,32406,13114,46.33,4.273,56037
29,Shariatpur,62492,25289,46.67,4.305,108869,64386,26056,51.59,4.759,123993
30,Tangail,416245,168445,46.96,4.332,729685,413840.8,167472,43.65,4.026,674292
3,"Dhaka
Division",1849359,748395,46.14,4.256,3185208,1857299,751608,47.36,4.368,3283128
