District/ Division,,2019-20,,,,,,,,,,,,,,,2020-21,,,,,,,,,,,,,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
1,Barguna,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,
2,Barishal,,1052,,,426,,,25.52,,,2.354,,,1002,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1800,,,728,,,25.24,,,2.328,,,1696,
3,Bhola,,4830,,,1955,,,34.15,,,3.150,,,6157,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5670,,,2295,,,33.10,,,3.053,,,7005,
4,Jhalokathi,,40,,,16,,,33.30,,,3.072,,,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,160,,,65,,,33.38,,,3.079,,,199,
5,Patuakhali,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,31,,,13,,,35.01,,,3.229,,,41,
6,Pirojpur,,46,,,19,,,16.66,,,1.537,,,29,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,57,,,23,,,19.54,,,1.802,,,42,
1,"Barishal
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5968,,,2415,,,32.49,,,2.997,,,7237,,,7718,,,3123,,,146,,,2.876,,,8983,
7,Bandarban,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
8,Brahmanbaria,,2928,,,1185,,,24.77,,,2.285,,,2707,,,1898,,768,,,19.44,,,1.793,,,1378,,
9,Chandpur,,979,,,396,,,27.71,,,2.556,,,1013,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,107,,,43,,,29.28,,,2.701,,,117,
10,Chattogram,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
11,Cumilla,,1232,,,498,,,27.59,,,2.545,,,1269,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1231,,,498,,,27.42,,,2.529,,,1259,
12,Cox’s Bazar,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
13,Feni,,144,,,58,,,27.32,,,2.520,,,147,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,150,,,61,,,28.67,,,2.645,,,161,
14,Khagrachari,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
15,Laxmipur,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
16,Noakhali,,3,,,1,,,21.01,,,1.938,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,21,,,8,,,25.21,,,2.325,,,20,
17,Rangamati,,0,,,0,,,0.00,,,0.000,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0.000,,,0,
2,"Chattogram
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5286,,,2139,,,26.04,,,2.402,,,5138,,,3407,,,1379,,,23.073,,,2.128,,,2934,
18,Dhaka,,372,,,150,,,27.08,,,2.498,,,376,,372,,,150,,,32.83,,,3.028,,,455,,
19,Faridpur,,56919,,,23034,,,26.42,,,2.437,,,56133,,55341,,,22395,,,36.90,,,3.404,,,76226,,
20,Gazipur,,134,,,54,,,20.23,,,1.866,,,101,,167,,,67,,,32.06,,,2.957,,,199,,
21,Gopalgonj,,16678,,,6749,,,31.39,,,2.895,,,19542,,13291,,,5379,,,31.06,,,2.865,,,15409,,
22,Kishoregonj,,2471,,,1000,,,24.07,,,2.220,,,2220,,3030,,,1226,,,27.27,,,2.515,,,3084,,
23,Madaripur,,10658,,,4313,,,32.02,,,2.954,,,12738,,11787,,,4770,,,32.00,,,2.952,,,14079,,
24,Manikgonj,,873,,,353,,,31.80,,,2.933,,,1036,,3993,,,1616,,,30.42,,,2.806,,,4534,,
25,Munsigonj,,0,,,0,,,0.00,,,0.000,,,0,,21,,,8,,,31.63,,,2.918,,,24,,
26,Narayangonj,,5,,,2,,,22.56,,,2.081,,,4,,140,,,56,,,20.61,,,1.901,,,107,,
27,Narsingdi,,830,,,336,,,24.33,,,2.244,,,754,,241,,,98,,,24.2,,,2.232,,,218,,
28,Rajbari,,29423,,,11907,,,28.80,,,2.657,,,31631,,29485,,,11932,,,28.39,,,2.619,,,31246,,
29,Shariatpur,,10003,,,4048,,,33.66,,,3.105,,,12568,,10260,,,4152,,,35.18,,,3.245,,,13473,,
30,Tangail,,10986,,,4446,,,28.39,,,2.619,,,11642,,,11985,,4850,,,30.43,,,2.807,,,13613,,
3,"Dhaka
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,139351,,,56392,,,28.60,,,2.638,,,148745,,,140111,,,56700,,,33.02,,,3.045,,,172668,
31,Bagerhat,,2205,,,892,,,20.35,,,1.877,,,1675,,259,,,105,,,20.65,,,1.905,,,200,,
32,Chuadanga,,2824,,,1143,,,28.64,,,2.642,,,3019,,1869,,,756,,,40.31,,,3.718,,,2812,,
33,Jashore,,933,,,378,,,30.61,,,2.823,,,1066,,,1890,,765,,,32.89,,,3.034,,,2320,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
34,Jhenaidah,,10310,,,4172,,,36.50,,,3.367,,,14047,,13261,,,5366,,,37.68,,,3.476,,,18652,,
35,Khulna,,460,,,186,,,24.31,,,2.242,,,417,,497,,,201,,,27.87,,,2.571,,,517,,
