District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,124,160,125,162,126,181
2,Barishal,320,554,650,1255,660,1320
3,Bhola,1005,1528,1898,3424,1954,5254
4,Jhallokati,140,248,1093,2391,1095,2404
5,Patuakhali,115,190,111,153,112,167
6,Pirojpur,580,1041,600,1077,533,995
1,Barishal Division,2284,3721,4477,8462,4480,10321
7,Bandarban,353,256,364,532,373,545.10
8,Brahmanbaria,21,29,90,117,233.30,339.44
9,Chandpur,16084,51121,11888,23288,11951.00,34539.59
10,Chattogram,60,141,65,170,66,171.87
11,Cumilla,19645,37337,23052,52691,23305,57115.50
12,Cox’s Bazar,0,0,200,425,200.35,424.94
13,Feni,194,572,184,530,184.50,534.25
14,Khagrachari,1044,2305,1074,2186,1062.90,2172
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,54,57,84,185,256.85,798.11
17,Rangamati,510,981,476,919,554.05,1177.68
2,Chattogram Division,37965,92799,37477,81043,38186.95,97818.48
18,Dhaka,10605,24869,10659,30465,10394,28489.90
19,Faridpur,648,1283,773,1754,797.50,1764
20,Gazipur,6,10,5.8,10.08,6,10
21,Gopalganj,81,259,73,203,88.60,252.29
22,Kishoreganj,9499,27592,10334,28086,13926.74,43161
23,Madaripur,413,4445,583,2270,568.60,2153.58
24,Manikganj,40955,127347,39681,132048,39569,132046.32
25,Munshiganj,515,1343,721,1932,721.01,1932.64
26,Narayanganj,67,212,68,215,65.72,209.47
27,Narsingdi,35,94,36,95,39.14,101.12
28,Rajbari,314,864,682,2081,695,2084
29,Shariatpur,57,116,30,77,32.50,99.15
30,Tangail,7970,21014,6740,16992,7685.25,22529.50
3,Dhaka Division,71165,209448,70386,216228,74589,234832.97
31,Bagerhat,388,827,418,946,421.50,946.17
32,Chuadanga,116602,419767,119370,503179,117887,517165
33,Jashore,1028,3169,1186,3719,1394,4507
34,Jhenaidah,42581,135062,42754,166492,43029,171445.48
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,61,148,159,414,203.40,583.08
36,Kushtia,17813,67920,23436,94545,23472,94801
37,Magura,91,209,93,206,155.97,512.39
38,Meherpur,27614,123403,28332,129200,28300,124916.20
39,Narail,0,0,310,1102,301,1061
40,Satkhira,110,302,133,385,146.07,413.16
4,Khulna Division,206288,750807,216191,900188,215309.94,916350.48
41,Jamalpur,25295,102509,25346,102829,27683,113722
42,Mymensingh,286,753,280,1154,290,1015
43,Netrokona,0,0,0,0,0,0
44,Sherpur,2035,4548,2020,8973,1922,4757
5,Mymensingh Division,27616,107810,27646,112956,29895,119494
45,Bogura,13529,37652,17135,52209,17441,53200.94
46,Joypurhat,756,2147,805,2319,817.58,2828
47,Naogaon,15009,57903,15495,59413,14819.18,55543.06
48,Natore,11371,26253,12118,32157,11500,39393
49,Chapai Nawabganj,13323,37815,14245,40760,14687,41987.47
50,Pabna,1737,4749,1663,4596,1710,4822
51,Rajshahi,16182,50413,16475,48766,17226.50,57633.91
52,Sirajganj,25186,93279,28771,98428,30236.15,104354.05
6,Rajshahi Division,97093,310211,106707,338648,108437.41,359762.43
53,Dinajpur,151864,527204,152895,593475,152992,545014
54,Gaibandha,31484,101434,32944,105841,32955,105864
55,Kurigram,18284,55078,18308,55166,16200,53508.60
56,Lalmonirhat,71855,244372,70558,241143,71196,257859
57,Nilphamari,47168,175268,56426,235513,56777,240525
58,Panchagar,50415,194305,64522,269635,64720,271908
59,Rangpur,42598,135226,45623,144370,44132,143059
60,Tahkurgaon,66750,212109,68970,225291,69266,207225
7,Rangpur Division,480418,1644996,510246,1870434,508238,1824962.6
61,Habigonj,16,29,35,62,27.80,39.10
62,Moulvibazar,2,6,3,8,2.61,7.83
63,Sunamganj,0,0,0,0,15,31.50
64,Sylhet,29,28,0,0,29,53.99
8,Sylhet Division,47,63,38,70,74.41,132.42
BANGLADESH,,922876,3119855,973167.80,3528029.08,979210.77,3563674.38
