District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,69,48,69,47,177,65
2,Barishal,4283,1832,4500,2200,4293,1866
3,Bhola,1720,997,1577,731,1584,725
4,Jhallokati,694,297,663,304,683,321
5,Patuakhali,712,325,614,221,602,219
6,Pirojpur,68,33,71,35,77,40
1,Barishal Division,7546,3532,7494,3538,7416,3236
7,Bandarban,26,11,25,9,27,10
8,Brahmanbaria,3037,589,3046,1097,2861,867
9,Chandpur,524,208,518,205,551,218
10,Chattogram,204,79,265,80,256,59
11,Cumilla,731,292,712,260,960,257
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,916,388,1375,674,1122,513
14,Khagrachari,79,15,102,31,67,17
15,Lakshmipur,67,13,60,21,64,18
16,Noakhali,148,27,109,35,86,30
17,Rangamati,74,28,75,29,72,25
2,Chattogram Division,5806,1650,6287,2441,6066,2014
18,Dhaka,300,303,757,303,617,272
19,Faridpur,41725,28745,41586,28478,41417,28646
20,Gazipur,206,79,211,82,172,68
21,Gopalganj,10281,3729,9704,3681,9399,3819
22,Kishoreganj,262,90,268,92,260,100
23,Madaripur,12746,5684,11427,5400,11427,5400
24,Manikganj,2261,828,2255,831,2235,1006
25,Munshiganj,44,15,39,14,40,14
26,Narayanganj,388,118,255,75,247,71
27,Narsingdi,58,29,48,14,48,14
28,Rajbari,17345,8923,20729,9988,17356,8979
29,Shariatpur,5523,2855,5550,2813,5433,2784
30,Tangail,2740,759,2725,745,2716,747
3,Dhaka Division,93879,52157,95554,52516,91367,51920
31,Bagerhat,1502,495,1498,503,1449,491
32,Chuadanga,4470,1833,4457,1824,4477,1851
33,Jashore,25529,11905,25327,12150,24551,11898
34,Jhenaidah,27963,15987,29748,17040,29147,16486
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,226,77,221,70,225,71
36,Kushtia,21154,12577,21137,12417,21146,12532
37,Magura,8395,4036,8445,4103,32570,11610
38,Meherpur,14790,7699,13827,7133,14079,7374
39,Narail,12415,5584,13838,6282,13887,6774
40,Satkhira,884,287,797,272,766,277
4,Khulna Division,117328,60480,119295,61794,142297,69364
41,Jamalpur,879,309,847,296,765,266
42,Mymensingh,720,372,722,376,728,375
43,Netrokona,147,53,123,55,92,36
44,Sherpur,139,49,128,50,133,46
5,Mymensingh Division,1885,783,1820,777,1718,723
45,Bogura,1110,449,897,374,923,391
46,Joypurhat,340,158,342,180,333,163
47,Naogaon,442,212,444,225,432,216
48,Natore,37118,15100,34464,14825,30860,18460
49,Chapai Nawabganj,4748,1428,5138,1617,5307,1608
50,Pabna,26804,12136,26805,13136,26691,13309
51,Rajshahi,44071,22627,39310,20803,36337,18993
52,Sirajganj,6743,2665,7160,3022,7010,3097
6,Rajshahi Division,121376,54775,114560,54182,107893,56237
53,Dinajpur,246,85,215,76,100,38
54,Gaibandha,1280,886,1315,976,1296,963
55,Kurigram,1379,526,1370,522,1411,537
56,Lalmonirhat,120,50,117,53,104,43
57,Nilphamari,23,7,24,8,21,9
58,Panchagar,192,75,196,77,179,60
59,Rangpur,220,113,217,114,215,113
60,Tahkurgaon,297,110,299,110,464,182
7,Rangpur Division,3757,1852,3753,1936,3790,1945
61,Habigonj,267,109,252,118,40,9
62,Moulvibazar,77,37,79,42,70,30
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,9,9,15,10,42,22
8,Sylhet Division,353,155,346,170,152,61
BANGLADESH,,351930,175384,349109,177354,360699,185500
