District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,30,15,25,20,18,17
2,Barishal,26,10,30,15,28,14
3,Bhola,0,0,0,0,0,0
4,Jhallokati,27,15,27,8,28,15
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,83,40,82,43,74,46
7,Bandarban,62,23,63,23,64,24
8,Brahmanbaria,57,19,55,18,56,19
9,Chandpur,96,50,96,49,95,49
10,Chattogram,97,31,128,44,132,46
11,Cumilla,39,20,39,19,43,22
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,264,121,316,172,318,175
14,Khagrachari,100,42,103,41,104,43
15,Lakshmipur,60,16,60,16,64,20
16,Noakhali,519,163,407,132,126,49
17,Rangamati,145,85,137,78,152,88
2,Chattogram Division,1439,570,1404,592,1154,535
18,Dhaka,290,170,221,117,205,114
19,Faridpur,1685,657,1690,659,1319,538
20,Gazipur,8,3,8,3,7,2
21,Gopalganj,632,283,355,147,574,242
22,Kishoreganj,9,3,8,2,10,3
23,Madaripur,1220,500,1150,450,1150,450
24,Manikganj,724,223,721,220,714,273
25,Munshiganj,58,60,57,44,61,59
26,Narayanganj,50,250,17,8,16,7
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,1249,519,1801,756,1801,756
29,Shariatpur,282,148,278,143,305,172
30,Tangail,10,3,9,3,10,3
3,Dhaka Division,6217,2819,6315,2552,6172,2619
31,Bagerhat,109,32,106,32,141,45
32,Chuadanga,114,49,117,49,118,53
33,Jashore,695,298,699,303,655,288
34,Jhenaidah,700,264,675,253,671,251
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,16,6,16,6,16,5
36,Kushtia,910,530,895,519,921,543
37,Magura,1714,300,1803,579,1763,557
38,Meherpur,17,7,18,8,21,9
39,Narail,931,400,882,371,896,377
40,Satkhira,0,0,0,0,9,3
4,Khulna Division,5206,1886,5211,2120,5211,2131
41,Jamalpur,39,14,37,12,37,14
42,Mymensingh,129,69,120,72,117,68
43,Netrokona,0,0,0,0,33,14
44,Sherpur,9,3,11,4,11,4
5,Mymensingh Division,177,86,168,88,198,100
45,Bogura,0,0,0,0,0,0
46,Joypurhat,17,5,17,5,17,8
47,Naogaon,39,18,40,19,38,18
48,Natore,832,336,839,339,2048,823
49,Chapai Nawabganj,434,138,398,122,397,123
50,Pabna,1698,829,1700,808,1734,854
51,Rajshahi,1236,654,4242,2017,1241,727
52,Sirajganj,5,3,12,5,10,5
6,Rajshahi Division,4261,1983,7248,3315,5485,2558
53,Dinajpur,32,12,31,8,59,8
54,Gaibandha,8,3,7,3,7,2.52
55,Kurigram,36,11,37,16,47,18
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,3,2,5,3,3,1.45
58,Panchagar,26,9,29,12,27,11
59,Rangpur,4,2,5,3,4,2
60,Tahkurgaon,28,9,29,10,32,9
7,Rangpur Division,137,48,143,55,179,51.97
61,Habigonj,0,0,0,0,0,0
62,Moulvibazar,18,7,20,12,16,7
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,12,4
8,Sylhet Division,18,7,20,12,28,11
BANGLADESH,,17538,7439,20591,8777,18501,8051.97
