District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,7180,2730,7150,2670,6010,2208
2,Barishal,41735,17080,43450,18950,43481,19115
3,Bhola,32050,16372,32029,15874,32203,17602.52
4,Jhallokati,4447,1456,4433,1486,4544,1621
5,Patuakhali,6320,2570,6481,2572,6496,3200.62
6,Pirojpur,6209,2581,6307,2730,6120,2645
1,Barishal Division,97941,42789,99850,44282,98854,46392.14
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,413,144,746,303,792.40,352
9,Chandpur,149,146,335,146,447.23,226
10,Chattogram,1907,604,2942,795,2948.56,795.22
11,Cumilla,743,307,689,289,697.97,321.45
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,1337,401,8451,2525,8454,2536
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,373,120,361,117,372,120
16,Noakhali,13125,5688,11792,4913,31926.02,14548.49
17,Rangamati,0,0,0,0,0,0
2,Chattogram Division,18047,7410,25316,9088,45638.18,18899.16
18,Dhaka,2492,1182,2456,1280,2042,1149.46
19,Faridpur,13935,6665,13948,6669,13950,6608.14
20,Gazipur,113,40,113,39,96.44,36.28
21,Gopalganj,18040,9060,18447,9712,18603.50,9796.33
22,Kishoreganj,65,30,61,30,55.92,28.2
23,Madaripur,13605,6540,13879,6750,13949,6778.13
24,Manikganj,4494,1921,4512,1975,4601.50,2209.91
25,Munshiganj,230,87,231,63,212.15,55.82
26,Narayanganj,174,51,175,52,171.11,51.04
27,Narsingdi,17,17,17,8,24.74,11.74
28,Rajbari,3755,1859,3527,1737,3531,1740
29,Shariatpur,7722,4312,7653,4405,7542,3160
30,Tangail,4501,1317,4470,1318,4432.25,1305.47
3,Dhaka Division,69143,33081,69489,34038,69211.61,32930.52
31,Bagerhat,9950,3806,9631,3788,7454,2897.35
32,Chuadanga,373,149,376,153,376,155.50
33,Jashore,1538,448,1475,631,1674,1344
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
34,Jhenaidah,644,288,643,291,627,280.70
35,Khulna,352,198,311,178,242.70,177.57
36,Kushtia,2499,1488,2495,1478,2508,1504
37,Magura,3526,839,3480,811,3522,838.55
38,Meherpur,92,38,78,34,83,39.84
39,Narail,27618,10929,25539,9862,25552,9873
40,Satkhira,3152,1378,3220,1414,3166.70,1403.19
4,Khulna Division,49744,19561,47248,18640,45205.40,18513.70
41,Jamalpur,787,272,718,255,782,280
42,Mymensingh,401,197,410,199,385,187
43,Netrokona,42,19,37,25,20,8
44,Sherpur,76,32,65,28,68,30
5,Mymensingh Division,1306,520,1230,507,1255,505
45,Bogura,159,70,192,99,196.90,101.33
46,Joypurhat,81,33,79,33,76.80,34.36
47,Naogaon,297,159,287,163,284.80,158.22
48,Natore,5038,2302,4966,2276,5395.50,2853.01
49,Chapai Nawabganj,1631,503,5350,1661,5324,1710.12
50,Pabna,8325,4501,12835,5516,8861,5377
51,Rajshahi,2101,1090,1958,1280,2171.65,1191.11
52,Sirajganj,1437,3523,1460,808,1561.95,776.73
6,Rajshahi Division,19069,12181,27127,11836,23872.60,12201.88
53,Dinajpur,34,11,34,12,34,11
54,Gaibandha,222,94,183,77,186,78
55,Kurigram,1742,945,1765,956,1760,941
56,Lalmonirhat,40,22,33,19,31,18
57,Nilphamari,30,19,32,17,88,52
58,Panchagar,25,6,28,8,41,12
59,Rangpur,58,26,56,25,36,25
60,Tahkurgaon,35,15,38,16,42,18
7,Rangpur Division,2186,1138,2169,1130,2218,1155
61,Habigonj,34,10,0,0,0,0
62,Moulvibazar,66,28,69,27,70.50,27.84
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,10,4.10
8,Sylhet Division,100,38,69,27,80.50,31.94
BANGLADESH,,257536,116718,272498,119548,286335.29,130629.34
