Name of Crops,2018-19,,2019-20,,2020-21,
,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
Chili (Kharif),43947,43452,48367,45644,50671.78,99126.30
Chili (Rabi),195256,106021,191076,111963,196768.37,393555.62
Onion,426157,1802868,457809,1953800,480105.91,2268754.08
Garlic,177262,466389,181778,485448,180034.75,501611.52
Turmeric,69645,147439,82113,286158,65233.84,217737.70
Ginger,23747,80234,25461,84887,25393.53,81715.76
Coriander seed,50049,19295,50100,21346,50020.01,21518.84
Coriander,7377,5487,7508,5616,8112.26,6309
Cassia Leaf,1376,1436,1392,1814,1233.15,1601.21
Capsicum,8,11,13,38,54.02,176.51
Black cumin,2614,1223,2129,1005,2487.37,1068.06
Methi,369,185,379,200,366,185
Mint,9,9,11,5,9.54,3.93
Joyeen,0,0,0,0,32.55,9
Total,997816,2674049,1048135,2997923,1060523.08,3593372.53
