District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,108,128,109,158,104,124
2,Barishal,596,675,550,850,560,879
3,Bhola,1487,2806,1535,3412,1581.06,3588
4,Jhallokati,67,110,84,128,90,136
5,Patuakhali,105,63,99,136,102,178.25
6,Pirojpur,50,57,54,83,60,70
1,Barishal Division,2413,3839,2431,4767,2497.06,4975.25
7,Bandarban,119,181,121,184,127,192.93
8,Brahmanbaria,1250,2468,1093,3029,1097.52,2967.50
9,Chandpur,1661,4308,1692,4388,1796.15,4605.71
10,Chattogram,166,241,171,245,173.82,248.58
11,Cumilla,323,880,341,954,349,982.70
12,Cox’s Bazar,78,141,64,99,61.14,84.80
13,Feni,30,29,25,41,25.52,43
14,Khagrachari,53,84,52,85,54.90,82.17
15,Lakshmipur,435,800,429,720,436,802
16,Noakhali,309,432,286,388,483.45,1654.37
17,Rangamati,109,193,104,194,114.90,226.93
2,Chattogram Division,4533,9757,4378,10327,4719.40,11890.69
18,Dhaka,1243,4168,1220,4367,1147.99,4112.90
19,Faridpur,65932,264025,65991,265150,82105,445503
20,Gazipur,424,840,434,861,495.23,971.56
21,Gopalganj,4974,14478,4895,12006,4917.27,12780.86
22,Kishoreganj,1266,3868,1265,3996,1324.66,4272.25
23,Madaripur,8519,45940,8997,29889,8838.30,36891.26
24,Manikganj,17835,47039,18131,59189,18285.55,61037.85
25,Munshiganj,544,999,561,992,482,1415.96
26,Narayanganj,652,1407,644,1389,648.96,1404.46
27,Narsingdi,330,598,326,872,317.16,854.48
28,Rajbari,53976,182485,66816,251861,67515,277033
29,Shariatpur,6014,24127,6090,24500,6555,27869
30,Tangail,2022,4170,2032,4240,2045.80,4265.43
3,Dhaka Division,163731,594144,177402,659312,194677.92,878412.01
31,Bagerhat,310,664,322,714,328.86,741.39
32,Chuadanga,1770,10061,1669,10379,1699,9860.38
33,Jashore,3159,13016,2796,11549,3093,12841.38
34,Jhenaidah,16330,85540,18043,95781,18557,101477.38
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,4181,49013,3070,20139,307.13,981.42
36,Kushtia,24987,151477,26101,132536,26182,134234
37,Magura,8851,38502,14416,59187,14096,57080.19
38,Meherpur,4181,49013,5089,49317,4929,52143.79
39,Narail,1362,4164,1269,3849,1493,4785.10
40,Satkhira,1004,3239,954,3079,972.49,3228.36
4,Khulna Division,66135,404689,73729,386530,71657.48,377373.39
41,Jamalpur,3791,11101,3651,10600,3740,10854
42,Mymensingh,1419,3765,1430,3780,1442,3855
43,Netrokona,804,2135,780,2105,770,2353
44,Sherpur,1250,3564,1279,3528,1278,3544
5,Mymensingh Division,7264,20565,7140,20013,7230,20606
45,Bogura,4654,10686,4779,12903,4797,13039.74
46,Joypurhat,1718,5347,1861,5389,1877.84,7781.64
47,Naogaon,6676,24947,6736,25331,6817.33,26473.94
48,Natore,7516,24814,11689,39250,11652,64204
49,Chapai Nawabganj,6478,23015,7034,24982,7211,25980.53
50,Pabna,104956,446410,105139,494163,105918,509226
51,Rajshahi,27148,163482,31176,195452,36170.50,249340.50
52,Sirajganj,1279,3826,1692,5520,1585.90,5236.34
6,Rajshahi Division,160425,702527,170106,802990,176029.57,901282.69
53,Dinajpur,5276,16531,5174,16029,5344,16778
54,Gaibandha,2187,5063,2718,6089,2684,6528
55,Kurigram,1157,2520,1096,2561,1103,2575
56,Lalmonirhat,1164,3675,1230,3904,1241,3923
57,Nilphamari,2307,9103,2623,9839,2556,10027
58,Panchagar,3056,10020,3285,11188,3521,12744
59,Rangpur,4865,16491,4945,16712,4980,16831
60,Tahkurgaon,967,2261,978,2288,984,2306
7,Rangpur Division,20979,65664,22049,68610,22413,71712
61,Habigonj,223,644,144,359,156.46,389.80
62,Moulvibazar,80,161,85,173,90.32,206.29
63,Sunamganj,250,770,214,473,321,889
64,Sylhet,124,108,131,246,313.70,1016.96
8,Sylhet Division,677,1683,574,1251,881.48,2502.05
BANGLADESH,,426157,1802868,457809,1953800,480105.91,2268754.08
