District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0
2,Chattogram Division,0,0,0,0,0,0
18,Dhaka,63,35,57,32,84,43.51
19,Faridpur,136,65,151,82,151.80,83.66
20,Gazipur,9,3,9,3,4.70,1.45
21,Gopalganj,1070,469,307,138,298,90
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,435,178,279,177,523.76,238.86
24,Manikganj,20,4,21,4,21.20,4.42
25,Munshiganj,3,2,3,1,1.66,0.21
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,23,115,267,96,275,101
29,Shariatpur,501,292,515,304,523.50,316
30,Tangail,271,41,260,40,256.76,39.83
3,Dhaka Division,2531,1204,1869,877,2140.38,918.94
31,Bagerhat,0,0,7,2,8,2
32,Chuadanga,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,0,0,0,0,0,0
36,Kushtia,0,0,7,3,8,3
37,Magura,0,0,25,7,8,3
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,87,73,80,67
40,Satkhira,0,0,0,0,0,0
4,Khulna Division,0,0,126,85,104,75
41,Jamalpur,0,0,33,8,38,9
42,Mymensingh,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,11,3,33,8,38,9
45,Bogura,0,0,10,3,6,2
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,50.99,17.88
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,20,7,74,27,107,33.04
51,Rajshahi,48,8,7,1,33,9.20
52,Sirajganj,4,1,0,0,0,0
6,Rajshahi Division,83,19,91,31,196.99,62.12
53,Dinajpur,0,0,0,0,0,0
54,Gaibandha,0,0,10,4,8,3
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagar,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0
60,Tahkurgaon,0,0,0,0,0,0
7,Rangpur Division,0,0,10,4,8,3
61,Habigonj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,2614,1223,2129,1005,248.37,1068.06
