District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
( Bales)",( Bales),Acres,Hectors,"Acres
(Maund)","Hectors
(Bales)",(Bales)
1,Barguna,0,0,0,0,0,0,0,0,0,0
2,Barishal,33246,13454,2.55,6.301,84777,33909,13722,2.41,5.955,81721
3,Bhola,0,0,0,0.000,0,0,0,0,0.000,0
4,Jhallokati,0,0,0,0.000,0,0,0,0,0.000,0
5,Patuakhali,0,0,0,0.000,0,0,0,0,0.000,0
6,Pirojpur,860,348,2.86,7.067,2460,900,364,2.31,5.708,2079
1,"Barishal
Division",34106,13802,2.56,6.321,87237,34809,14086,2.41,5.949,83800
7,Bandarban,0,0,0,0.000,0,0,0,0,0,0
8,Brahmanbaria,6081,2461,5.92,14.629,35999,5559,2249,5.33,13.171,29627
9,Chandpur,10100,4087,3.97,9.810,40096,12001,4857,3.93,9.711,47164
10,Chattogram,0,0,0,0.000,0,0,0,0,0,0
11,Cumilla,830,336,4.02,9.934,3335,818,331,4.37,10.799,3576
12,Cox’s Bazar,0,0,0,0.000,0,0,0,0,0,0
13,Feni,0,0,0,0.000,0,0,0,0,0,0
14,Khagrachari,0,0,0,0.000,0,0,0,0,0,0
15,Lakshmipur,47,19,3.32,8.204,156,484,196,3.84,9.489,1859
16,Noakhali,0,0,0,0.000,0,0,0,0,0,0
17,Rangamati,0,0,0,0.000,0,0,0,0,0,0
2,"Chattogram
Division",17057,6903,4.67,11.530,79586,18862,7633,4.36,10.772,82226
18,Dhaka,9673,3914,4.12,10.181,39851,7754,3138,4.41,10.898,34193
19,Faridpur,203175,82220,4.39,10.848,891938,209824,84911,3.52,8.698,738580
20,Gazipur,3604,1459,4.07,10.057,14670,3712,1502,3.48,8.599,12918
21,Gopalganj,78265,31672,3.83,9.464,299755,59408,24041,5.46,13.492,324368
22,Kishoreganj,37944,15355,4.22,10.428,160122,40682,16463,4.56,11.268,185508
23,Madaripur,84729,34288,3.87,9.563,327901,78336,31701,4.21,10.403,329795
24,Manikganj,7774,3146,3.51,8.674,27287,8914,3607,4.13,10.206,36815
25,Munshiganj,4924,1993,2.76,6.820,13591,7320,2962,3.90,9.637,28548
26,Narayanganj,7592,3072,4.75,11.738,36062,720,291,4.82,11.911,3468
27,Narsingdi,6642,2688,4.66,11.515,30952,6636,2685,4.89,12.084,32450
28,Rajbari,118368,47901,4.16,10.280,492411,118952,48137,4.07,10.057,484135
29,Shariatpur,47819,19351,3.36,8.303,160672,57084,23101,4.09,10.107,233474
30,Tangail,34317,13887,3.94,9.736,135209,35993,14566,4.21,10.403,151530
3,Dhaka Division,644826,260947,4.08,10.080,2630420,635334,257106,4.09,10.096,2595781
31,Bagerhat,3404,1377,4.96,12.257,16882,3603,1458,5.07,12.528,18269
32,Chuadanga,40729,16482,6.41,15.840,261073,43540,17620,5.67,14.011,246872
33,Jashore,49599,20072,5.58,13.789,276762,57823,23400,5.24,12.949,302993
34,Jhenaidah,50321,20364,6.23,15.395,313500,53557,21673,5.72,14.135,306346
35,Khulna,3185,1289,4.50,11.120,14333,3181,1287,5.15,12.726,16382
36,Kushtia,91845,37168,5.74,14.184,527190,98413,39826,5.02,12.405,494033
37,Magura,81292,32897,4.67,11.540,379634,85406,34562,4.12,10.181,351873
