District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,25,26,23,135,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,5,3,7,24,10,10.64
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,25,26,22,117.71,62,558.09
2,Chattogram Division,55,55,52,276.71,72,568.73
18,Dhaka,86,25,47,84.08,0,0
19,Faridpur,0,0,0,0,0,0
20,Gazipur,245,210,137,662,139.06,287.26
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,253,375,230,1737.57,254,1429.29
29,Shariatpur,0,0,0,0,0,0
30,Tangail,572,240,554,1311.59,501.80,1245.16
3,Dhaka Division,1156,850,968,3795.24,894.86,2961.71
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,682,429,688,2421.39,678,2257.67
33,Jashore,2413,3973,2426,22489,2387,13301
34,Jhenaidah,4590,6960,4637,39090,4608,28215.95
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,0,0,0,0,0,0
36,Kushtia,2071,2541,1988,13618,2010,8396.40
37,Magura,214,268,211,1331,168.61,565.21
38,Meherpur,1374,1899,1120,8546,1184,9455.76
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna Division,11344,16070,11070,87495.39,11035.61,62191.99
41,Jamalpur,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,0,0,0,0,0,0
45,Bogura,0,0,7,11.21,5.13,6.05
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,115,655.79,119.49,727.59
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi Division,0,0,122,667.00,124.62,733.64
53,Dinajpur,196,126,195,1081.78,189,1081.78
54,Gaibandha,228,226,221,1221.91,202,936.04
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,24,11,25,78.47,25,72.87
57,Nilphamari,0,0,0,0,0,0
58,Panchagar,0,0,0,0,0,0
59,Rangpur,476,311,486,1737.57,485,1681.52
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur Divison,924,674,927,4119.73,901,3772.21
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,13479,17649,13139,96354.07,13028.09,70228.28
