District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,701,16207,"18624.3
8",840,747,780.22,960,1127,504.77,1800,1874,1284.99
2,Barishal,1115,1116,6424.89,1521,1523,1465.34,1229,1267,1364.65,2750,2790,2829.99
3,Bhola,5336,5358,6031.30,8671,8987,10260.83,2106,6012,1655.66,10777,14999,11916.49
4,Jhallokati,1052,1053,1896,1282,1089,990,1313,1113,1268.06,2595,2202,2258.06
5,Patuakhali,737,720,3284.11,746,1129,1233.82,1486,1466,1361.17,2232,2595,2594.99
6,Pirojpur,3201,3238,6776.46,3333,3881,3725.95,3200,3209,2523.04,6533,7090,6248.99
1,Barishal Division,12142,12299,"43037.1
4",16393,17356,18456.16,10294,14194,8677.35,26687,31550,27133.51
7,Bandarban,29,29,131.38,80,88,83.91,131,124,128.47,211,212,212.38
8,Brahmanbaria,218,218,483.16,9,10,9.74,1188,1188,1144.96,1197,1198,1154.7
9,Chandpur,566,566,614.18,1011,674,1771.76,215,553,880.53,1226,1227,2652.29
10,Chattogram,1506,1543,1067.12,6116,6612,5650.78,5731,4773,5017.02,11847,11385,10667.8
11,Cumilla,263,263,466.69,582,582,608.18,1011,1013,985.18,1593,1595,1593.36
12,Cox’s Bazar,2421,2421,"10171.5
0",48749,42513,48828.19,7330,13567,6768.74,56079,56080,55596.93
13,Feni,1536,1536,3289.28,307,461,353.67,1332,1179,1666.96,1639,1640,2020.63
14,Khagrachari,83,83,412.81,41,41,45.02,264,265,278.14,305,306,323.16
15,Lakshmipur,49639,49639,13581,49033,49032,"145684.3
3",84531,84532,5900.67,"13356
4",133564,151585
16,Noakhali,1573,1573,1709.53,491,491,483.93,2931,3332,3499.36,3422,3823,3983.29
17,Rangamati,0,209,307.71,176,527,209.26,424,146,416.53,600,673,625.79
2,"Chattogram
Division",57834,58081,"32234.3
6",106595,"10103
1","203728.7
7",105088,"11067
2",26686.56,"21168
3",211703,"230415.3
3"
18,Dhaka,280,277,255.38,19,18,19.3,1056,877,981.98,1075,895,1001.28
19,Faridpur,310,268,177,295,194,164.9,625,590,652.71,920,784,817.61
20,Gazipur,277,241,777.31,144,304,295.12,1088,1044,1112.88,1232,1348,1408
21,Gopalganj,264,241,553.30,652,149,179.75,1760,466,372.66,2412,615,552.41
22,Kishoreganj,482,495,569.91,161,167,126.87,1230,1084,985.83,1391,1251,1112.7
23,Madaripur,252,252,422.98,56,33,75.64,531,498,542.74,587,531,618.38
24,Manikganj,140,200,284.18,93,149,138.79,193,274,311.11,286,423,449.9
25,Munshiganj,31,30,80.66,0,0,0,161,212,243.38,161,212,243.38
26,Narayanganj,76,76,53.51,21,20,11.78,139,127,129.13,160,147,140.91
27,Narsingdi,74,74,80.66,8,7,5.52,380,321,290.12,388,328,295.64
28,Rajbari,625,674,801.29,447,1876,1057.60,1557,161,1206.04,2004,2037,2263.64
29,Shariatpur,141,365,344.16,89,735,911.81,921,336,398.62,1010,1071,1310.43
30,Tangail,665,670,598.52,478,476,410.55,1568,1571,1630.75,2046,2047,2041.3
3,Dhaka Division,3617,3863,4998.86,2463,4128,3397.63,11209,7561,8857.95,13672,11689,12255.58
31,Bagerhat,4644,4727,4459.31,2694,3432,3954.29,1653,4515,5466.86,4347,7947,9421.15
32,Chuadanga,89,89,77.45,87,218,338.27,29,98,152.14,116,316,490.41
33,Jashore,530,536,1026,602,990,795.53,589,400,501.46,1191,1390,1296.99
34,Jhenaidah,181,183,296.12,67,67,89.79,482,503,543.21,549,570,633
35,Khulna,1059,1131,151.91,1224,2069,1623.09,1070,1200,1169.90,2294,3269,2792.99
36,Kushtia,369,370,333,411,411,412.29,1396,1433,1458.71,1807,1844,1871
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
37,Magura,280,275,317.94,415,468,221.27,196,76,315.73,611,544,537
38,Meherpur,35,32,70.51,0,0,0,76,69,68,76,69,68
39,Narail,411,412,858.44,2275,2288,2255,1590,1705,1720.76,3865,3993,3975.76
40,Satkhira,318,390,830.15,549,630,695.91,713,620,431,1262,1250,1126.91
4,Khulna Division,7916,8145,8420.83,8324,10573,10385.44,7794,10619,11827.77,16118,21192,22213.21
41,Jamalpur,769,765,1948,461,493,617.84,1541,1365,2092.16,2002,1858,2710
42,Mymensingh,2140,1933,6075,1713,1672,2304.67,3409,3563,4596.33,5122,5235,6901
43,Netrokona,443,468,5734,461,235,199.32,2526,3071,1539.68,2987,3306,1739
44,Sherpur,40,571,1466,180,23,13.38,1772,3534,2038.62,1952,3557,2052
5,"Mymensingh
Division",4015,3737,15223,2815,2423,3135.21,9248,11533,10266.79,12063,13956,13402
45,Bogura,152,153,221,41,29,28.66,830,654,628.62,871,683,657.28
46,Joypurhat,15,16,53,26,23,15.9,49,57,54.50,75,80,70.4
47,Naogaon,25,25,41,8,6,10.6,181,195,206.23,189,201,216.83
48,Natore,399,398,431,890,2624,775.91,1970,582,1828.43,2860,3206,2604.34
49,Chapai Nawabganj,3,3,12,0,0,0,11,10,21,11,10,21
50,Pabna,137,207,176,218,351,382.56,952,761,777.89,1170,1112,1160.45
51,Rajshahi,81,90,161,259,295,382.95,285,252,517.67,544,547,900.62
52,Sirajganj,89,51,75,13,8,0,629,237,215,642,245,215
6,Rajshahi Division,901,944,1170,1455,3336,1596.58,4907,2748,4249.34,6362,6084,5845.92
53,Dinajpur,141,142,154.05,259,300,274.91,684,698,703.09,943,998,978
54,Gaibandha,1133,749,864.90,2594,2594,2445.82,1480,1709,1915.73,4074,4303,4361.55
55,Kurigram,3717,1161,2158.35,3365,4412,4487.5,351,2229,2246.59,3716,6641,6734.09
56,Lalmonirhat,182,486,1026.3,1593,161,1578.25,779,811,729.03,2372,972,2307.28
57,Nilphamari,412,482,387.77,2567,2549,1667.18,830,1015,742.82,3397,3564,2410
58,Panchagar,579,532,576.16,989,2262,2274.62,2762,831,887.50,3751,3093,3162.12
59,Rangpur,822,462,540.22,1270,1401,1314.36,755,1018,986.34,2025,2419,2300.7
60,Thakurgaon,39,25,40.76,24,29,27.29,88,87,90.43,112,116,117.72
7,Rangpur Divison,7025,4039,5748.51,12661,13708,14069.93,7729,8398,8301.53,20390,22106,22371.46
61,Habiganj,217,1545,214.80,437,461,44.81,435,321,875.05,872,782,919.86
62,Moulvibazar,430,428,1292.51,290,949,622.75,682,22,2074.54,972,971,2697.29
63,Sunamganj,289,511,515.00,132,133,0,720,712,1332,852,845,1332
64,Sylhet,1804,3353,2319,4099,5124,4619.64,2945,2608,2595.35,7044,7732,7214.99
8,Sylhet Division,2740,5837,4341.31,4958,6667,5287.2,4782,3663,6876.94,9740,10330,12164.14
BANGLADESH,,96190,96945,"115174.
01",155664,159222,260056.92,161051,169388,85744.23,316715,328610,345801.15
