District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,338,475,347,1580,305,1397
2,Barishal,1684,3401,1750,5500,1760,5781
3,Bhola,520,1180,536,1879,563,2039
4,Jhallokati,2830,7470,2902,8324,2910,9500
5,Patuakhali,765,3345,554,2717,561,1885.90
6,Pirojpur,3280,13386,2768,13390,2786,13454
1,Barishal Division,9417,29257,8857,33390,8885,34056.90
7,Bandarban,3786,18243,3822,18396,3830,18430
8,Brahmanbaria,287,1200,274,1062,269.65,1030.29
9,Chandpur,958,4995,956,5085,990,5131.68
10,Chattogram,2894,13756,2950,14515,2961.32,14513.03
11,Cumilla,816,3208,837,3224,849.55,3930
12,Cox’s Bazar,882,3305,848,2625,854.91,2315.62
13,Feni,569,2702,475,2146,483,2155.1
14,Khagrachari,7162,24882,7411,26783,7462,26938
15,Lakshmipur,3254,9104,3257,9109,3250,12432
16,Noakhali,1371,1064,1282,6406,1212.69,3493.36
17,Rangamati,9185,40996,9183,41718,9230,42734
2,Chattogram Division,31164,123455,31295,131069,31393.12,133103.08
18,Dhaka,551,3595,570,3934,588.56,4075.02
19,Faridpur,177,595,184,602,202,624
20,Gazipur,1070,6619,1078,6690,1499.68,9163.26
21,Gopalganj,961,5912,998,6285,909.9,5384.92
22,Kishoreganj,1485,11560,1503,11413,1536.34,11557.94
23,Madaripur,1397,11880,1392,11777,1584,12195.42
24,Manikganj,560,1406,582,2795,601,1966.03
25,Munshiganj,156,558,162,562,170.1,647.66
26,Narayanganj,217,1109,200,1022,195.71,1000.28
27,Narsingdi,3904,26824,3858,26170,3677.74,25074.45
28,Rajbari,1029,5905,1054,6105,1071,6258.88
29,Shariatpur,390,1340,389,1338,413,1563
30,Tangail,11434,117434,11492,88880,11391.15,88314.68
3,Dhaka Division,23331,194737,23462,167573,23840.18,167825.54
31,Bagerhat,2040,8432,2063,8551,2077,8637.37
32,Chuadanga,1529,18317,1774,17463,1813,17999.44
33,Jashore,1934,9823,1969,11023,1973,10150.87
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
34,Jhenaidah,8351,52549,8064,50330,8152,50351.2
35,Khulna,1345,5575,1304,5405,305,5123.54
36,Kushtia,3874,38424,4039,37925,1760,36962
37,Magura,1936,29187,1744,15443,563,14819
38,Meherpur,1936,29187,2400,36795,2432,37399.12
39,Narail,621,4276,629,4336,638,4394
40,Satkhira,1026,6225,997,4658,995.5,6240.93
4,Khulna Division,24592,201995,24983,191929,25007.44,192077.47
41,Jamalpur,1372,7605,1321,7325,1324,7323
42,Mymensingh,5110,37294,5212,37301,5325,36200
43,Netrokona,809,4300,777,4264,804,4588
44,Sherpur,570,3156,1050,6628,623,3480.70
5,Mymensingh Division,7861,52355,8360,55518,8076,51591.70
45,Bogura,2296,17848,2564,20314,2572.5,20335.51
46,Joypurhat,398,3198,402,3200,416.53,3055.44
47,Naogaon,1568,12980,1573,13517,1631.83,13864.85
48,Natore,773,7194,741,5365,856,14360
49,Chapai Nawabganj,347,2680,398,3176,419.96,3395.41
50,Pabna,724,5280,741,5365,756,5564.16
51,Rajshahi,4560,43918,4590,43693,4672.5,47822.03
52,Sirajganj,660,5740,597,4640,583.98,4354.52
6,Rajshahi Division,11326,98838,11606,99270,11909.3,112751.92
53,Dinajpur,2835,27798,2837,32575,2772,28912
54,Gaibandha,3388,61944,3476,62728,3459,62407.2
55,Kurigram,517,4860,486,4993,520.53,5296.87
56,Lalmonirhat,268,2967,272,2965,277,3001.12
57,Nilphamari,368,3365,398,3542,439.83,3672.82
58,Panchagar,406,4956,425,5165,402,5070.5
59,Rangpur,2285,15321,2323,15180,2321,13041
60,Thakurgaon,1120,5641,1139,5736,1161.46,5855.58
7,Rangpur Divison,11187,126852,11356,132884,11352.82,127257.09
61,Habiganj,277,715,373,861,279.33,775.06
62,Moulvibazar,263,1390,269,1423,269,1423
63,Sunamganj,314,,320,1905,325,1949
64,Sylhet,1000,1830,896,2086,855,3341
8,Sylhet Division,1831,5820,1858,6275,1728.33,7488.06
BANGLADESH,,120709,833309,121777,817908,122192.19,826151.76
