District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,6614,6642,2348,1303,1038,1485,4488,5004,5715,5791,6042,7200
2,Barishal,9884,9423,27465,0,0,2,8259,8000,10703,8259,8000,10705
3,Bhola,2577,1438,715,98,0,0,1906,1906,1513,2004,1906,1513
4,Jhallokati,1856,518,1957,0,0,66,946,1066,1024,946,1066,1090
5,Patuakhali,6885,3967,4944,0,0,0,3964,2900,4045,3964,2900,4045
6,Pirojpur,8574,8676,3842,353,356,357,4476,4347,4377,4829,4703,4734
1,Barishal Division,36390,30664,41271,1754,1394,1910,24039,23223,27377,25793,24617,29287
7,Bandarban,2826,2871,2839,1559,1600,1571,2148,2187,2166,3707,3787,3737
8,Brahmanbaria,2945,3071,2856,69,75,107,9517,9485,9732,9590,9560,9839
9,Chandpur,1049,1050,1054,0,0,0,9392,9393,9739,9392,9393,9739
10,Chattogram,3247,3000,2583,524,528,640,16942,16971,19164,17466,17499,19804
11,Cumilla,27711,2781,5878,9685,9755,0,13654,13594,22529,23339,23349,22529
12,Cox’s Bazar,253,243,1192,778,764,1071,5344,5359,8579,6122,6123,9650
13,Feni,1264,1258,1569,81,83,933,4106,4103,2729,4187,4186,3662
14,Khagrachari,3793,3871,4207,5842,6087,6169,2651,2806,2945,8493,8893,9114
15,Lakshmipur,1267,839,1923,0,0,0,4187,4186,1925,4187,4186,1925
16,Noakhali,999,1000,730,0,0,0,6204,6214,6616,6204,6214,6616
17,Rangamati,3900,3925,3748,3425,3451,3688,2338,2318,2437,5763,5769,6125
2,"Chattogram
Division",49254,23911,28579,21963,22343,14179,76483,76616,88561,98450,98959,102740
18,Dhaka,506,534,533,1865,728,690,4209,5216,4986,6074,5944,5676
19,Faridpur,160,254,1339,4037,8781,2259,2760,12659,5823,6797,21440,8082
20,Gazipur,331,786,1796,688,949,1004,738,7561,7833,1426,8510,8837
21,Gopalganj,738,730,1044,2125,47,240,4312,7225,3591,6437,7272,3831
22,Kishoreganj,320,449,644,132,199,234,9727,9859,10184,9859,10058,10418
23,Madaripur,5479,572,1015,4423,144,365,946,5455,7055,5369,5599,7420
24,Manikganj,982,990,2707,942,927,1030,4315,4350,4474,5257,5277,5504
25,Munshiganj,280,267,265,101,111,106,2865,3125,3013,2966,3236,3119
26,Narayanganj,80,82,80,95,104,168,2093,2193,1733,2188,2297,1901
27,Narsingdi,272,603,996,679,298,226,5324,5555,4783,6003,5853,5009
28,Rajbari,512,2120,2771,22103,2397,4307,4984,12411,12209,27087,14808,16516
29,Shariatpur,112,3028,10042,5274,3842,168,573,289,5716,5847,4131,5884
30,Tangail,893,1422,2204,11715,4298,4375,2586,14886,13961,14301,19184,18336
3,Dhaka Division,10665,11839,25436,54179,22825,15172,45432,90784,85361,99611,113609,100533
31,Bagerhat,314,313,383,81,73,117,1740,1662,1796,1821,1735,1913
32,Chuadanga,885,905,914,5152,5143,4480,2054,2081,1852,7206,7224,6332
33,Jashore,3592,3581,3653,4743,4551,4469,5541,5687,5111,10284,10238,9580
34,Jhenaidah,2103,1992,1768,8497,8121,7241,11381,11444,9874,19878,19565,17115
35,Khulna,1015,257,1336,925,977,1209,6688,7223,5902,7613,8200,7111
36,Kushtia,4439,2868,4450,12502,10585,13072,35411,30370,36258,47913,40955,49330
37,Magura,287,280,529,2918,3649,2529,4838,4660,4577,7756,8309,7106
38,Meherpur,5838,5800,6050,6360,6244,10935,2218,2067,2659,8578,8311,13594
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
39,Narail,1372,1370,1629,2518,1479,2581,5114,3903,5145,7632,5382,7726
