District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,1136,3855,1110,5010,6068,27507
2,Barishal,200,884,600,3500,607,3645
3,Bhola,8092,46000,8510,59893,8544,58533
4,Jhallokati,77,240,84,263,85,265
5,Patuakhali,1160,3000,1098,6174,1094,2555.38
6,Pirojpur,907,10801,855,8827,920,6808
1,Barishal Division,11572,64780,12257,83667,17318,99313.38
7,Bandarban,114,426,111,407,111.56,406.54
8,Brahmanbaria,90,817,27,216,27.48,216.25
9,Chandpur,23,26,22,63,1.05,4.20
10,Chattogram,807,4682,996,5247,996.45,5247.41
11,Cumilla,91,346,83,339,83.96,339.20
12,Cox’s Bazar,1836,16481,1822,16418,1292.27,13115.91
13,Feni,32,120,41,193,31.30,120.51
14,Khagrachari,166,673,163,652,162.89,651.88
15,Lakshmipur,191,1929,185,1879,185.50,1879.10
16,Noakhali,5230,33851,3499,19146,3499.12,19145.97
17,Rangamati,729,3636,730,3649,730.45,3648.98
2,Chattogram Division,9309,62987,7679,48209,7122.03,44775.95
18,Dhaka,20,45,15,78,13,65
19,Faridpur,87,698,85,696,78.90,621.08
20,Gazipur,8,33,7,31,5.65,24.51
21,Gopalganj,998,17676,752,11915,611,10003.84
22,Kishoreganj,25,149,25,148,30.84,408.53
23,Madaripur,12,66,17,142,20.75,177.53
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,15,47,16,50,16,19.15
26,Narayanganj,85,473,88,494,78.50,422.80
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,87,657,95,713,96,712
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,4,35,0,0
3,Dhaka Division,1337,19844,1104,14302,950.64,12454.44
31,Bagerhat,284,2839,268,2667,270,2706.22
32,Chuadanga,82,482,1197,4908,1307.70,10349.98
33,Jashore,57,314,48,203,47.28,207
34,Jhenaidah,63,391,56,318,62.45,348.85
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,1366,9148,4515,75762,10083,144010
36,Kushtia,24,166,26,181,17,120
37,Magura,0,0,6,27,6.85,30.83
38,Meherpur,70,387,50,210,100,1200
39,Narail,60,230,43,170,46,154
40,Satkhira,0,0,139,695,144,2204.32
4,Khulna Division,2006,13957,6348,85141,12084.28,161331.20
41,Jamalpur,99,709,95,683,97,685
42,Mymensingh,45,178,41,230,45,253
43,Netrokona,72,365,65,379,64,408
44,Sherpur,68,450,67,444,70,476
5,Mymensingh Division,284,1702,268,1736,276,1822
45,Bogura,18,81,10,75,18.04,103.94
46,Joypurhat,35,269,35,271,58.82,485.91
47,Naogaon,140,1257,129,888,121.88,860.74
48,Natore,227,1399,225,1264,733,6408.40
49,Chapai Nawabganj,3,20,0,0,0,0
50,Pabna,44,165,46,159,51,187.36
51,Rajshahi,0,0,17,91,21,104.56
52,Sirajganj,5,7,0,0,0,0
6,Rajshahi Division,472,3198,462,2748,1003.74,8150.91
53,Dinajpur,181,1401,182,1356,189,1372
54,Gaibandha,14,49,11,38,12,39
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,20,215,19,223.25,19,237
57,Nilphamari,36,324,21,174,3.25,26.76
58,Panchagar,712,6714,545,4587,542,4903
59,Rangpur,20,185,21,189,20,180
60,Thakurgaon,544,8092,545,8099,538,7698
7,Rangpur Divison,1527,16980,1344,14666.25,1323.25,14455.76
61,Habiganj,28,105,30,113,25.95,110.76
62,Moulvibazar,46,210,48,218,42.49,213.30
63,Sunamganj,98,822,122,848,108,757
64,Sylhet,610,3100,600,3166,606.35,2570.74
8,Sylhet Division,782,4237,800,4345,782.79,3651.80
BANGLADESH,,27289,187685,30262,254814.25,40860.73,345955.44
