District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,489,1259,1462,106,114,144,636,653,640,742,767,784
2,Barishal,3590,3594,3601,1705,1712,2108,5928,5978,7650,7633,7690,9758
3,Bhola,430,141.15,155,0,0,0,756,1111,1176,756,1111,1176
4,Jhallokati,2893,2645,3006,3262,4461,3534,1639,1080,1952,4901,5541,5486
5,Patuakhali,2657,2661,640,0,0,0,2065,2065,1284,2065,2065,1284
6,Pirojpur,10362,2694,2694,27195,27173,27154,4067,3505,3535,31262,30678,30689
1,Barishal Division,20421,12994.15,11558,32268,33460,32940,15091,14392,16237,47359,47852,49177
7,Bandarban,144,2302,843,100,354,356,360,281,0,460,635,356
8,Brahmanbaria,629,637.75,653,1295,1297,1305,1990,2018,0,3285,3315,1305
9,Chandpur,546,191.74,176,0,0,0,8719,2865,2536,8719,2865,2536
10,Chattogram,54470,5462.58,5327,26645,301441,35664,4534,2769,6420,31179,33210,42084
11,Cumilla,1764,1757.59,1518,2911,1959,510,5812,4564,5395,8723,6523,5905
12,Cox’s Bazar,216,236.71,4941,511,430,425,982,1097,1316,1493,1527,1741
13,Feni,195,191.40,189,103,91,96,665,581,587,768,672,683
14,Khagrachari,596,601.88,607,365,380,380,1056,1070,1098,1421,1450,1478
15,Lakshmipur,190,159.50,66,0,0,0,1004,1004,1004,1004,1004,1004
16,Noakhali,158,241.14,361,0,00,0,1199,1235,1781,1199,1235,1781
17,Rangamati,807,883.41,1051,853,2009,3478,2846,2319,2977,3699,4328,6455
2,"Chattogram
Division",59715,12665.70,15732,32783,36961,42214,29167,19803,23114,61950,56764,65328
18,Dhaka,534,272,272,266,1950,2111,1893,2159,1890,2159,3640,4001
19,Faridpur,1598,237,241,785,321,247,375,1160,1114,1160,1435,1361
20,Gazipur,2727,6959,6943,4179,3626,3635,2533,6712,2261,6712,5562,5896
21,Gopalganj,274,276,277,75,0,0,1115,1160,1746,1190,1708,1746
22,Kishoreganj,145,177,157,165,212,99,2237,2402,1134,2402,1992,1233
23,Madaripur,648,160,110,433,99,203,215,648,314,648,650,517
24,Manikganj,264,200,193,344,298,314,1318,1662,1098,1662,1451,1412
25,Munshiganj,90,92,87,62,29,25,1316,1378,554,1378,662,579
26,Narayanganj,15,37.88,46,634,301,331,723,1357,575,1357,838,906
27,Narsingdi,339,281,280,2463,1300,1301,1912,4375,2978,4375,4237,4279
28,Rajbari,111,513,300,313,361,388,1128,1441,1367,1441,1372,1755
29,Shariatpur,145,1308,280,644,1600,99,43,687,1134,687,1727,1233
30,Tangail,394,403,6251,796,845,983,3159,3955,3148,3955,4095,4131
3,Dhaka Division,7284,10915.88,15437,11159,10942,9736,17967,29126,19313,29126,29369,29049
31,Bagerhat,114,114,176,82,82,291,1369,1451,1197,1451,1452,1488
32,Chuadanga,196,196,203,898,898,969,963,1861,976,1861,1861,1945
33,Jashore,1001,1001,1025,3730,3116,3298,3748,7478,4172,7478,7475,7470
34,Jhenaidah,410,418,388,1566,1752,1774,3108,4674,3154,4674,5263,4928
35,Khulna,65,433,357,173,26,152,2240,2413,2546,2413,2134,2698
36,Kushtia,287,421,427,2163,2409,2409,4397,4455,4845,6560,6864,7254
37,Magura,160,161,280,1385,1385,1348,1095,1095,1132,2480,2480,2480
