District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,442,454,503,0,0,0,500,350,503,500,350,503
2,Barishal,257,266,333,33,34,34,437,456,466,470,490,500
3,Bhola,262,258,310,18,16,16,419,410,408,437,426,424
4,Jhallokati,288,360,447,6,66,0,314,501,634,320,567,634
5,Patuakhali,225,314,201,0,0,0,345,415,534,345,415,534
6,Pirojpur,226,212,81,120,101,154,260,270,456,380,371,610
1,Barishal Division,1700,1864,1875,177,217,204,2275,2402,3001,2452,2619,3205
7,Bandarban,170,170,312,29,29,57,407,397,482,436,426,539
8,Brahmanbaria,381,378,350,0,0,0,1038,1050,1153,1038,1050,1153
9,Chandpur,514,302,200,0,0,0,1012,912,592,1012,912,592
10,Chattogram,1512,1546,2186,17,12,16,3763,3660,4004,3780,3672,4020
11,Cumilla,2064,1582,1526,91,214,209,3824,4211,4080,3915,4425,4289
12,Cox’s Bazar,369,569,300,11,560,208,1365,5250,2887,1376,5810,3095
13,Feni,270,267,220,0,0,0,273,270,348,273,270,348
14,Khagrachari,440,431,332,31,32,36,666,705,715,697,737,751
15,Lakshmipur,466,457,265,396,76,0,161,484,664,557,560,664
16,Noakhali,472,487,300,0,0,0,741,767,991,741,767,991
17,Rangamati,510,508,551,378,402,417,1272,1286,1314,1650,1688,1731
2,"Chattogram
Division",7168,6698,6542,953,1325,943,14522,18992,17230,15475,20317,18173
18,Dhaka,722,713,700,26,0,0,1591,1601,1566,1617,1601,1566
19,Faridpur,433,515,500,66,70,74,519,596,624,585,666,698
20,Gazipur,299,298,300,111,120,135,427,442,462,538,562,597
21,Gopalganj,624,520,503,113,0,0,529,454,722,642,454,722
22,Kishoreganj,477,474,470,0,0,0,1491,1504,1594,1491,1504,1594
23,Madaripur,759,419,400,0,0,16,3175,3184,1430,3175,3184,1446
24,Manikganj,330,326,371,54,54,62,615,632,733,669,686,795
25,Munshiganj,130,163,150,0,0,0,285,278,323,285,278,323
26,Narayanganj,178,174,200,12,12,14,362,366,397,374,378,411
27,Narsingdi,382,375,376,84,79,90,625,606,702,709,685,792
28,Rajbari,300,343,320,56,53,76,395,350,460,451,403,536
29,Shariatpur,1293,1262,1200,0,0,0,1134,1160,2006,1134,1160,2006
30,Tangail,1314,1300,1370,1049,1051,1161,1450,1500,1907,2499,2551,3068
3,Dhaka Division,7241,6883,6860,1571,1439,1628,12598,12673,12926,14169,14112,14554
31,Bagerhat,733,711,716,107,62,234,1105,1234,824,1212,1296,1058
32,Chuadanga,776,768,785,438,1829,1780,1626,299,281,2064,2128,2061
33,Jashore,1206,1167,1100,2098,1995,2367,906,1003,1111,3004,2998,3478
34,Jhenaidah,698,708,700,1231,1229,1453,616,642,694,1847,1871,2147
35,Khulna,586,578,550,158,158,220,855,855,862,1013,1013,1082
36,Kushtia,1478,1508,1400,720,715,1213,1142,1171,1938,1862,1886,3151
37,Magura,656,668,1300,433,7120,326,1402,869,2103,1835,1579,2429
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,330,429,400,403,411,765,806,712,215,1209,1123,980
39,Narail,487,483,600,650,640,643,611,617,605,1261,1257,1248
40,Satkhira,846,877,800,812,817,1302,1077,1523,2325,1889,2340,3627
4,Khulna Division,7796,7894,8351,7050,8566,10303,10146,8925,10958,17196,17491,21261
41,Jamalpur,936,899,950,485,0,11,2004,2503,2638,2489,2503,2649
42,Mymensingh,2126,2068,2032,1201,1073,1192,4439,4680,5202,5640,5753,6394
43,Netrokona,439,446,361,12,0,0,1306,2543,2239,1318,2543,2239
44,Sherpur,387,368,400,145,317,66,27352,32399,1224,27497,32716,1290
5,"Mymensingh
Division",3888,3781,3743,1843,1390,1269,35101,42125,11303,36944,43515,12572
45,Bogura,1013,899,950,600,514,750,1810,1604,2254,2410,2145,3004
46,Joypurhat,490,495,450,72,73,106,5198,1326,1550,5270,1399,1656
47,Naogaon,532,649,600,381,812,1026,925,1613,1877,1306,2425,2903
48,Natore,833,830,900,1316,1123,1360,1332,12680,1636,2648,2803,2996
49,Chapai Nawabganj,807,786,780,1564,1420,2193,1580,452,545,3144,1872,2738
50,Pabna,821,820,800,438,413,523,1241,1267,1567,1679,1680,2090
51,Rajshahi,2806,2332,2350,8535,7570,7958,1020,1067,1368,9555,8637,9326
52,Sirajganj,454,448,350,90,21,17,5180,1296,1371,5270,1317,1388
6,Rajshahi Division,7756,7259,7180,12996,11973,13933,18286,10305,12168,31282,22278,26101
53,Dinajpur,472,461,490,418,408,411,798,800,730,1216,1208,1141
54,Gaibandha,351,346,300,129,129,162,274,274,358,403,403,520
55,Kurigram,171,170,120,47,44,53,290,292,347,337,336,400
56,Lalmonirhat,200,198,200,42,42,40,185,188,190,227,230,230
57,Nilphamari,712,673,650,389,370,707,771,728,1335,1160,1098,2042
58,Panchagar,152,152,220,75,172,182,355,301,303,430,473,485
59,Rangpur,337,335,320,168,181,261,383,385,577,551,566,838
60,Thakurgaon,144,143,150,30,31,37,469,476,519,499,507,556
7,Rangpur Divison,2539,2479,2450,1298,1377,1853,3525,3444,4359,4823,4821,6212
61,Habiganj,194,191,181,23,0,0,641,659,552,664,659,552
62,Moulvibazar,397,389,390,19,86,86,2687,1828,1828,2706,1914,1914
63,Sunamganj,408,399,400,37,214,0,1173,910,1243,1210,1124,1243
64,Sylhet,676,669,680,112,56,128,2118,2061,2043,2230,2117,2171
8,Sylhet Division,1675,1647,1651,191,356,214,6619,5458,5666,6810,5814,5880
BANGLADESH,,39763,38506,38652,26079,26643,30347,103072,104324,77611,129151,130967,"10795
8"
