District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M.Tons )",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,173,151,174,497,413,500,140,222,144,637,635,644
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,2,2,2,0,0,0.42,1,1,0.39,1,1,0.81
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox’s Bazar,37,32,39,0,0,0,11,22,22,11,22,22
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,431,377,435,821,853,871,104,111,103,925,964,974
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,378,331,377,0,826,919,1182,177,200,1182,1003,1119
2,"Chattogram
Division",1020,893,1027,1318,2092,"2290.4
2",1438,533,469.39,2756,2625,"2759.8
1"
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,9,17,26,6,1,1,1,6,3,7,7,4
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,140,140,141,6,5,5,1,1,2,7,6,7
3,Dhaka Division,159,159,166,12,6,6,2,7,5,14,13,11
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,3,3,7,0,13,19,0,0,6,0,13,25
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,18,18,29,0,9,52,0,0,0,0,9,52
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,73,0,0,0,0,0,73,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,21,19,36,73,22,71,0,0,6,73,22,77
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,,,0,,,0,0,0
43,Netrokona,2,2,1,2,14,1,40,6,0,42,20,1
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mymensingh
Division",2,2,1,2,14,1,40,6,0,42,20,1
45,Bogura,0,0,0,0,0,0,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,1,0,0,0.50,0,0,0,0,0,0.50
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,3,0,0,3,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,1,1,13,0,1,9,0,0,0,0,1,9
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi Division,1,1,15,0,1,9.50,3,0,0,3,1,9.50
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,2,2,3,0,1,6,1,2,1,1,3,7
57,Nilphamari,5,5,8,0,0,1,6,6,9,6,6,10
58,Panchagar,98,98,107,0,54,38,46,12,26,46,66,64
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,16,16,16,0,3,3,4,1,1,4,4,4
7,Rangpur Divison,121,121,134,0,58,48,57,21,37,57,79,85
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,446,446,411,190,190,138,147,147,119,337,337,257
63,Sunamganj,0,0,1,0,0,0,0,0,2,0,0,2
64,Sylhet,144,144,128,99,77,25,12,38,512,111,115,537
8,Sylhet Division,590,590,541,289,267,163,159,185,633,448,452,796
BANGLADESH,,1967,1915,1920,1920,2460,"2588.9
2",706,752,1150.39,3393,3212,"3739.3
1"
