District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,322,317,1337,32,27,75,184,189,385,203,216,460
2,Barishal,893,981,1005,0,0,0,1907,1219,1420,1141,1219,1420
3,Bhola,269,336,471.32,0,2,0,252,265,182.70,208,267,182.7
4,Jhallokati,1490,1530,1625.42,3,4,74.52,249,246,560.48,264,250,635
5,Patuakhali,353,389,550,0,0,0,223,511,310,494,262,310
6,Pirojpur,458,469,365.6,24,27,25.71,495,2692,471.59,489,538,497.3
1,Barishal Division,3785,4022,5354.34,59,60,175.23,928,116,3329.77,2799,2452,3505
7,Bandarban,3383,3240,3726,303,347,305.46,154,116,181.54,483,463,487
8,Brahmanbaria,79,108,205.85,0,0,0,628,674,1422.39,560,674,"1422.3
9"
9,Chandpur,119,82,44.7,43,37,39.21,223,229,429.57,912,266,468.78
10,Chattogram,69182,65350,66350,5105,3626,5094,158550,3323,1858,5000,6952,6952
11,Cumilla,1024,1278,1642.82,2,406,578.74,2,1907,1611.42,2389,2313,"2190.1
6"
12,Cox’s Bazar,70218,70193,67500,206,233,237.85,644,650,702.29,860,883,940.14
13,Feni,193,72,72.51,541,2,3.25,6687,146,140.12,143,148,143.37
14,Khagrachari,264,250,689.99,206,215,337.92,260,242,537.77,709,457,875.69
15,Lakshmipur,488,490,560.35,0,0,0,332,332,364,250,332,364
16,Noakhali,73,99,103.34,0,0,0,374,353,375.09,406,353,375.09
17,Rangamati,661,660,1220.25,2342,117,2485.44,1128,1673,1638.58,1781,1790,"4124.0
2"
2,"Chattogram
Division",145684,141822,"142115.
8",8748,4986,9081.87,168982,9645,9260.77,13493,14631,"18342.
64"
18,Dhaka,552,413,552.5,6763,4510,571.18,57,619,8620.93,3820,5129,"9192.1
1"
19,Faridpur,146,151,110.45,277,248,38.81,26,22,225.59,316,270,264.40
20,Gazipur,511,350,213.42,175,224,191.44,336,87,366.06,729,311,557.50
21,Gopalganj,611,735,1250.25,0,0,0,374,193,463.70,243,193,463.70
22,Kishoreganj,57,72,119.68,0,19,8.55,504,689,845.60,472,708,854.15
23,Madaripur,111,120,28.11,78,0,5.70,30,463,333.44,187,463,339.14
24,Manikganj,255,290,310.09,2900,458,908.12,392,389,506.50,447,847,"1414.6
2"
25,Munshiganj,42,39,49.75,0,0,0,96,103,121.89,107,103,121.89
26,Narayanganj,35,34,309,131,22,0,23,131,29,144,153,29
27,Narsingdi,80,120,346.45,353,194,2124.68,438,2386,426.59,514,2580,"2551.2
7"
28,Rajbari,19,97,183.59,267,196,394.66,77,56,927.36,288,252,"1322.0
2"
29,Shariatpur,25,35,191.5,0,0,43.22,21,9,435.68,259,9,478.90
30,Tangail,344,390,452.19,0,271,443.74,0,543,1211.80,719,814,"1655.5
4"
3,Dhaka Division,2788,2846,4116.98,10944,6142,4730.10,2374,5690,"14514.1
4",8245,11832,"19244.
24"
31,Bagerhat,10,41,89,0,320,33.82,531,18,358.18,290,338,392
32,Chuadanga,47,46,89,64,64,65.7,34,33,99.3,181,97,165
33,Jashore,663,750,865,611,544,398.78,427,478,592.22,865,1022,991
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
34,Jhenaidah,111,150,142,331,0,26.52,121,700,643.48,437,700,670
35,Khulna,100,120,291,666,387,29.63,30,37,383.37,685,424,413
