District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,4,12,12,0,0,0,8,9,10,8,9,10
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,20,25,26,0,0,0,89,98,92,89,98,92
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,12,12,12,0,0,0,5,4,6,5,4,6
2,"Chattogram
Division",36,49,50,0,0,0,102,111,108,102,111,108
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,11,21,37,0,0,0,114,122,145.57,114,122,145.57
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,10,10,11.92,0,0,0,18,18,26.26,18,18,26.26
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,2,2,1.83,0,0,0,5,5,5.16,5,5,5.16
26,Narayanganj,3,2,2.82,0,7,7.18,23,23,23.29,23,30,30.47
27,Narsingdi,133,134,154.91,913,954,1293.97,184,156,281.14,1097,1110,1575.11
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,3,3,2.79,0,0,0,8,9,9.37,8,9,9.37
3,Dhaka Division,162,172,211.27,913,961,1301.15,352,333,490.79,1265,1294,1791.94
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,0,0,0,0,0,0,0,0,0,0,0,0
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,184
42,Mymensingh,70,72,66,201,87,75.95,44,123,0,245,210,19
43,Netrokona,0,2,14,0,0,0,0,12,108.05,0,12,0
44,Sherpur,0,0,0,0,0,0,0,0,19,0,0,203
5,"Mymensingh
Division",70,74,80,201,87,75.95,44,135,0,245,222,5.64
45,Bogura,3,2,1.63,0,0,0,49,15,127.05,49,15,0
46,Joypurhat,0,0,0,0,0,0,0,0,5.64,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,5.64
6,Rajshahi Division,3,2,1.63,0,0,0,49,15,0,49,15,0
53,Dinajpur,0,0,0,0,0,0,0,0,5.64,0,0,3.72
54,Gaibandha,1,2,1.32,0,0,0,5,4,0,5,4,90.38
55,Kurigram,14,17,14.57,0,0,4,69,88,3.72,69,88,65.45
56,Lalmonirhat,9,11,10.30,0,6,5.62,59,64,86.38,59,70,34.68
57,Nilphamari,6,4,4.42,0,0,0,30,28,59.83,30,28,60.28
58,Panchagar,0,9,16.50,0,15,14.97,0,35,34.68,0,50,8.73
59,Rangpur,2,2,1.90,0,0,0,7,8,45.31,7,8,0
60,Thakurgaon,0,0,0,0,0,0,0,0,8.73,0,0,263.24
7,Rangpur Divison,32,45,49.01,0,21,24.59,170,227,0,170,248,0
61,Habiganj,0,0,0,0,0,0,0,0,238.65,0,0,36.99
62,Moulvibazar,45,12,15.57,0,0,0,46,45,0,46,45,0.79
63,Sunamganj,0,0,0.32,0,0,0,0,0,36.99,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0.79,0,0,37.78
8,Sylhet Division,45,12,15.89,0,0,0,46,45,0,46,45,0
BANGLADESH,,348,354,407.45,1114,1069,1401.69,763,866,1007.91,1877,1935,2409.60
