District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,7190,6667,8120,0,0,319,85671,712,8750,20000,9700,9069
2,Barishal,6623,6426,6623,0,0,149,11377,3037,13360,13509,15600,13509
3,Bhola,4965,5165,1346,1766,1543,314,21402,2387,13829,13914,13738,14143
4,Jhallokati,3301,3307,2444,0,0,0,5981,3487,8000,8600,8653,8000
5,Patuakhali,4665,4753,1779,0,0,0,11953,2841,14049,11364,13208,14049
6,Pirojpur,3383,3401,3250,2526,3405,2270,20922,25634,13268,27340,27734,15538
1,Barishal Division,30127,29719,23562,4292,4948,3052,157306,38081,71256,94427,88633,74308
7,Bandarban,31,131,134,462,464,290,622,528,529,409,808,819
8,Brahmanbaria,387,418,400,0,0,0,6102,3934,6689,3858,3934,6689
9,Chandpur,7341,753,394,0,0,0,9822,6689,3934,88,6689,3934
10,Chattogram,1100,5820,5826,837,1021,1062,6022,7623,7624,9491,8685,8686
11,Cumilla,981,1227,1228,3108,2475,443,7427,5461,5454,5512,5896,5897
12,Cox’s Bazar,1551,1597,426,7773,5153,2578,7359,3461,3998,18773,6576,6576
13,Feni,593,915,915,102,102,0,2196,1986,1986,1979,1986,1986
14,Khagrachari,725,671,656,33,33,51,827,1517,1500,1525,1570,1551
15,Lakshmipur,1682,2213,107,0,0,0,13036,10586,10592,10575,10586,10592
16,Noakhali,1682,1965,1694,0,0,0,16021,22302,25155,8854,22302,25155
17,Rangamati,1651,1853,1858,19,2144,1911,2105,1440,1251,3428,3627,3162
2,"Chattogram
Division",17724,17563,13638,12334,11392,6335,71539,65527,68712,64892,72659,75047
18,Dhaka,120,147,145,109,0,0,2670,3178,3251,2168,3178,3251
19,Faridpur,547,594,544,216,221,297,4420,4972,4952,5326,5262,5249
20,Gazipur,523,518,393,193,99,388,2827,1103,1142,15,1479,1530
21,Gopalganj,412,332,333,36,123,20,7285,1725,3459,2235,1741,3479
22,Kishoreganj,293,364,313,320,272,361,4740,1779,7186,7145,7591,7547
23,Madaripur,0,740,940,0,0,0,6334,12913,11783,18395,12913,11783
24,Manikganj,1398,1088,1533,70,78,390,5568,13136,13522,1398,13346,13912
25,Munshiganj,51,67,67,0,0,0,1274,971,954,934,971,954
26,Narayanganj,34,43,43,0,0,0,1555,2093,2090,1053,2093,2090
27,Narsingdi,73,80,84,0,0,0,1873,1501,1506,2098,1501,1506
28,Rajbari,1784,1183,350,5650,5187,637,4587,3324,9019,3728,9715,9656
29,Shariatpur,0,367,313,0,0,0,6425,4739,11945,8624,8572,11945
