District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,39,60,65.66,0,0,0,17,12,20.75,17,12,20.75
2,Barishal,315,352,237.11,0,0,0,185,235,277,185,235,277
3,Bhola,104,115,21.07,0,0,0,48,53,61.93,48,53,61.93
4,Jhallokati,50,75,55,0,0,0,15,26,29,15,26,29
5,Patuakhali,49,29,11,0,0,0,16,5,6,16,5,6
6,Pirojpur,124,124,20.98,0,0,0,64,65,66.14,64,65,66.14
1,Barishal Division,681,756,410.82,0,0,0,351,396,460.82,351,396,460.82
7,Bandarban,154,156,180,6,6,6,84,87,91,90,93,97
8,Brahmanbaria,9,10,3,0,0,0,5,5,6,5,5,6
9,Chandpur,7,7,1.31,0,4,0,11,2,26.52,11,6,26.52
10,Chattogram,122,120,37,0,45,0,94,27,226,94,72,226
11,Cumilla,42,42,23,0,0,0,31,31,34,31,31,34
12,Cox’s Bazar,84,143,107,0,4,0,188,284,313,188,288,313
13,Feni,4,28,129,0,0,0,1,6,6,1,6,6
14,Khagrachari,253,255,191.76,0,0,0,165,176,186,165,176,186
15,Lakshmipur,48,54,15,3,5,0,21,333,38.14,24,338,38.14
16,Noakhali,433,372,6.13,0,0,0,353,128,26.40,353,128,26.4
17,Rangamati,383,470,189,156,140,100,258,273,322,414,413,422
2,"Chattogram
Division",1539,1657,882,165,204,106.00,1211,1352,1275.06,1376,1556,"1381.0
6"
18,Dhaka,27,24,4.72,0,0,0,34,28,30.03,34,28,30.03
19,Faridpur,35,46,15,0,0,0,0,15,53.15,24,15,53.15
20,Gazipur,118,106,62,3,0,0,210,91,98.99,213,91,98.99
21,Gopalganj,69,67,9.88,0,0,0,6,6,10.95,6,6,10.95
22,Kishoreganj,13,13,8.03,0,0,0,18,18,25.39,18,18,25.39
23,Madaripur,27,33,7.89,0,0,0,19,44,55.48,19,44,55.48
24,Manikganj,3,3,0.92,0,0,0,1,1,0.73,1,1,0.73
25,Munshiganj,6,6,1.26,0,0,0,1,4,4.36,1,4,4.36
26,Narayanganj,29,29,3.17,7,7,7.24,33,24,24.56,40,31,31.8
