District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,170,180,200,0,0,0,245,280,374,245,280,374
2,Barishal,463,467,472,0,0,0,970,990,910,970,990,910
3,Bhola,275,200,210,0,0,0,725,608,621,725,608,621
4,Jhallokati,131,102,112,0,0,0,238,195,252,238,195,252
5,Patuakhali,509,500,516,0,0,0,998,981,920,998,981,920
6,Pirojpur,213,255,200,0,0,0,555,502,507,555,502,507
1,Barishal Division,1761,1704,1710,0,0,0,3731,3556,3584,3731,3556,3584
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,8,39,44,0,0,0,37,79,84,37,79,84
9,Chandpur,0,488,490,0,0,0,459,163,390,459,166,390
10,Chattogram,1734,266,250,0,0,0,176,52,278,176,57,278
11,Cumilla,97,250,252,0,0,0,354,355,300,354,355,300
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0.47,3.00,0,0,0,2,2,28,2,2,28
14,Khagrachari,108,111,108,0,0,0,206,217,213,206,217,213
15,Lakshmipur,0,160,120,0,0,0,269,276,272,269,276,272
16,Noakhali,27,45,44,0,0,0,190,977,974,190,977,974
17,Rangamati,227,283,304,38,35,34,488,418,452,526,453,486
2,"Chattogram
Division",2201,1642.47,1615,38,43,34,2181,2539,2991,2219,2582,3025
18,Dhaka,1,13,25,0,0,0,38,49,322,38,49,322
19,Faridpur,65,66,69,0,0,0,77,78,83,77,78,83
20,Gazipur,45,43,50,0,0,0,105,111,122,105,111,122
21,Gopalganj,204,208,200,0,0,0,478,401,451,478,401,451
22,Kishoreganj,1,1,1,0,0,0,9,9,10,9,9,10
23,Madaripur,55,42,27,0,0,0,855,471,415,855,471,415
24,Manikganj,19,21,23,0,0,0,90,76,73,90,76,73
25,Munshiganj,15,307,300,0,0,0,180,184,186,180,184,186
26,Narayanganj,3,3,3,9,7,7,31,30,23,40,37,30
27,Narsingdi,3,3,3,0,0,0,34,34,33,34,34,33
28,Rajbari,0,4,9,0,00,0,0,42,45,0,42,45
29,Shariatpur,198,380,350,0,0,0,344,376,368,344,376,368
30,Tangail,7,6,7,0,0,0,51,49,53,51,49,53
3,Dhaka Division,616,1097,1067,9,7,7,2292,1910,2184,2301,1917,2191
31,Bagerhat,17,20,37,0,0,0,419,402,396,419,402,396
32,Chuadanga,2,2,2,0,0,0,3,11,12,3,11,12
33,Jashore,2,2,3,0,0,0,40,42,42,40,42,42
34,Jhenaidah,0,0.42,0.33,0,0,0,1,1,0.01,1,1,0.01
35,Khulna,29,23,19,0,18,0,91,47,114,91,65,114
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,22,13,0,0,0,0,215,155,0,215,155
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,66,65,60,0,0,0,146,129,103,146,129,103
4,Khulna Division,116,134.42,134.33,0,18,0,700,847,822.01,700,865,822.01
41,Jamalpur,0,52,41,0,0,0,0,183,188,0,183,188
42,Mymensingh,256,147,150,0,0,0,82,103,102,82,103,102
43,Netrokona,0,44,55,0,0,0,60,128,158,60,128,158
44,Sherpur,2,3,3,0,0,0,4,22,17,4,22,17
5,"Mymensingh
Division",258,246,249,0,0,0,146,436,465,146,436,465
45,Bogura,3,0.16,0.18,0,0,0,35,1,0.53,35,1,0.53
46,Joypurhat,0,2,2,0,0,0,0,17,21,0,17,21
47,Naogaon,2,0.50,2,0,0,0,23,1,1.43,23,1,1.43
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0.10,0.10,0,0,0,1,0,0.52,1,1,0.52
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0.40,0.48,0,0,0,0,3,3,0,3,3
6,Rajshahi Division,5,3.16,4.76,0,0,0,59,23,26.48,59,23,26.48
53,Dinajpur,0,0.18,0.18,0,0,0,2,2,2.48,2,2,2.48
54,Gaibandha,2,1,1,0,0,0,10,4,3.65,10,4,3.65
55,Kurigram,0,0.47,0.50,0,0,0,0,2,1.85,0,2,1.85
56,Lalmonirhat,3,8,8,0,0,0,9,10,11,9,10,11
57,Nilphamari,1,2,1,0,0,0,17,17,20,17,17,20
58,Panchagar,0,2,2,0,0,0,0,3,4,0,3,4
59,Rangpur,2,2,2,0,0,0,14,22,22,14,22,22
60,Thakurgaon,2,2,2,0,0,0,28,28,32,28,28,32
7,Rangpur Divison,10,17.65,16.68,0,0,0,80,88,96.98,80,88,96.98
61,Habiganj,4,0,0,0,0,0,83,0,0,83,0,0
62,Moulvibazar,10,10,9,0,0,0,74,74,82,74,74,82
63,Sunamganj,20,341,300,0,0,0,233,259,228,233,259,228
64,Sylhet,1,1,1,0,0,0,9,9,11,9,9,11
8,Sylhet Division,35,352,310,0,0,0,399,342,321,399,342,321
BANGLADESH,,5002,5196.7,5106.77,47,68,41,9588,9741,"10490.4
7",9635,9809,"10531.
47"
