District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,25,26,24.97,0,0,0,58,60,62,58,60,62
3,Bhola,4,4,3.17,0,0,0,5,1,1,5,1,1
4,Jhallokati,19,17,13,0,0,0,13,10,10,13,10,10
5,Patuakhali,10,9,11.69,0,0,0,8,6,7.8,8,6,7.8
6,Pirojpur,3,2,1.75,0,0,0,4,2,2.3,4,2,2.3
1,Barishal Division,61,57,54.58,0,0,0,88,79,83.1,88,79,83.1
7,Bandarban,3,3,21,0,0,0,1,1,1,1,1,1
8,Brahmanbaria,24,24,33.11,0,0,0,29,29,29.31,29,29,29.31
9,Chandpur,11,11,6.24,0,0,0,9,9,10.33,9,9,10.33
10,Chattogram,13,13,3.71,0,0,0,9,11,6.60,9,11,6.6
11,Cumilla,47,43,44.17,16,13,13.18,9,20,20.42,25,33,33.6
12,Cox’s Bazar,0,2,6.59,0,0,0,0,6,8.14,0,6,8.14
13,Feni,11,1,1,0,0,0,2,2,1.61,2,2,1.61
14,Khagrachari,4,4,4.95,0,0,0,2,3,2.07,2,3,2.07
15,Lakshmipur,0,7,8.30,0,0,0,0,6,9,0,6,9
16,Noakhali,8,8,2.47,0,0,0,6,1,1.82,6,1,1.82
17,Rangamati,2,2,2.50,0,0,0,225,1,1.10,1,1,1.1
2,"Chattogram
Division",123,117,134.04,16,13,13.18,292,89,91.4,84,102,104.58
18,Dhaka,7,7,5.83,0,0,0,20,20,19.21,20,20,19.21
19,Faridpur,33,31,18,0,0,0,51,53,54,51,53,54
20,Gazipur,9,21,24,0,0,0,16,16+,17,16,16,17
21,Gopalganj,25,19,4.98,0,0,0,65,35,29.09,65,35,29.09
22,Kishoreganj,19,17,11.41,0,0,0,19,14,15.05,19,14,15.05
23,Madaripur,23,13,7.85,0,0,0,161,90,49.11,161,90,49.11
24,Manikganj,3,3,2.29,0,0,0,117,4,4.54,117,4,4.54
25,Munshiganj,2,2,1.41,0,0,0,193,4,4.63,193,4,4.63
26,Narayanganj,8,8,4.82,0,0,0,30,30,29.08,30,30,29.08
27,Narsingdi,26,25,12.57,0,0,0,39,36,29.94,39,36,29.94
28,Rajbari,8,5,2.58,4,0,0,15,7,10,19,11,10
29,Shariatpur,21,21,3.63,0,0,0,11,44,25.80,11,44,25.8
30,Tangail,109,69,24.06,0,0,0,127,73,82.05,127,73,82.05
3,Dhaka Division,293,241,123.43,4,4,0,864,426,369.50,868,430,369.50
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,5,6,5.52,0,0,0,5,5,5,5,5,5
33,Jashore,32,31,13.67,0,0,0,120,109,110,120,109,110
34,Jhenaidah,26,25,12.39,0,0,0,46,46,46,46,46,46
35,Khulna,17,18,7.27,4,0,4.85,7,22,28.15,7,26,33
36,Kushtia,35,34,12.00,0,0,0,26,31,31,26,31,31
37,Magura,0,32,46.14,0,44,0,0,83,65,0,127,65
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,13,13,14.18,0,0,0,8,8,9,8,8,9
39,Narail,9,9,21.73,4,0,0,5,10,8,9,10,8
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,137,168,132.90,4,48,4.85,217,314,302.15,221,362,307
41,Jamalpur,0,6,6.60,0,0,0,11,8,9,11,8,9
42,Mymensingh,13,19,18,0,0,0,8,11,11,8,11,11
43,Netrokona,19,15,15,0,0,0,24,42,26,24,42,26
44,Sherpur,14,4,3,0,0,0,3,4,4,3,4,4
5,"Mymensingh
Division",4,44,42.60,0,0,0,46,65,50,46,65,50
45,Bogura,6,6,2.65,0,0,0,7,9,8.91,7,9,8.91
46,Joypurhat,26,14,5.70,0,0,6.40,19,4,8.37,19,9,14.77
47,Naogaon,11,11,5.21,0,0,0,810,17,21.95,17,17,21.95
48,Natore,0,12,8.31,0,0,0,0,81,51.56,0,81,51.56
49,Chapai Nawabganj,34,34,23.14,0,0,0,43,45,49.55,43,45,49.55
50,Pabna,11,10,4,0,0,0,10,8,8.56,10,8,8.56
51,Rajshahi,96,91,16.92,0,0,0,70,81,90.84,70,81,90.84
52,Sirajganj,14,15,5.34,0,0,0,8,10,14.94,8,10,14.94
6,Rajshahi Division,198,193,71.27,0,5,6.4,967,255,254.68,174,260,261.08
53,Dinajpur,38,37,26,0,0,0,58,60,65,58,60,65
54,Gaibandha,23,22,12.72,0,0,0,17,17,19.52,17,17,19.52
55,Kurigram,17,16,6.87,0,0,0,34,34,31.44,34,34,31.44
56,Lalmonirhat,37,35,8.64,0,0,0,20,17,18.94,20,17,18.94
57,Nilphamari,19,18,6.52,0,0,0,21,19,18.77,21,19,18.77
58,Panchagar,10,10,21.17,0,0,0,12,12,16.29,12,12,16.29
59,Rangpur,15,15,7.43,0,0,0,23,22,22.75,23,22,22.75
60,Thakurgaon,30,24,12.96,0,0,0,38,28,36.85,38,28,36.85
7,Rangpur Divison,189,177,102.31,0,0,0,223,209,229.56,223,209,229.56
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,5,5.32,0,0,0,0,5,4.50,0,5,4.5
63,Sunamganj,0,0,4,0,0,0,0,0,2,0,0,2
64,Sylhet,0,0,0.19,0,0,0,0,0,0.07,0,0,0.07
8,Sylhet Division,0,5,9.51,0,0,0,0,5,6.57,0,5,6.57
BANGLADESH,,1005,1002,670.64,24,70,24.43,1680,1442,1386.96,1704,1512,"1411.3
9"
