District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,190,0,0,45,0,0,35,0,0,80
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,59,60,55,92,98,80,106,116,105,198,214,185
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,60,78,87,151,160,170,37,31,38,188,191,208
1,Barishal Division,119,138,332,243,258,295,143,147,178,386,405,473
7,Bandarban,543,560,1022,329,330,330,693,980,1,1022,1310,331
8,Brahmanbaria,0,49,127,0,68,258,0,0,0,0,68,258
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,52,51,5561,0,5,176,0,52,90,0,57,266
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,29,29,90,461,461,203,239,120,205,700,581,408
2,"Chattogram
Division",624,689,6800,790,864,967,932,1152,296,1722,2016,1263
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,0,6,72,0,0,89,0,58,12,0,58,101
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,0,0,4,0,0,14,0,0,10,0,0,24
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,55,0,0,0,0,0,52,0,0,52
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,20,7,0,0,0,0,84,82,0,84,82
30,Tangail,0,0,225,0,0,375,0,0,81,0,0,456
3,Dhaka Division,0,26,363,0,0,478,0,142,237,0,142,715
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,14,15,17,53,56,83,3,2,3,56,58,86
33,Jashore,73,81,81,0,210,302,200,20,0,200,230,302
34,Jhenaidah,84,60,60,97,110,43,35,30,31,132,140,74
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,0,4772,0,0,205,0,0,1338,0,0,1543
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,0,11,24,0,26,42,0,1,3,0,27,45
39,Narail,0,0,4,0,0,5,0,0,0,0,0,5
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna Division,171,167,4958,150,402,680,238,53,1375,388,455,2055
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,22,24,25,0,72,136,0,1,0,0,73,136
5,"Mymensingh
Division",22,24,25,0,72,136,0,1,0,0,73,136
45,Bogura,32,0,1,0,0,1,0,0,0,0,0,1
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,34,0,0,222,0,0,1,0,0,223
48,Natore,0,0,30,0,0,98,0,0,9,0,0,107
49,Chapai Nawabganj,7,18,46,3,5,26,0,0,3,3,5,29
50,Pabna,0,0,5,0,0,9.71,0,0,0,0,0,9.71
51,Rajshahi,0,120,322,93,139,494,74,81,183,167,220,677
52,Sirajganj,0,0,2,0,0,0,0,0,12,0,0,12
6,Rajshahi Division,39,138,440,96,144,850.71,74,81,208,170,225,"1058.7
1"
53,Dinajpur,3,105,107,3,3,280,0,64,3,3,67,283
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,1,2,0,1,0.21,0,1,1.79,0,2,2
56,Lalmonirhat,0,0,96,0,0,57,0,0,1,0,0,58
57,Nilphamari,1,6,24,2,2,34,0,0,2,2,2,36
58,Panchagar,7,15,30,0,1,11,11,26,70,11,27,81
59,Rangpur,0,0,38,0,0,125,0,0,0,0,0,125
60,Thakurgaon,10,15,40,44,42,178,0,7,17,44,49,195
7,Rangpur Divison,21,142,337,49,49,685.21,11,98,94.79,60,147,780
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,1,0,0,21,0,0,0,0,0,21
8,Sylhet Division,0,0,1,0,0,21,0,0,0,0,0,21
BANGLADESH,,996,1324,13256,1328,0,4112.92,1398,1674,2388.79,2726,3463,"6501.7
1"
