District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,13,20,11,17,14,20
2,Barishal,145,254,145,255,150,259
3,Bhola,56,49,63,75,66,77
4,Jhallokati,48,50,50,55,59,41
5,Patuakhali,54,63,60,85,62,87
6,Pirojpur,26,53,26,25,25,52
1,Barishal Division,342,489,355,539,376,536
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,17,10,67,140,67.33,140.19
9,Chandpur,0,0,0,0,0,0
10,Chattogram,2,3,167,640,40.33,116.02
11,Cumilla,102,217,104,226,102.25,223.8
12,Cox’s Bazar,47,49,49,52,65.74,95.66
13,Feni,98,36,94,32,96.50,34
14,Khagrachari,122,145,124,150,134.80,163.85
15,Lakshmipur,479,803,117,175,113,301
16,Noakhali,68,72,85,76,92.44,92.15
17,Rangamati,95,115,97,119,92.25,117.45
2,Chattogram Division,1030,1450,904,1610,804.64,1284.12
18,Dhaka,100,220,175,451,143.65,358.66
19,Faridpur,131,383,140,396,127,403
20,Gazipur,47,49,41,42,38.77,44.69
21,Gopalganj,65,80,70,86,72,88.78
22,Kishoreganj,49,88,52,90,50.31,111.31
23,Madaripur,31,38,30,38,36.75,38.34
24,Manikganj,4,3,3,2,0,0
25,Munshiganj,14,10,15,10,14.55,21.19
26,Narayanganj,571,724,551,697,558.28,96.20
27,Narsingdi,43,109,54,125,65.16,108.13
28,Rajbari,41,44,66,74,108,139
29,Shariatpur,32,21,41,26,35,26
30,Tangail,145,189,148,195,147.05,188.82
3,Dhaka Division,1273,1958,1386,2232,1396.52,1624.12
31,Bagerhat,0,0,137,61,112,103.25
32,Chuadanga,0,0,69,179,67.05,168.38
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,444,782,78,112,83.75,108.63
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
35,Khulna,187,232,195,245,83.70,102.49
36,Kushtia,0,0,0,0,0,0
37,Magura,80,133,13,11,13.08,11.05
38,Meherpur,65,183,0,0,0,0
39,Narail,51,60,56,65,53,62.22
40,Satkhira,0,0,66,72,32,34
4,Khulna Division,827,1390,548,745,412.58,590.02
41,Jamalpur,18,21,17,20,18,24
42,Mymensingh,124,228,122,226,126,232
43,Netrokona,42,23,67,110,67,120
44,Sherpur,18,22,19,24,21,39
5,Mymensingh Division,202,294,225,380,232,415
45,Bogura,24,44,28,48,31,51
46,Joypurhat,10,10,19,24,19,24
47,Naogaon,27,48,33,60,27,118
48,Natore,75,55,61,62,66,52
49,Chapai Nawabganj,0,0,3,2,3,2
50,Pabna,57,99,58,99,60,103
51,Rajshahi,0,0,0,0,32,72
52,Sirajganj,5,12,32,36,27,53
6,Rajshahi Division,198,268,234,331,265,475
53,Dinajpur,53,51,57,54,59,52
54,Gaibandha,20,22,19,21,18,25
55,Kurigram,31,26,18,17,68,127
56,Lalmonirhat,6,7,3,4,5,6
57,Nilphamari,69,143,157,305,125,183
58,Panchagar,29,21,33,31,62,73
59,Rangpur,64,67,65,64,78,67
60,Thakurgaon,43,42,46,45,43,43
7,Rangpur Divison,315,379,398,541,458,576
61,Habiganj,35,40,63,41,35.24,40.28
62,Moulvibazar,0,0,30,19,25,21
63,Sunamganj,73,83,21,22,24,29
64,Sylhet,46,35,47,37,32,30.33
8,Sylhet Division,154,158,134,119,116.24,120.61
BANGLADESH,,4187,6228,4184,6378,4060.98,5500.26
