District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,993,998,3169,446,569,587,3455,1719,1978,3901,2288,2565
2,Barishal,1195,1229,1373,120,138,163,3120,3352,4657,3240,3490,4820
3,Bhola,377,457,207.69,604,36,37.24,649,1433,"1246.4
6",1253,1469,1284
4,Jhallokati,370,367,436.37,40,43,55,888,907,1195,928,950,1250
5,Patuakhali,1544,1532,753.20,0,0,0,2227,3800,3680,2227,3800,3680
6,Pirojpur,541,567,438.25,315,332,337,1162,1179,1180,1477,1511,1517
1,Barishal Division,5020,5150,"6377.5
1",1525,1118,"1179.2
4",11501,12390,"13936.
46",13026,13508,"15115.
7"
7,Bandarban,153,53,276.68,1115,1260,1110,529,900,523,1644,2160,1633
8,Brahmanbaria,12,38,176.82,182,119,109,1175,450,1137,1357,569,1246
9,Chandpur,0,172,102.17,180,64,190,2633,1583,2418,2813,1647,2608
10,Chattogram,2090,11514,321.37,494,186,370,3368,3134,3508,3862,3320,3878
11,Cumilla,1,414,457.40,220,501,28,1891,1397,2366,2111,1898,2394
12,Cox’s Bazar,34,374,300.47,550,1248,1237,1259,1266,1108,1809,2514,2345
13,Feni,95,98,495.36,100,115,105,442,473,446,542,588,551
14,Khagrachari,264,297,300.82,643,814,1121,1466,1512,1312,2109,2326,2433
15,Lakshmipur,0,0,95.52,0,0,60,3114,3048,3894,3114,3048,3954
16,Noakhali,221,220,190.92,0,0,0,1314,1314,1486,1314,1314,1486
17,Rangamati,403,479,498.21,4650,4836,4568,3117,2950,3114,7767,7786,7682
2,"Chattogram
Division",3273,13659,"3215.7
4",8134,9143,8898,20308,18027,21312,28442,27170,30210
18,Dhaka,111,113,118,894,966,907,1430,1584,1592,2324,2550,2499
19,Faridpur,475,475,473,156,487,409,3345,2914,12280,3501,3401,12689
20,Gazipur,3908,148,2715,2717,2588,2564,1270,925,976,3987,3513,3540
21,Gopalganj,431,518,464,1072,0,0,5289,2227,2129,6361,2227,2129
22,Kishoreganj,190,85,108,2964,1991,2047,2962,1725,2048,5926,3716,4095
23,Madaripur,61,516,252,163,206,421,2550,1840,1791,2713,2046,2212
24,Manikganj,322,348,181,1182,1138,0,2007,2123,2599,3189,3261,2599
25,Munshiganj,99,93,97,28,34,0,742,708,600,770,742,600
26,Narayanganj,60,61,48,93,260,165,1359,1192,861,1452,1452,1026
27,Narsingdi,257,257,293,3968,3968,4974,1095,1095,587,5063,5063,5561
28,Rajbari,280,344,513,600,625,2314,576,551,3813,1176,1176,6127
29,Shariatpur,0,1057,98,0,71,299,969,12,821,969,83,1120
30,Tangail,54,378,394,4000,1198,1547,1710,3106,"3437.7
4",5710,4304,"4984.7
4"
3,Dhaka Division,6248,4393,5754,17837,13532,15647,25304,20002,"33534.
74",43141,33534,"49181.
74"
31,Bagerhat,54,54,83,0,0,82,1043,1044,1352,1043,1044,1434
32,Chuadanga,141,141,142,2630,2630,2548,1029,1042,1060,3659,3672,3608
33,Jashore,874,874,841,0,14480,13326,18546,4066,3693,18546,18546,17019
34,Jhenaidah,441,282,489,2079,7599,2129,4532,16063,4220,6611,23662,6349
35,Khulna,62,187,171,431,435,351,3018,2866,2223,3449,3301,2574
36,Kushtia,204,187,300,2233,2235,1655,6448,6524,3411,8681,8759,5066
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
37,Magura,528,505,752,0,3497,4464,79260,293,2176,79260,3790,6640
38,Meherpur,66,66,85,1193,1195,1379,423,421,426,1616,1616,1805
39,Narail,363,363,365,1610,1609,1606,2218,2219,2177,3828,3828,3783
40,Satkhira,310,405,341,880,1196,1744,1330,1754,1310,2210,2950,3054
4,Khulna Division,3043,3064,3569,11056,34876,29284,117847,36292,22048,128903,71168,51332
41,Jamalpur,44,605,304,2905,1540,798,2040,3194,4506,4945,4734,5304
42,Mymensingh,97,2745,1234,1887,819,7522,15565,19899,15271,17452,20718,22793
43,Netrokona,2,6,191,61,0,106,2366,1672,3411,2427,1672,3517
44,Sherpur,5,154,217,1120,96,677,650,1391,2182,1770,1487,2859
