District/ Division,,2018-19,,2019-20,,2020-21,
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
1,Barguna,137,500,141,324,147,469
2,Barishal,724,3336,780,3500,790,3680
3,Bhola,771,1908,745,1823,659,1787
4,Jhallokati,803,5198,804,5049,901,6300
5,Patuakhali,285,980,286,1346,297,649
6,Pirojpur,705,2202,715,2270,671,2096
1,Barishal Division,3425,14124,3471,14312,3465,14981
7,Bandarban,792,1527,791,1527,796,2881
8,Brahmanbaria,648,2050,781,2519,827,3628
9,Chandpur,996,5158,978,4917,985,5812
10,Chattogram,1178,5527,1243,6406,1264,6548
11,Cumilla,1650,10247,1632,10262,1635,10297
12,Cox’s Bazar,269,1205,235,1293,297,1797
13,Feni,221,1181,261,1474,379.41,2680
14,Khagrachari,756,2676,777,2781,796,2881
15,Lakshmipur,676,2390,679,2466,682,2837
16,Noakhali,1038,2990,978,2962,968,3604
17,Rangamati,596,2201,595,2259,594,2262
2,Chattogram Division,8820,37152,8950,38866,9223.41,45227
18,Dhaka,2209,19540,2225,23700,1953,13426
19,Faridpur,858,3566,930,3858,939,3863
20,Gazipur,2510,7393,2525,7451,2585,7613
21,Gopalganj,574,3710,604,3425,701,4578
22,Kishoreganj,655,4950,677,7021,681,5166
23,Madaripur,718,3086,717,3121,726,3534
24,Manikganj,745,2568,718,3121,784,3101
25,Munshiganj,538,2661,536,2678,561,3022
26,Narayanganj,1363,5644,1367,5678,1361,5659
27,Narsingdi,1075,8573,1026,8064,989,7616
28,Rajbari,585,3349,830,4529,833,4530
29,Shariatpur,419,2399,421,2529,458,2743
30,Tangail,2173,9692,2160,10184,2252,10255
3,Dhaka Division,14422,77131,14736,85359,14823,75106
31,Bagerhat,519,2231,516,2198,636,2506
32,Chuadanga,819,4938,837,4106,847,4123
33,Jashore,1029,5791,1046,5838,1013,5520
,,"Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)","Area
(acre)","Production
(MT)"
34,Jhenaidah,881,4418,888,4443,923,4613
35,Khulna,474,1224,486,1267,497,1335
36,Kushtia,448,1843,449,1845,477,2304
37,Magura,223,1141,232,1181,235,1202
38,Meherpur,228,1724,222,1659,302,2802
39,Narail,425,2106,440,2181,439,2174
40,Satkhira,496,2698,547,3324,552,3417
4,Khulna Division,5542,28114,5663,28042,5921,29996
41,Jamalpur,1318,6043,1938,8004,2166,8816
42,Mymensingh,1743,10960,1790,10701,1825,10913
43,Netrokona,462,1273,499,1505,598,2340
44,Sherpur,510,3015,439,2580,465,2757
5,Mymensingh Division,4033,21291,4666,22790,5054,24826
45,Bogura,748,3579,737,3870,744,3925
46,Joypurhat,215,1331,214,1307,216,1099
47,Naogaon,406,1654,381,1604,413,1705
48,Natore,329,1057,341,1097,395,1407
49,Chapai Nawabganj,213,730,275,925,307,1053
50,Pabna,554,1317,557,1328,588,1417
51,Rajshahi,844,5104,1155,8827,1160,7394
52,Sirajganj,707,5451,697,3249,616,3569
6,Rajshahi Division,4016,20223,4357,22207,4439,21569
53,Dinajpur,632,3201,637,3257,655,4256
54,Gaibandha,542,1462,531,1440,411,1135
55,Kurigram,476,2048,474,2038,482,2154
56,Lalmonirhat,301,2590,308,2658,309,2621
57,Nilphamari,282,2313,299,2327,328,2223
58,Panchagar,548,2974,559,3150,554,3688
59,Rangpur,555,1758,560,1771,565,2316
60,Thakurgaon,251,898,249,894,256,924
7,Rangpur Divison,3587,17244,3617,17535,3560,19317
61,Habiganj,928,7783,1012,8510,805,7997
62,Moulvibazar,571,3918,573,3925,580,4037
63,Sunamganj,809,4902,811,4908,1215,3987
64,Sylhet,1238,4151,1240,4159,1070,4710
8,Sylhet Division,3546,20754,3636,21502,3670,20731
BANGLADESH,,47391,236033,49096,250613,50155.41,251753
