District/ Division,,2019-20,,,,,,,,,,,,,,,2020-21,,,,,,,,,,,,,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
1,Barguna,,1273,,,515,,,198.16,,,18.277,,,9416,,,1544,,,625,,,205.89,,,18.991,,,11866,
2,Barishal,,1339,,,542,,,216.26,,,19.947,,,10809,,,1530,,,619,,,217.75,,,20.085,,,12436,
3,Bhola,,15055,,,6093,,,224.27,,,20.686,,,126032,,,14227,,,5757,,,224.81,,,20.736,,,119387,
4,Jhalokathi,,855,,,346,,,201.47,,,18.583,,,6430,,,1023,,,414,,,203.24,,,18.747,,,7761,
5,Patuakhali,,1069,,,433,,,222.98,,,20.567,,,8898,,,1064,,,431,,,235.04,,,21.680,,,9335,
6,Pirojpur,,2224,,,900,,,181.22,,,16.715,,,15044,,,2207,,,893,,,185.48,,,17.109,,,15280,
1,"Barishal
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21815,,,8828,,,216.91,,,20.007,,,176628,,,21595,,,8739,,,218.42,,,20.147,,,176065,
7,Bandarban,,1424,,,576,,,100.09,,,9.232,,,5320,,,1516,,,613,,,222.45,,,9.339,,,5729,
8,"Brahmanbari
a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4192,,,1696,,,151.79,,,14.000,,,23750,,,3554,,,1438,,,261.87,,,13.917,,,20016,
9,Chandpur,,25501,,,10320,,,213.69,,,19.710,,,203406,,,24872,,,10065,,,226.17,,,20.862,,,209978,
10,Chattogram,,8784,,,3555,,,122.26,,,11.277,,,40090,,,8356,,,3382,,,326.45,,,14.137,,,47804,
11,Cumilla,,26390,,,10680,,,189.03,,,17.435,,,186208,,,25449,,,10299,,,278.30,,,16.759,,,172598,
12,Cox’s Bazar,,4629,,,1873,,,134.48,,,12.404,,,23235,,,3897,,,1577,,,304.19,,,10.199,,,16085,
13,Feni,,704,,,285,,,179.16,,,16.525,,,4705,,,731,,,296,,,321.29,,,17.378,,,5139,
14,Khagrachari,,1352,,,547,,,123.97,,,11.434,,,6258,,,1518,,,614,,,270.40,,,11.393,,,7000,
15,Laxmipur,,609,,,246,,,180.08,,,16.610,,,4094,,,471,,,191,,,214.05,,,19.744,,,3763,
16,Noakhali,,431,,,174,,,227.35,,,20.970,,,3656,,,484,,,196,,,232.64,,,21.459,,,4203,
17,Rangamati,,348,,,141,,,122.26,,,11.277,,,1588,,,808,,,327,,,248.91,,,10.505,,,3433,
2,"Chattogram
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74364,,,30095,,,180.96,,,16.691,,,502311,,,71656,,,28998,,,313.10,,,17.096,,,495748,
18,Dhaka,,3998,,,1618,,,226.99,,,20.937,,,33871,,,3229,,,1307,,,227.54,,,20.988,,,27425,
19,Faridpur,,857,,,347,,,263.95,,,24.346,,,8444,,,883,,,357,,,251.26,,,23.176,,,8282,
20,Gazipur,,170,,,69,,,129.18,,,11.915,,,818,,,631,,,255,,,265.45,,,14.980,,,3825,
21,Gopalgonj,,675,,,273,,,265.43,,,24.482,,,6688,,,748,,,303,,,269.19,,,24.830,,,7516,
22,Kishoregonj,,14293,,,5784,,,146.24,,,13.488,,,78021,,,13250,,,5362,,,323.74,,,17.674,,,94767,
23,Madaripur,,1880,,,761,,,319.98,,,29.514,,,22459,,,1680,,,680,,,303.20,,,27.967,,,19014,
24,Manikgonj,,4617,,,1868,,,227.37,,,20.972,,,39185,,,3903,,,1579,,,308.13,,,18.641,,,29442,
25,Munsigonj,,88802,,,35938,,,345.86,,,31.901,,,1146437,,,88589,,,35850,,,344.81,,,31.805,,,1140215,
26,Narayangonj,,6177,,,2500,,,286.08,,,26.387,,,65966,,,5947,,,2407,,,280.31,,,25.856,,,62225,
27,Narsingdi,,3651,,,1477,,,169.00,,,15.588,,,23029,,,3994,,,1616,,,217.64,,,11.634,,,18806,
28,Rajbari,,427,,,173,,,205.39,,,18.944,,,3274,,,424,,,172,,,190.20,,,17.544,,,3010,
29,Shariatpur,,4582,,,1854,,,298.09,,,27.495,,,50984,,,5677,,,2297,,,300.97,,,27.761,,,63778,
30,Tangail,,8835,,,3575,,,150.47,,,13.879,,,49624,,,9172,,,3712,,,294.38,,,14.294,,,53054,
3,"Dhaka
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,138963,,,56238,,,294.73,,,27.185,,,1528799,,,138127,,,55897,,,409.13,,,27.396,,,1531360,
31,Bagerhat,,819,,,331,,,180.95,,,16.690,,,5532,,,908,,,367,,,169.15,,,15.602,,,5733,
32,Chuadanga,,5398,,,2185,,,235.05,,,21.680,,,47361,,,7061,,,2857,,,234.23,,,21.605,,,61736,
33,Jashore,,5933,,,2401,,,236.60,,,21.823,,,52397,,,4893,,,1980,,,254.07,,,23.435,,,46404,
34,Jhenaidah,,4203,,,1701,,,238.44,,,21.993,,,37408,,,4358,,,1764,,,235.90,,,21.759,,,38374,
35,Khulna,,1314,,,532,,,184.25,,,16.994,,,9037,,,1407,,,569,,,202.14,,,18.645,,,10616,
36,Kushtia,,6286,,,2544,,,230.81,,,21.289,,,54157,,,5123,,,2073,,,227.56,,,20.990,,,43516,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
37,Magura,,68,,,27,,,174.66,,,16.110,,,440,,,75,,,30,,,143.87,,,13.271,,,403,
38,Meherpur,,3056,,,1237,,,253.09,,,23.344,,,28871,,,3221,,,1303,,,260.32,,,24.012,,,31299,
39,Narail,,125,,,51,,,224.56,,,20.712,,,1048,,,129,,,52,,,195.48,,,18.031,,,941,
40,Satkhira,,6571,,,2659,,,179.40,,,16.547,,,44002,,,5672,,,2295,,,191.28,,,17.644,,,40498,
4,"Khulna
division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33772,,,13668,,,222.31,,,20.505,,,280253,,,32847,,,13292,,,227.98,,,21.028,,,279520,
41,Jamalpur,,13631,,,5516,,,200.89,,,18.529,,,102213,,,11896,,,4814,,,306.66,,,18.948,,,91215,
42,Mymensingh,,9686,,,3920,,,110.21,,,10.165,,,39845,,,9893,,,4003,,,236.58,,,10.295,,,41217,
43,Netrokona,,3819,,,1546,,,111.77,,,10.310,,,15934,,,4599,,,1861,,,257.97,,,11.296,,,21023,
44,Sherpur,,12287,,,4972,,,177.93,,,16.412,,,81608,,,12575,,,5089,,,317.67,,,16.379,,,83350,
5,"Mymensingh
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39423,,,15954,,,162.82,,,15.018,,,239600,,,38963,,,15767,,,299.43,,,15.019,,,236805,
45,Bogura,,143461,,,58058,,,218.48,,,20.151,,,1169947,,,147264,,,59595,,,387.70,,,20.648,,,1230501,
46,Joypurhat,,94421,,,38212,,,263.98,,,24.348,,,930380,,,97370,,,39404,,,427.15,,,24.188,,,953109,
47,Naogaon,,52294,,,21163,,,174.62,,,16.106,,,340861,,,53068,,,21475,,,347.39,,,15.976,,,343093,
48,Natore,,1095.4,,,443,,,243.65,,,22.473,,,9962,,,1163,,,471,,,379.47,,,24.208,,,11397,
49,"Chapai
Nawabganj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2761,,,1117,,,184.92,,,17.056,,,19058,,,2868,,,1161,,,301.69,,,17.210,,,19975,
50,Pabna,,2061,,,834,,,149.93,,,13.829,,,11539,,,1940,,,785,,,251.18,,,14.137,,,11098,
51,Rajshahi,,90166,,,36490,,,259.35,,,23.921,,,872871,,,90209,,,36506,,,430.73,,,25.199,,,919905,
52,Sirajganj,,7543.5,,,3053,,,151.77,,,13.999,,,42735,,,7065,,,2859,,,268.06,,,13.112,,,37489,
6,"Rajshahi
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,393803.7,,,159370,,,231.12,,,21.317,,,3397354,,,400947,,,162255,,,398.94,,,21.735,,,3526567,
53,Dinajpur,,115732,,,46836,,,217.54,,,20.065,,,939764,,,108921,,,44078,,,344.22,,,19.031,,,838837,
54,Gaibandha,,21622,,,8750,,,195.74,,,18.054,,,157977,,,21847,,,8841,,,338.15,,,18.176,,,160690,
55,Kurigram,,13036,,,5276,,,281.75,,,25.988,,,137102,,,28838,,,11670,,,416.90,,,25.485,,,297411,
56,Lalmonirhat,,11947,,,4835,,,205.82,,,18.984,,,91785,,,11942,,,4833,,,350.87,,,18.726,,,90497,
57,Nilphamari,,54071,,,21882,,,206.91,,,19.085,,,417616,,,54895,,,22215,,,325.99,,,18.980,,,421631,
58,Panchagarh,,24384,,,9868,,,213.15,,,19.660,,,194009,,,24408,,,9877,,,338.87,,,21.008,,,207504,
59,Rangpur,,123373,,,49928,,,213.24,,,19.669,,,982022,,,127144,,,51452,,,338.45,,,19.795,,,1018493,
60,Thakurgaon,,59041,,,23894,,,217.69,,,20.079,,,479752,,,60881,,,24637,,,365.47,,,21.213,,,522634,
7,"Rangpur
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,423206,,,171269,,,215.23,,,19.852,,,3400028,,,438876,,,177603,,,347.76,,,20.032,,,3557696,
61,Habiganj,,3813,,,1543,,,150.03,,,13.838,,,21353,,,3951,,,1599,,,282.79,,,13.787,,,22044,
62,Moulvibazar,,4806,,,1945,,,122.52,,,11.301,,,21979,,,5135,,,2078,,,272.80,,,11.559,,,24020,
63,Sunamganj,,4009,,,1622,,,180.67,,,16.664,,,27036,,,3927,,,1589,,,324.71,,,16.672,,,26495,
64,Sylhet,,1939,,,785,,,142.07,,,13.104,,,10283,,,2131,,,862,,,265.70,,,12.665,,,10922,
8,"Sylhet
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14567,,,5895,,,148.32,,,13.681,,,80651,,,15144,,,6128,,,283.87,,,13.622,,,83481,
Bangladesh,,,1139914,,,461317,,,225.75,,,20.822,,,9605624,,,1158155,,,468680,,,371.32,,,21.096,,,9887242,
