Name of the crops,Loss in production (M.tons/bales) by natural calamities,,,Total
,"Flood /Excessive Rainfall
/ flash Flood / Rush of
water","Cyclone/Hailstorm/Tornado/Tidal
bore",Bulbul,
(HYV) Aman,-,-,37372.94,37372.94
(LT) Aman,-,-,56183.67,56183.67
(Broadcast) Aman,-,-,5080,5080
Vegetables,-,-,1891.381,1891.381
(Batel leaves),-,-,287.4869,287.4869
Green Banana,-,-,1742.651,1742.651
Kheshari pulse,-,-,1800.761,1800.761
Lau (Watergourd),-,-,183.2369,183.2369
Radish,-,-,372.0124,372.0124
Ripe papaya,-,-,3881.304,3881.304
Mashkalai pulse,-,-,4.059,4.059
Mashur pulse,-,-,36.6212,36.6212
Rape and Mustard,-,-,33.2,33.2
Coriander,-,-,6.4271,6.4271
