Station,Jan.,Feb.,Mar.,Apr.,May,June,July.,Aug,Sep.,Oct.,Nov.,Dec.,Yearly
Dhaka,20.9,22.6,26.3,28.7,30.1,30.1,29.9,30.5,29.9,28.2,25.6,20.1,26.9
Tangail,18.9,21.4,25.2,27.8,29.6,29.7,29.6,30.4,29.4,27.5,24.5,18.6,26.1
Mymensingh,19.2,21.3,24.4,27,28.3,29.2,29.6,30.4,29.4,27.2,24.6,18.9,25.8
Faridpur,19.2,21.4,25.7,28.6,30.2,30,29.8,29.8,29.3,27.5,25.1,19.5,26.3
Madaripur,19,21.3,25.4,28.4,30.4,30.1,29.7,29.7,29.3,27.9,24.7,19.5,26.3
Srimangal,18.4,20.4,24.1,27,28.7,29.5,29.2,30,29.3,27.2,23.8,18.8,25.5
Sylhet,20.8,22,25.1,26.9,27.6,29.1,29.1,30.4,29.4,27.5,25,20.5,26.1
Bogura,19.6,21.6,25.2,27.8,29.5,29.9,29.7,30.8,29.4,27.5,25.3,19.2,26.3
Dinajpur,18.1,20.2,23.7,26.4,28.9,29.9,29.7,30.8,28.8,26.7,24.1,17.4,25.4
Ishwardi,18,20.5,25,28.5,30.8,30.5,30.3,30.4,29.4,27.2,24.1,17.9,26.1
Rajshahi,17.9,20.4,24.8,28.7,30.8,31.1,30.5,30.7,29.8,27.2,24.1,18.5,26.1
Rangpur,18.6,20.4,23.7,26.4,27.7,29.6,29.6,30.7,28.7,26.9,24.7,18.1,25.4
Syedpur,18.6,20.6,23.8,26.5,28.1,29.7,29.7,30.8,28.7,26.8,24.4,18,25.5
chuadanga,17.7,20.6,25.5,28.8,31.1,31,30.4,30.1,29.4,27.4,23.9,18.4,26.2
Jashore,19.9,21.4,25.7,29.1,31.4,31.3,30.8,30.2,29.6,27.9,24.6,19.1,26.8
Khulna,19.6,22.2,26.5,29.4,31.4,31.2,30.4,29.9,29.6,28.2,25.0,19.8,26.9
Mongla,20,22.7,26.7,29.5,31.4,30.8,30.2,29.8,29.4,28.3,25.2,20.5,27.0
Satkhira,18.7,21.7,25.9,29.3,31.3,31,30.6,29.8,29.7,28.5,25.1,19.9,26.8
Barishal,18.9,21.7,26,28.6,30.6,30.4,29.4,29.6,29.1,27.9,24.8,19.7,26.4
Bhola,19.4,21.9,26.2,28.9,30.5,30.3,29.1,29.5,29.1,28,25,20,26.5
Khepupara,19.8,22.5,26.6,29,30.5,30.1,29.2,29.3,28.9,28,25.1,20.7,26.6
Patuakhali,20,22.7,26.9,29.3,30.8,30.3,29.4,29.5,29.2,28.5,25.3,20.7,26.9
Chandpur,20.8,22.5,26.4,29.1,30.6,30.6,29.4,30,29.9,28.7,26.0,20.7,27.1
Ambagan(Ctg),21.3,23,26.1,28.8,29.9,29.8,28.4,29.2,28.9,28.4,26.1,21.8,26.8
Chittagong,21.1,23.1,26.1,28.5,30.1,30.1,28.6,29.5,29.1,28.7,26.2,21.4,26.9
Cumilla,19.6,21.8,25,27.8,29.5,29.8,28.8,29.6,29.2,27.9,24.8,19.4,26.1
Cox's Bazar,21.9,23.9,26.4,29.2,30.6,29.5,28.3,28.7,28.4,28.7,26.8,22.2,27.1
Feni,20.3,22.2,25.8,28.6,30.1,30,28.8,29.6,29.1,28.1,25.3,20.1,26.5
Hatiya,20.2,22.1,25.9,28.5,30,30.1,28.5,29.1,28.9,28.2,25.1,20.3,26.4
Kutubdia,20.6,22.5,25.7,28.5,30.5,30,28.4,29.1,28.7,28.5,26,21.6,26.7
M.court,20.6,22.3,26.1,28.8,30.6,30.4,29.2,29.8,29.4,28.4,25.7,20.5,26.8
Rangamati,19.7,21.9,25.3,28.5,30,29.5,28.1,29.1,29,28.2,25.4,20.3,26.2
Sandwip,20.2,22.2,25.7,28.4,29.7,29.7,28.2,29.2,29.0,28.1,25.3,20.2,26.3
Sitakunda,20.1,22.1,25.8,28.4,29.7,29.9,28.7,29.4,29.2,28.3,25.1,20.2,26.4
Teknaf,21.1,22.8,25.9,28,30.5,29.1,27.7,28.3,28.2,28.6,26.7,22.3,26.6
